SubjectCode,grade_oct,grade_feb,grade_apr
100,8.0,10.0,10.0
101,7.0,10.0,10.0
106,4.0,3.0,10.0
109,6.0,10.0,10.0
110,10.0,10.0,10.0
111,6.0,10.0,10.0
113,0.0,10.0,6.0
115,6.0,10.0,10.0
116,5.0,0.0,0.0
121,5.0,7.0,10.0
123,6.0,10.0,10.0
124,8.0,10.0,10.0
126,6.0,10.0,10.0
130,10.0,10.0,10.0
132,5.0,7.0,6.0
134,6.0,10.0,10.0
135,0.0,10.0,0.0
137,10.0,3.0,10.0
138,3.0,10.0,10.0
141,6.0,10.0,10.0
142,0.0,0.0,10.0
143,0.0,3.0,10.0
145,6.0,0.0,10.0
148,6.0,10.0,10.0
150,6.0,10.0,10.0
152,3.0,0.0,6.0
153,0.0,10.0,6.0
154,10.0,10.0,10.0
155,0.0,10.0,10.0
156,8.0,7.0,10.0
157,4.0,7.0,10.0
159,8.0,10.0,10.0
160,4.0,10.0,10.0
161,10.0,10.0,6.0
163,6.0,10.0,10.0
164,6.0,10.0,10.0
165,8.0,10.0,10.0
166,6.0,10.0,10.0
167,8.0,10.0,10.0
170,2.0,10.0,10.0
171,2.0,10.0,10.0
172,5.0,10.0,0.0
173,10.0,10.0,10.0
174,4.0,10.0,10.0
175,4.0,0.0,0.0
177,7.0,0.0,6.0
179,10.0,10.0,10.0
182,4.0,10.0,10.0
183,6.0,7.0,6.0
185,6.0,10.0,10.0
186,3.0,0.0,10.0
189,0.0,10.0,6.0
191,8.0,10.0,10.0
193,5.0,3.0,2.0
194,10.0,10.0,6.0
195,0.0,7.0,10.0
196,8.0,10.0,6.0
197,8.0,10.0,10.0
198,2.0,10.0,6.0
199,8.0,0.0,10.0
200,10.0,10.0,10.0
202,5.0,10.0,10.0
203,2.0,0.0,0.0
206,6.0,7.0,10.0
207,6.0,10.0,10.0
208,6.0,10.0,10.0
209,8.0,10.0,6.0
213,6.0,10.0,10.0
214,3.0,0.0,10.0
215,5.0,0.0,6.0
218,5.0,10.0,10.0
220,7.0,10.0,2.0
221,10.0,10.0,10.0
222,10.0,10.0,10.0
224,4.0,7.0,10.0
226,6.0,7.0,2.0
230,10.0,10.0,10.0
232,2.0,0.0,10.0
234,5.0,10.0,0.0
235,0.0,7.0,6.0
235,0.0,7.0,6.0
237,10.0,10.0,10.0
240,6.0,10.0,10.0
241,6.0,10.0,10.0
242,5.0,0.0,10.0
243,0.0,0.0,10.0
246,10.0,3.0,10.0
248,6.0,7.0,10.0
249,8.0,10.0,10.0
251,5.0,10.0,10.0
252,5.0,3.0,10.0
253,8.0,10.0,10.0
254,0.0,0.0,10.0
256,8.0,10.0,10.0
257,0.0,10.0,10.0
