filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
..\data\indiv_files\AIP_A_EN_corrected\501.txt,1,78,19,46,16,139,23,64,20,0.46,0.31,0.24,0.20,0.60,0.55,78,36,37.90,39.80,0.56,0.77,4.68,6.62,0.88,18.30,0.72,0.80,9.60,2.19,0.19,0.67,0.17,0.03,0.20
..\data\indiv_files\AIP_A_EN_corrected\502.txt,1,19,4,11,4,26,4,15,4,0.58,0.27,0.21,0,0,0,19,19,19,19,0.73,0.73,2.63,3.73,0.90,14.70,0.73,0,0,0,0.00,0.67,0.27,0.07,0.33
..\data\indiv_files\AIP_A_EN_corrected\504.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
..\data\indiv_files\AIP_A_EN_corrected\505.txt,1,51,7,29,7,99,8,46,8,0.46,0.17,0.14,0.00,0.00,0.00,51,31,32.50,33.50,0.52,0.62,3.62,5.13,0.86,13.83,0.63,0.67,4.00,1.41,0.13,0.54,0.17,0.04,0.22
..\data\indiv_files\AIP_A_EN_corrected\506.txt,1,44,8,26,7,76,9,38,8,0.50,0.21,0.18,0.09,0.09,0.21,44,31,33.10,29.70,0.58,0.62,3.57,5.05,0.87,14.90,0.68,0.73,5.82,1.71,0.21,0.56,0.18,0.03,0.21
..\data\indiv_files\AIP_A_EN_corrected\507.txt,1,32,3,18,3,52,3,24,3,0.46,0.12,0.09,0.00,0.00,0.00,32,32,31.10,32.00,0.62,0.64,3.14,4.44,0.88,13.97,0.75,1.00,5.00,1.58,0.21,0.60,0.12,0.04,0.17
..\data\indiv_files\AIP_A_EN_corrected\508.txt,1,48,7,27,6,84,10,43,8,0.51,0.19,0.15,0.00,0.00,0.00,48,38,36.50,35.70,0.57,0.76,3.70,5.24,0.87,15.24,0.63,0.78,5.44,1.65,0.16,0.50,0.16,0.05,0.21
..\data\indiv_files\AIP_A_EN_corrected\510.txt,1,57,7,33,6,103,8,48,7,0.47,0.15,0.12,0.20,0.40,0.45,57,34,33.70,34.50,0.55,0.68,3.97,5.62,0.87,15.77,0.69,0.80,6.40,1.79,0.17,0.65,0.15,0.04,0.19
..\data\indiv_files\AIP_A_EN_corrected\511.txt,1,47,9,31,9,64,9,36,9,0.56,0.25,0.19,0.09,0.09,0.21,47,38,39.00,39.40,0.73,0.76,4.15,5.88,0.93,24.33,0.86,0.91,9.09,2.13,0.28,0.83,0.17,0.00,0.17
..\data\indiv_files\AIP_A_EN_corrected\512.txt,1,89,13,54,13,190,23,89,23,0.47,0.26,0.15,0.04,0.04,0.14,89,38,36.00,35.90,0.47,0.74,4.57,6.46,0.86,15.77,0.61,0.58,8.65,2.08,0.17,0.61,0.15,0.02,0.17
