filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
..\data\indiv_files\STAT_A_EN_corrected\501.txt,1,26,2,15,2,34,2,16,2,0.47,0.12,0.08,0.00,0.00,0.00,26,26,26,26,0.76,0.76,3.15,4.46,0.92,20.13,0.94,1.00,3.00,1.22,0.19,0.89,0.19,0.06,0.25
..\data\indiv_files\STAT_A_EN_corrected\502.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
..\data\indiv_files\STAT_A_EN_corrected\504.txt,1,56,7,30,6,95,9,46,8,0.48,0.17,0.12,0.09,0.09,0.21,56,36,34.90,33.50,0.59,0.72,4.06,5.75,0.88,17.04,0.65,0.91,9.09,2.13,0.22,0.52,0.13,0.00,0.13
..\data\indiv_files\STAT_A_EN_corrected\505.txt,1,44,3,25,3,84,3,38,3,0.45,0.08,0.07,0.12,0.12,0.25,44,32,30.20,30.60,0.52,0.64,3.39,4.80,0.85,13.19,0.66,0.75,4.50,1.50,0.16,0.67,0.16,0.03,0.18
..\data\indiv_files\STAT_A_EN_corrected\506.txt,1,61,8,40,8,107,11,53,11,0.50,0.21,0.13,0.06,0.06,0.18,61,35,35.70,35.50,0.57,0.72,4.17,5.90,0.88,16.87,0.75,0.81,10.56,2.30,0.25,0.61,0.21,0.04,0.25
..\data\indiv_files\STAT_A_EN_corrected\507.txt,1,44,3,27,3,74,5,37,5,0.50,0.14,0.07,0.14,0.14,0.27,44,32,33.40,29.30,0.59,0.64,3.62,5.11,0.88,15.48,0.73,1.00,7.00,1.87,0.19,0.67,0.19,0.00,0.19
..\data\indiv_files\STAT_A_EN_corrected\508.txt,1,50,3,29,3,83,4,44,4,0.53,0.09,0.06,0.10,0.10,0.22,50,30,33.40,31.40,0.60,0.60,3.88,5.49,0.89,16.73,0.66,0.90,8.10,2.01,0.20,0.59,0.18,0.02,0.20
..\data\indiv_files\STAT_A_EN_corrected\509.txt,1,53,3,30,3,91,5,45,5,0.49,0.11,0.06,0.00,0.00,0.00,53,32,34.60,35.40,0.58,0.64,3.93,5.56,0.88,16.35,0.67,0.80,6.40,1.79,0.18,0.58,0.13,0.02,0.16
..\data\indiv_files\STAT_A_EN_corrected\510.txt,1,75,7,46,7,133,14,75,14,0.56,0.19,0.09,0.10,0.20,0.32,75,35,39.20,36.50,0.56,0.73,4.60,6.50,0.88,18.13,0.61,0.80,12.80,2.53,0.21,0.53,0.13,0.01,0.15
..\data\indiv_files\STAT_A_EN_corrected\511.txt,1,51,9,29,9,103,19,51,19,0.50,0.37,0.18,0.12,0.12,0.25,51,27,32.80,34.90,0.50,0.59,3.55,5.03,0.85,13.27,0.57,1.00,8.00,2.00,0.16,0.38,0.16,0.06,0.22
