filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
..\data\indiv_files\STAT_C_EN_corrected\2aDec\646.txt,1,23,4,17,4,37,6,23,6,0.62,0.26,0.17,0.00,0.00,0.00,23,23,23,23,0.62,0.62,2.67,3.78,0.87,11.91,0.74,1.00,2.00,1.00,0.09,0.73,0.22,0.00,0.22
..\data\indiv_files\STAT_C_EN_corrected\2aDec\546.txt,1,23,4,12,4,27,4,13,4,0.48,0.31,0.17,0.00,0.00,0.00,23,23,23,23,0.85,0.85,3.13,4.43,0.95,29.42,0.92,1.00,3.00,1.22,0.23,1.00,0.15,0.00,0.15
..\data\indiv_files\STAT_C_EN_corrected\2aDec\634.txt,1,18,5,11,5,27,7,17,7,0.63,0.41,0.28,1.00,1.00,0.71,18,18,18,18,0.67,0.67,2.45,3.46,0.88,11.63,0.65,1.00,1.00,0.71,0.06,0.67,0.12,0.06,0.18
..\data\indiv_files\STAT_C_EN_corrected\2aDec\921.txt,1,25,4,17,4,34,4,20,4,0.59,0.20,0.16,0.00,0.00,0.00,25,25,25,25,0.74,0.74,3.03,4.29,0.91,17.56,0.85,0.75,2.25,1.06,0.15,0.87,0.05,0.00,0.05
..\data\indiv_files\STAT_C_EN_corrected\2aDec\589.txt,1,23,4,15,4,37,6,21,6,0.57,0.29,0.17,0.00,0.00,0.00,23,23,23,23,0.62,0.62,2.67,3.78,0.87,11.91,0.71,1.00,3.00,1.22,0.14,0.69,0.10,0.00,0.10
..\data\indiv_files\STAT_C_EN_corrected\2aDec\705.txt,1,19,4,11,4,28,6,15,6,0.54,0.40,0.21,0.00,0.00,0.00,19,19,19,19,0.68,0.68,2.54,3.59,0.88,12.44,0.73,1.00,1.00,0.71,0.07,0.67,0.13,0.00,0.13
..\data\indiv_files\STAT_C_EN_corrected\2aDec\664.txt,1,17,4,11,4,26,4,15,4,0.58,0.27,0.24,0.00,0.00,0.00,17,17,17,17,0.65,0.65,2.36,3.33,0.87,10.85,0.73,1.00,1.00,0.71,0.07,0.67,0.13,0.00,0.13
..\data\indiv_files\STAT_C_EN_corrected\2aDec\853.txt,1,22,3,14,3,38,5,19,5,0.50,0.26,0.14,0.00,0.00,0.00,22,22,22,22,0.58,0.58,2.52,3.57,0.85,10.51,0.74,1.00,1.00,0.71,0.05,0.64,0.11,0.11,0.21
..\data\indiv_files\STAT_C_EN_corrected\2aDec\699.txt,1,18,2,12,2,28,3,14,3,0.50,0.21,0.11,0.00,0.00,0.00,18,18,18,18,0.64,0.64,2.41,3.40,0.87,10.91,0.86,1.00,1.00,0.71,0.07,0.83,0.07,0.00,0.07
..\data\indiv_files\STAT_C_EN_corrected\2aDec\636.txt,1,22,5,16,5,35,8,21,8,0.60,0.38,0.23,0.00,0.00,0.00,22,22,22,22,0.63,0.63,2.63,3.72,0.87,11.82,0.76,1.00,1.00,0.71,0.05,0.64,0.14,0.14,0.29
..\data\indiv_files\STAT_C_EN_corrected\2aDec\738.txt,1,16,4,10,4,27,6,15,6,0.56,0.40,0.25,0.00,0.00,0.00,16,16,16,16,0.59,0.59,2.18,3.08,0.84,9.02,0.67,1.00,1.00,0.71,0.07,0.58,0.13,0.00,0.13
..\data\indiv_files\STAT_C_EN_corrected\2aDec\919.txt,1,26,4,18,4,36,4,21,4,0.58,0.19,0.15,0.00,0.00,0.00,26,26,26,26,0.72,0.72,3.06,4.33,0.91,17.14,0.86,1.00,2.00,1.00,0.10,0.81,0.14,0.00,0.14
..\data\indiv_files\STAT_C_EN_corrected\2aDec\587.txt,1,21,4,14,4,27,4,15,4,0.56,0.27,0.19,0.00,0.00,0.00,21,21,21,21,0.78,0.78,2.86,4.04,0.92,18.77,0.93,1.00,1.00,0.71,0.07,1.00,0.20,0.00,0.20
..\data\indiv_files\STAT_C_EN_corrected\2aDec\662.txt,1,18,4,12,4,28,6,17,6,0.61,0.35,0.22,0.00,0.00,0.00,18,18,18,18,0.64,0.64,2.41,3.40,0.87,10.91,0.71,1.00,1.00,0.71,0.06,0.62,0.12,0.06,0.18
..\data\indiv_files\STAT_C_EN_corrected\2aDec\645.txt,1,16,3,11,3,25,5,16,5,0.64,0.31,0.19,0.00,0.00,0.00,16,16,16,16,0.64,0.64,2.26,3.20,0.86,10.08,0.69,1.00,2.00,1.00,0.12,0.64,0.12,0.00,0.12
..\data\indiv_files\STAT_C_EN_corrected\2aDec\703.txt,1,15,4,9,4,21,6,13,6,0.62,0.46,0.27,0,0,0,15,15,15,15,0.71,0.71,2.31,3.27,0.89,11.96,0.69,0,0,0,0.00,0.64,0.15,0.00,0.15
..\data\indiv_files\STAT_C_EN_corrected\2aDec\651.txt,1,23,4,16,4,32,4,19,4,0.59,0.21,0.17,0.00,0.00,0.00,23,23,23,23,0.72,0.72,2.88,4.07,0.90,15.80,0.84,1.00,1.00,0.71,0.05,0.77,0.16,0.11,0.26
..\data\indiv_files\STAT_C_EN_corrected\2aDec\610.txt,1,22,4,14,4,29,4,15,4,0.52,0.27,0.18,0.00,0.00,0.00,22,22,22,22,0.76,0.76,2.89,4.09,0.92,17.83,0.93,1.00,2.00,1.00,0.13,0.91,0.13,0.00,0.13
..\data\indiv_files\STAT_C_EN_corrected\2aDec\654.txt,1,19,6,13,6,29,9,18,9,0.62,0.50,0.32,0.00,0.00,0.00,19,19,19,19,0.66,0.66,2.49,3.53,0.87,11.65,0.72,1.00,1.00,0.71,0.06,0.64,0.11,0.06,0.17
..\data\indiv_files\STAT_C_EN_corrected\2aDec\794.txt,1,21,5,13,5,32,6,17,6,0.53,0.35,0.24,0.00,0.00,0.00,21,21,21,21,0.66,0.66,2.62,3.71,0.88,12.38,0.76,1.00,1.00,0.71,0.06,0.71,0.12,0.00,0.12
..\data\indiv_files\STAT_C_EN_corrected\2aDec\602.txt,1,17,3,11,3,20,3,12,3,0.60,0.25,0.18,0.00,0.00,0.00,17,17,17,17,0.85,0.85,2.69,3.80,0.95,23.98,0.92,1.00,1.00,0.71,0.08,0.88,0.17,0.08,0.25
..\data\indiv_files\STAT_C_EN_corrected\2aDec\647.txt,1,24,4,19,4,32,6,22,6,0.69,0.27,0.17,0.50,0.50,0.50,24,24,24,24,0.75,0.75,3.00,4.24,0.92,18.13,0.86,1.00,2.00,1.00,0.09,0.81,0.14,0.05,0.18
..\data\indiv_files\STAT_C_EN_corrected\2aDec\502.txt,1,1,0,1,0,1,0,1,0,1.00,0.00,0.00,0,0,0,1,1,1,1,1.00,1.00,0.71,1.00,0,NaN,1.00,0,0,0,0.00,1.00,0.00,0.00,0.00
..\data\indiv_files\STAT_C_EN_corrected\2aDec\531.txt,1,22,4,13,4,32,4,16,4,0.50,0.25,0.18,0.00,0.00,0.00,22,22,22,22,0.69,0.69,2.75,3.89,0.89,13.92,0.81,1.00,3.00,1.22,0.19,0.80,0.12,0.00,0.12
..\data\indiv_files\STAT_C_EN_corrected\2aDec\521.txt,1,16,3,10,3,20,3,11,3,0.55,0.27,0.19,0.00,0.00,0.00,16,16,16,16,0.80,0.80,2.53,3.58,0.93,17.47,0.91,1.00,1.00,0.71,0.09,0.89,0.09,0.00,0.09
..\data\indiv_files\STAT_C_EN_corrected\2aDec\749.txt,1,17,4,11,4,23,4,13,4,0.57,0.31,0.24,0.00,0.00,0.00,17,17,17,17,0.74,0.74,2.51,3.54,0.90,14.12,0.85,1.00,1.00,0.71,0.08,0.80,0.15,0.00,0.15
..\data\indiv_files\STAT_C_EN_corrected\2aDec\913.txt,1,18,4,11,4,30,6,16,6,0.53,0.38,0.22,0.00,0.00,0.00,18,18,18,18,0.60,0.60,2.32,3.29,0.85,9.84,0.69,1.00,1.00,0.71,0.06,0.62,0.12,0.00,0.12
..\data\indiv_files\STAT_C_EN_corrected\2aDec\849.txt,1,23,5,14,5,34,5,17,5,0.50,0.29,0.22,0.00,0.00,0.00,23,23,23,23,0.68,0.68,2.79,3.94,0.89,13.82,0.82,1.00,1.00,0.71,0.06,0.80,0.06,0.00,0.06
..\data\indiv_files\STAT_C_EN_corrected\2aDec\785.txt,1,1,0,1,0,1,0,1,0,1.00,0.00,0.00,0,0,0,1,1,1,1,1.00,1.00,0.71,1.00,0,NaN,1.00,0,0,0,0.00,1.00,0.00,0.00,0.00
..\data\indiv_files\STAT_C_EN_corrected\2aDec\520.txt,1,20,3,11,3,26,3,12,3,0.46,0.25,0.15,0.00,0.00,0.00,20,20,20,20,0.77,0.77,2.77,3.92,0.92,17.57,0.92,1.00,1.00,0.71,0.08,0.90,0.08,0.00,0.08
..\data\indiv_files\STAT_C_EN_corrected\2aDec\846.txt,1,15,3,9,3,26,5,14,5,0.54,0.36,0.20,0.00,0.00,0.00,15,15,15,15,0.58,0.58,2.08,2.94,0.83,8.38,0.64,1.00,1.00,0.71,0.07,0.58,0.07,0.00,0.07
..\data\indiv_files\STAT_C_EN_corrected\2aDec\697.txt,1,16,4,10,4,23,6,14,6,0.61,0.43,0.25,0.00,0.00,0.00,16,16,16,16,0.70,0.70,2.36,3.34,0.88,11.77,0.71,1.00,1.00,0.71,0.07,0.60,0.14,0.07,0.21
..\data\indiv_files\STAT_C_EN_corrected\2aDec\656.txt,1,14,2,8,2,20,2,11,2,0.55,0.18,0.14,0.00,0.00,0.00,14,14,14,14,0.70,0.70,2.21,3.13,0.88,10.93,0.73,1.00,1.00,0.71,0.09,0.71,0.27,0.00,0.27
..\data\indiv_files\STAT_C_EN_corrected\2aDec\519.txt,1,19,3,13,3,27,3,15,3,0.56,0.20,0.16,0.00,0.00,0.00,19,19,19,19,0.70,0.70,2.59,3.66,0.89,13.43,0.87,1.00,1.00,0.71,0.07,0.83,0.13,0.00,0.13
..\data\indiv_files\STAT_C_EN_corrected\2aDec\730.txt,1,22,7,14,7,26,7,15,7,0.58,0.47,0.32,0.00,0.00,0.00,22,22,22,22,0.85,0.85,3.05,4.31,0.95,27.60,0.93,1.00,1.00,0.71,0.07,0.92,0.13,0.00,0.13
..\data\indiv_files\STAT_C_EN_corrected\2aDec\801.txt,1,18,3,12,3,24,5,16,5,0.67,0.31,0.17,0.50,0.50,0.50,18,18,18,18,0.75,0.75,2.60,3.67,0.91,15.25,0.75,1.00,2.00,1.00,0.12,0.64,0.12,0.06,0.19
..\data\indiv_files\STAT_C_EN_corrected\2aDec\868.txt,1,19,5,13,5,29,7,17,7,0.59,0.41,0.26,0.00,0.00,0.00,19,19,19,19,0.66,0.66,2.49,3.53,0.87,11.65,0.76,1.00,3.00,1.22,0.18,0.64,0.18,0.00,0.18
..\data\indiv_files\STAT_C_EN_corrected\2aDec\669.txt,1,16,4,10,4,24,6,14,6,0.58,0.43,0.25,0.00,0.00,0.00,16,16,16,16,0.67,0.67,2.31,3.27,0.87,10.82,0.71,1.00,2.00,1.00,0.14,0.60,0.14,0.00,0.14
..\data\indiv_files\STAT_C_EN_corrected\2aDec\563.txt,1,21,4,14,4,27,4,16,4,0.59,0.25,0.19,0.00,0.00,0.00,21,21,21,21,0.78,0.78,2.86,4.04,0.92,18.77,0.88,1.00,2.00,1.00,0.12,0.90,0.19,0.00,0.19
..\data\indiv_files\STAT_C_EN_corrected\2aDec\643.txt,1,23,3,15,3,30,3,17,3,0.57,0.18,0.13,0.00,0.00,0.00,23,23,23,23,0.77,0.77,2.97,4.20,0.92,18.91,0.88,1.00,3.00,1.22,0.18,0.82,0.18,0.00,0.18
..\data\indiv_files\STAT_C_EN_corrected\2aDec\889.txt,1,22,5,14,5,37,8,19,8,0.51,0.42,0.23,0.00,0.00,0.00,22,22,22,22,0.59,0.59,2.56,3.62,0.86,10.89,0.74,1.00,2.00,1.00,0.11,0.67,0.11,0.00,0.11
..\data\indiv_files\STAT_C_EN_corrected\2aDec\612.txt,1,6,3,4,3,6,3,4,3,0.67,0.75,0.50,1.00,1.00,0.71,6,6,6,6,1.00,1.00,1.73,2.45,1.00,NaN,1.00,1.00,1.00,0.71,0.25,1.00,0.25,0.00,0.25
..\data\indiv_files\STAT_C_EN_corrected\2aDec\566.txt,1,1,0,1,0,1,0,1,0,1.00,0.00,0.00,0,0,0,1,1,1,1,1.00,1.00,0.71,1.00,0,NaN,1.00,0,0,0,0.00,1.00,0.00,0.00,0.00
..\data\indiv_files\STAT_C_EN_corrected\2aDec\570.txt,1,16,4,10,4,27,6,15,6,0.56,0.40,0.25,0.00,0.00,0.00,16,16,16,16,0.59,0.59,2.18,3.08,0.84,9.02,0.67,1.00,1.00,0.71,0.07,0.58,0.13,0.00,0.13
..\data\indiv_files\STAT_C_EN_corrected\2aDec\742.txt,1,20,5,12,5,32,7,16,7,0.50,0.44,0.25,0.00,0.00,0.00,20,20,20,20,0.62,0.62,2.50,3.54,0.86,11.10,0.75,1.00,2.00,1.00,0.12,0.67,0.12,0.00,0.12
..\data\indiv_files\STAT_C_EN_corrected\2aDec\756.txt,1,17,4,11,4,28,6,16,6,0.57,0.38,0.24,0.00,0.00,0.00,17,17,17,17,0.61,0.61,2.27,3.21,0.85,9.66,0.69,1.00,1.00,0.71,0.06,0.64,0.19,0.06,0.25
..\data\indiv_files\STAT_C_EN_corrected\2aDec\896.txt,1,17,4,9,4,25,6,13,6,0.52,0.46,0.24,0.00,0.00,0.00,17,17,17,17,0.68,0.68,2.40,3.40,0.88,11.67,0.69,1.00,1.00,0.71,0.08,0.60,0.15,0.00,0.15
..\data\indiv_files\STAT_C_EN_corrected\2aDec\591.txt,1,23,4,15,4,31,4,16,4,0.52,0.25,0.17,0.00,0.00,0.00,23,23,23,23,0.74,0.74,2.92,4.13,0.91,17.16,0.94,1.00,2.00,1.00,0.12,0.92,0.12,0.00,0.12
..\data\indiv_files\STAT_C_EN_corrected\2aDec\914.txt,1,14,4,10,4,15,4,10,4,0.67,0.40,0.29,0.00,0.00,0.00,14,14,14,14,0.93,0.93,2.56,3.61,0.97,46.16,1.00,1.00,1.00,0.71,0.10,1.00,0.20,0.00,0.20
..\data\indiv_files\STAT_C_EN_corrected\2aDec\736.txt,1,20,3,13,3,29,3,16,3,0.55,0.19,0.15,0.00,0.00,0.00,20,20,20,20,0.69,0.69,2.63,3.71,0.89,13.25,0.81,1.00,1.00,0.71,0.06,0.77,0.12,0.00,0.12
..\data\indiv_files\STAT_C_EN_corrected\2aDec\710.txt,1,15,2,9,2,21,2,11,2,0.52,0.18,0.13,0.00,0.00,0.00,15,15,15,15,0.71,0.71,2.31,3.27,0.89,11.96,0.82,1.00,1.00,0.71,0.09,0.78,0.09,0.00,0.09
..\data\indiv_files\STAT_C_EN_corrected\2aDec\712.txt,1,17,3,10,3,28,5,15,5,0.54,0.33,0.18,0,0,0,17,17,17,17,0.61,0.61,2.27,3.21,0.85,9.66,0.67,0,0,0,0.00,0.64,0.07,0.00,0.07
..\data\indiv_files\STAT_C_EN_corrected\2aDec\565.txt,1,15,2,8,2,19,2,10,2,0.53,0.20,0.13,0.00,0.00,0.00,15,15,15,15,0.79,0.79,2.43,3.44,0.92,15.93,0.80,1.00,1.00,0.71,0.10,0.75,0.10,0.00,0.10
..\data\indiv_files\STAT_C_EN_corrected\2aDec\625.txt,1,21,5,15,5,35,7,22,7,0.63,0.32,0.24,0.50,0.50,0.50,21,21,21,21,0.60,0.60,2.51,3.55,0.86,10.75,0.68,1.00,2.00,1.00,0.09,0.68,0.05,0.00,0.05
..\data\indiv_files\STAT_C_EN_corrected\2aDec\733.txt,1,19,4,12,4,33,6,18,6,0.55,0.33,0.21,0.00,0.00,0.00,19,19,19,19,0.58,0.58,2.34,3.31,0.84,9.62,0.67,1.00,1.00,0.71,0.06,0.60,0.11,0.00,0.11
..\data\indiv_files\STAT_C_EN_corrected\2aDec\588.txt,1,17,4,11,4,23,4,13,4,0.57,0.31,0.24,0.00,0.00,0.00,17,17,17,17,0.74,0.74,2.51,3.54,0.90,14.12,0.85,1.00,1.00,0.71,0.08,0.78,0.15,0.08,0.23
..\data\indiv_files\STAT_C_EN_corrected\2aDec\707.txt,1,1,0,1,0,1,0,1,0,1.00,0.00,0.00,0,0,0,1,1,1,1,1.00,1.00,0.71,1.00,0,NaN,1.00,0,0,0,0.00,1.00,0.00,0.00,0.00
..\data\indiv_files\STAT_C_EN_corrected\2aDec\590.txt,1,23,4,15,4,30,6,19,6,0.63,0.32,0.17,0.00,0.00,0.00,23,23,23,23,0.77,0.77,2.97,4.20,0.92,18.91,0.79,1.00,3.00,1.22,0.16,0.73,0.05,0.00,0.05
..\data\indiv_files\STAT_C_EN_corrected\2aDec\779.txt,1,16,3,10,3,27,5,16,5,0.59,0.31,0.19,0.00,0.00,0.00,16,16,16,16,0.59,0.59,2.18,3.08,0.84,9.02,0.62,1.00,1.00,0.71,0.06,0.57,0.06,0.00,0.06
..\data\indiv_files\STAT_C_EN_corrected\2aDec\632.txt,1,22,5,16,5,35,7,22,7,0.63,0.32,0.23,0.33,0.33,0.41,22,22,22,22,0.63,0.63,2.63,3.72,0.87,11.82,0.73,1.00,3.00,1.22,0.14,0.62,0.09,0.05,0.14
..\data\indiv_files\STAT_C_EN_corrected\2aDec\653.txt,1,17,4,10,4,25,4,13,4,0.52,0.31,0.24,0.00,0.00,0.00,17,17,17,17,0.68,0.68,2.40,3.40,0.88,11.67,0.77,1.00,1.00,0.71,0.08,0.70,0.15,0.00,0.15
..\data\indiv_files\STAT_C_EN_corrected\2aDec\678.txt,1,16,4,10,4,29,6,15,6,0.52,0.40,0.25,0.00,0.00,0.00,16,16,16,16,0.55,0.55,2.10,2.97,0.82,8.28,0.67,1.00,1.00,0.71,0.07,0.58,0.13,0.00,0.13
..\data\indiv_files\STAT_C_EN_corrected\2aDec\790.txt,1,26,5,18,5,33,8,21,8,0.64,0.38,0.19,0.00,0.00,0.00,26,26,26,26,0.79,0.79,3.20,4.53,0.93,22.27,0.86,1.00,2.00,1.00,0.10,0.79,0.14,0.10,0.24
..\data\indiv_files\STAT_C_EN_corrected\2aDec\754.txt,1,21,5,16,5,29,5,18,5,0.62,0.28,0.24,0.00,0.00,0.00,21,21,21,21,0.72,0.72,2.76,3.90,0.90,15.26,0.89,1.00,2.00,1.00,0.11,0.82,0.17,0.11,0.28
..\data\indiv_files\STAT_C_EN_corrected\2aDec\870.txt,1,17,4,11,4,29,6,17,6,0.59,0.35,0.24,0.00,0.00,0.00,17,17,17,17,0.59,0.59,2.23,3.16,0.84,9.22,0.65,1.00,1.00,0.71,0.06,0.57,0.12,0.00,0.12
..\data\indiv_files\STAT_C_EN_corrected\2aDec\688.txt,1,16,3,9,3,25,5,13,5,0.52,0.38,0.19,1.00,1.00,0.71,16,16,16,16,0.64,0.64,2.26,3.20,0.86,10.08,0.69,1.00,1.00,0.71,0.08,0.64,0.08,0.00,0.08
..\data\indiv_files\STAT_C_EN_corrected\2aDec\759.txt,1,22,3,14,3,25,3,14,3,0.56,0.21,0.14,0.50,0.50,0.50,22,22,22,22,0.88,0.88,3.11,4.40,0.96,35.20,1.00,1.00,2.00,1.00,0.14,1.00,0.07,0.00,0.07
..\data\indiv_files\STAT_C_EN_corrected\2aDec\753.txt,1,17,5,11,5,24,7,13,7,0.54,0.54,0.29,0.00,0.00,0.00,17,17,17,17,0.71,0.71,2.45,3.47,0.89,12.72,0.85,1.00,1.00,0.71,0.08,0.80,0.15,0.00,0.15
..\data\indiv_files\STAT_C_EN_corrected\2aDec\910.txt,1,18,5,12,5,29,7,17,7,0.59,0.41,0.28,0.00,0.00,0.00,18,18,18,18,0.62,0.62,2.36,3.34,0.86,10.33,0.71,1.00,1.00,0.71,0.06,0.62,0.12,0.06,0.18
..\data\indiv_files\STAT_C_EN_corrected\2aDec\581.txt,1,17,3,10,3,21,3,11,3,0.52,0.27,0.18,0,0,0,17,17,17,17,0.81,0.81,2.62,3.71,0.93,19.05,0.91,0,0,0,0.00,0.89,0.09,0.09,0.18
..\data\indiv_files\STAT_C_EN_corrected\2aDec\574.txt,1,1,0,1,0,1,0,1,0,1.00,0.00,0.00,0,0,0,1,1,1,1,1.00,1.00,0.71,1.00,0,NaN,1.00,0,0,0,0.00,1.00,0.00,0.00,0.00
..\data\indiv_files\STAT_C_EN_corrected\2aDec\532.txt,1,19,3,13,3,22,3,13,3,0.59,0.23,0.16,0.00,0.00,0.00,19,19,19,19,0.86,0.86,2.86,4.05,0.95,28.30,1.00,1.00,1.00,0.71,0.08,1.00,0.15,0.15,0.31
..\data\indiv_files\STAT_C_EN_corrected\2aDec\818.txt,1,19,4,13,4,22,4,13,4,0.59,0.31,0.21,0.50,0.50,0.50,19,19,19,19,0.86,0.86,2.86,4.05,0.95,28.30,1.00,1.00,2.00,1.00,0.15,1.00,0.23,0.08,0.31
..\data\indiv_files\STAT_C_EN_corrected\2aDec\786.txt,1,18,4,9,4,21,4,9,4,0.43,0.44,0.22,0.00,0.00,0.00,18,18,18,18,0.86,0.86,2.78,3.93,0.95,26.11,1.00,1.00,1.00,0.71,0.11,1.00,0.11,0.00,0.11
..\data\indiv_files\STAT_C_EN_corrected\2aDec\665.txt,1,18,5,11,5,31,7,16,7,0.52,0.44,0.28,0.00,0.00,0.00,18,18,18,18,0.58,0.58,2.29,3.23,0.84,9.42,0.69,1.00,1.00,0.71,0.06,0.64,0.06,0.00,0.06
