filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
..\data\indiv_files\STAT_C_EN_corrected\4a\646.txt,1,53,7,32,7,80,8,39,8,0.49,0.21,0.13,0.00,0.00,0.00,53,39,35.50,36.90,0.66,0.78,4.19,5.93,0.91,20.25,0.82,0.80,3.20,1.26,0.10,0.80,0.23,0.08,0.31
..\data\indiv_files\STAT_C_EN_corrected\4a\546.txt,1,29,4,17,4,43,6,25,6,0.58,0.24,0.14,0.20,0.20,0.32,29,29,29,29,0.67,0.67,3.13,4.42,0.90,15.60,0.68,0.80,3.20,1.26,0.16,0.62,0.16,0.12,0.28
..\data\indiv_files\STAT_C_EN_corrected\4a\634.txt,1,49,7,30,6,89,10,44,9,0.49,0.20,0.14,0.10,0.10,0.22,49,34,35.00,34.90,0.55,0.68,3.67,5.19,0.87,14.66,0.68,0.90,8.10,2.01,0.20,0.60,0.18,0.05,0.23
..\data\indiv_files\STAT_C_EN_corrected\4a\921.txt,1,53,9,33,8,74,9,42,8,0.57,0.19,0.17,0.08,0.08,0.20,53,39,38.80,40.80,0.72,0.78,4.36,6.16,0.92,24.10,0.79,0.83,8.33,2.04,0.24,0.82,0.14,0.07,0.21
..\data\indiv_files\STAT_C_EN_corrected\4a\589.txt,1,55,3,35,3,85,3,51,3,0.60,0.06,0.05,0.10,0.10,0.22,55,36,33.90,34.80,0.65,0.72,4.22,5.97,0.90,19.69,0.69,0.90,8.10,2.01,0.18,0.56,0.18,0.16,0.33
..\data\indiv_files\STAT_C_EN_corrected\4a\705.txt,1,39,4,23,4,60,8,28,8,0.47,0.29,0.10,0.00,0.00,0.00,39,34,34.50,34.30,0.65,0.68,3.56,5.03,0.89,16.90,0.82,1.00,5.00,1.58,0.18,0.71,0.21,0.11,0.32
..\data\indiv_files\STAT_C_EN_corrected\4a\664.txt,1,30,4,20,3,36,4,21,3,0.58,0.14,0.13,0.00,0.00,0.00,30,30,30,30,0.83,0.83,3.54,5.00,0.95,30.59,0.95,1.00,6.00,1.73,0.29,1.00,0.19,0.10,0.29
..\data\indiv_files\STAT_C_EN_corrected\4a\853.txt,1,27,3,18,3,28,4,19,4,0.68,0.21,0.11,0.00,0.00,0.00,27,27,27,27,0.96,0.96,3.61,5.10,0.99,132.60,0.95,1.00,4.00,1.41,0.21,0.89,0.21,0.11,0.32
..\data\indiv_files\STAT_C_EN_corrected\4a\699.txt,1,43,5,29,5,59,8,34,8,0.58,0.24,0.12,0.25,0.50,0.50,43,37,38.20,37.70,0.73,0.74,3.96,5.60,0.92,22.83,0.85,1.00,8.00,2.00,0.24,0.92,0.24,0.09,0.32
..\data\indiv_files\STAT_C_EN_corrected\4a\636.txt,1,17,0,10,0,24,0,15,0,0.62,0.00,0.00,0.00,0.00,0.00,17,17,17,17,0.71,0.71,2.45,3.47,0.89,12.72,0.67,1.00,1.00,0.71,0.07,0.40,0.33,0.13,0.47
..\data\indiv_files\STAT_C_EN_corrected\4a\738.txt,1,40,5,27,5,63,9,38,9,0.60,0.24,0.12,0.14,0.14,0.27,40,36,34.40,35.80,0.63,0.72,3.56,5.04,0.89,16.41,0.71,0.86,5.14,1.60,0.16,0.65,0.18,0.13,0.32
..\data\indiv_files\STAT_C_EN_corrected\4a\919.txt,1,38,2,26,2,51,2,28,2,0.55,0.07,0.05,0.00,0.00,0.00,38,37,37.60,37.50,0.75,0.74,3.76,5.32,0.93,22.82,0.93,1.00,5.00,1.58,0.18,0.92,0.29,0.04,0.32
..\data\indiv_files\STAT_C_EN_corrected\4a\587.txt,1,50,4,29,3,75,5,36,3,0.48,0.08,0.08,0.18,0.36,0.43,50,40,37.70,37.40,0.67,0.80,4.08,5.77,0.91,19.97,0.81,0.91,9.09,2.13,0.28,0.77,0.19,0.06,0.25
..\data\indiv_files\STAT_C_EN_corrected\4a\662.txt,1,22,5,11,5,24,5,12,5,0.50,0.42,0.23,0.25,0.25,0.35,22,22,22,22,0.92,0.92,3.18,4.49,0.97,50.41,0.92,0.75,2.25,1.06,0.25,1.00,0.00,0.17,0.17
