filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
100.txt,1,42,13,36,12,54,17,39,13,0.72,0.33,0.31,0.06,0.06,0.17,42,39,39.30,38.40,0.78,0.78,4.04,5.72,0.94,27.50,0.92,0.89,14.22,2.67,0.41,0.92,0.18,0.03,0.21
101.txt,1,81,15,76,13,135,29,108,19,0.80,0.18,0.19,0.06,0.17,0.29,81,39,40.20,40.80,0.60,0.80,4.93,6.97,0.90,20.46,0.70,0.67,23.56,3.43,0.32,0.71,0.11,0.13,0.24
105.txt,1,60,15,55,13,104,22,77,13,0.74,0.17,0.25,0.10,0.38,0.44,60,33,34.50,33.70,0.58,0.66,4.16,5.88,0.88,17.03,0.71,0.64,17.36,2.95,0.35,0.78,0.12,0.06,0.18
106.txt,1,38,15,35,14,56,18,42,16,0.75,0.38,0.39,0.17,0.50,0.50,38,34,35.60,34.30,0.68,0.68,3.59,5.08,0.90,18.15,0.83,0.83,12.50,2.50,0.36,0.71,0.19,0.05,0.24
109.txt,1,45,18,41,17,66,22,49,18,0.74,0.37,0.40,0.17,0.50,0.50,45,34,36.80,33.70,0.68,0.68,3.92,5.54,0.91,19.90,0.84,0.78,10.89,2.33,0.29,0.83,0.18,0.06,0.24
110.txt,1,37,8,32,6,59,15,41,9,0.69,0.22,0.22,0.00,0.00,0.00,37,32,32.80,31.30,0.63,0.64,3.41,4.82,0.89,15.47,0.78,0.86,10.29,2.27,0.29,0.62,0.17,0.12,0.29
111.txt,1,48,12,43,11,72,17,53,12,0.74,0.23,0.25,0.12,0.35,0.42,48,36,37.50,36.20,0.67,0.72,4.00,5.66,0.91,19.59,0.81,0.81,16.96,2.91,0.40,0.75,0.15,0.04,0.19
113.txt,1,50,14,41,11,64,17,48,12,0.75,0.25,0.28,0.09,0.17,0.29,50,41,41.00,41.00,0.78,0.82,4.42,6.25,0.94,30.43,0.85,0.83,15.70,2.80,0.40,0.79,0.19,0.04,0.23
115.txt,1,41,14,38,13,69,24,55,18,0.80,0.33,0.34,0.11,0.33,0.41,41,33,33.30,31.50,0.59,0.66,3.49,4.94,0.88,14.96,0.69,0.67,12.00,2.45,0.33,0.56,0.13,0.07,0.20
116.txt,1,15,4,13,3,15,4,13,3,0.87,0.23,0.27,0.17,0.17,0.29,15,15,15,15,1.00,1.00,2.74,3.87,1.00,NaN,1.00,1.00,6.00,1.73,0.46,1.00,0.15,0.08,0.23
118.txt,1,49,16,45,15,80,24,58,18,0.72,0.31,0.33,0.11,0.32,0.40,49,31,35.00,35.00,0.61,0.62,3.87,5.48,0.89,17.01,0.78,0.75,15.75,2.81,0.36,0.70,0.12,0.05,0.17
120.txt,1,35,14,31,13,48,20,35,14,0.73,0.40,0.40,0.23,0.69,0.59,35,35,35,35,0.73,0.73,3.57,5.05,0.92,20.61,0.89,0.85,9.31,2.16,0.31,0.85,0.17,0.09,0.26
121.txt,1,50,11,44,10,72,18,52,11,0.72,0.21,0.22,0.14,0.41,0.45,50,35,38.50,36.10,0.69,0.70,4.17,5.89,0.91,21.78,0.85,0.86,16.41,2.86,0.37,0.71,0.19,0.10,0.29
122.txt,1,46,13,40,11,63,17,45,12,0.71,0.27,0.28,0.05,0.05,0.16,46,36,37.50,35.50,0.73,0.72,4.10,5.80,0.92,23.70,0.89,0.89,15.21,2.76,0.38,0.80,0.13,0.11,0.24
123.txt,1,44,12,39,10,64,18,48,12,0.75,0.25,0.27,0.10,0.20,0.32,44,32,36.20,33.10,0.69,0.64,3.89,5.50,0.91,20.05,0.81,0.80,12.80,2.53,0.33,0.72,0.10,0.10,0.21
124.txt,1,46,12,42,11,70,16,53,12,0.76,0.23,0.26,0.11,0.33,0.41,46,37,36.00,35.60,0.66,0.74,3.89,5.50,0.90,18.67,0.79,0.74,14.81,2.72,0.38,0.79,0.15,0.06,0.21
