filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
100.txt,1,43,14,37,13,55,18,40,14,0.73,0.35,0.33,0.06,0.06,0.17,43,39,40.00,39.00,0.78,0.78,4.10,5.80,0.94,28.34,0.93,0.89,14.22,2.67,0.40,0.93,0.17,0.03,0.20
101.txt,1,81,15,75,12,135,29,106,17,0.79,0.16,0.19,0.06,0.17,0.29,81,39,40.30,40.30,0.60,0.80,4.93,6.97,0.90,20.46,0.71,0.67,23.56,3.43,0.33,0.74,0.11,0.13,0.25
105.txt,1,61,16,56,14,105,23,78,14,0.74,0.18,0.26,0.10,0.38,0.44,61,34,35.50,34.20,0.58,0.68,4.21,5.95,0.88,17.32,0.72,0.64,17.36,2.95,0.35,0.79,0.12,0.06,0.18
106.txt,1,39,16,36,15,57,19,43,17,0.75,0.40,0.41,0.17,0.50,0.50,39,34,35.50,34.80,0.68,0.68,3.65,5.17,0.91,18.71,0.84,0.83,12.50,2.50,0.35,0.73,0.19,0.05,0.23
109.txt,1,46,19,42,18,67,23,50,19,0.75,0.38,0.41,0.17,0.50,0.50,46,35,37.50,34.20,0.69,0.70,3.97,5.62,0.91,20.42,0.84,0.78,10.89,2.33,0.28,0.84,0.18,0.06,0.24
110.txt,1,40,11,34,8,59,16,40,9,0.68,0.23,0.28,0.07,0.07,0.18,40,34,35.10,33.70,0.68,0.68,3.68,5.21,0.90,18.58,0.85,0.87,11.27,2.37,0.33,0.75,0.17,0.12,0.30
111.txt,1,49,13,44,12,73,18,54,13,0.74,0.24,0.27,0.12,0.35,0.42,49,36,35.90,37.00,0.67,0.72,4.06,5.74,0.91,20.05,0.81,0.81,16.96,2.91,0.39,0.76,0.15,0.04,0.19
113.txt,1,51,15,42,12,66,19,50,14,0.76,0.28,0.29,0.09,0.17,0.29,51,42,40.90,41.40,0.77,0.84,4.44,6.28,0.94,29.57,0.84,0.83,15.70,2.80,0.38,0.75,0.18,0.04,0.22
115.txt,1,41,14,38,13,70,25,56,19,0.80,0.34,0.34,0.11,0.33,0.41,41,33,33.60,31.50,0.59,0.66,3.47,4.90,0.87,14.65,0.68,0.67,12.00,2.45,0.32,0.53,0.12,0.07,0.20
116.txt,1,15,4,13,3,15,4,13,3,0.87,0.23,0.27,0.17,0.17,0.29,15,15,15,15,1.00,1.00,2.74,3.87,1.00,NaN,1.00,1.00,6.00,1.73,0.46,1.00,0.15,0.08,0.23
118.txt,1,49,16,45,15,83,27,60,20,0.72,0.33,0.33,0.11,0.32,0.40,49,31,34.30,34.30,0.59,0.62,3.80,5.38,0.88,16.09,0.75,0.75,15.75,2.81,0.35,0.64,0.12,0.05,0.17
120.txt,1,37,16,32,14,49,21,35,14,0.71,0.40,0.43,0.21,0.64,0.57,37,37,37,37,0.76,0.76,3.74,5.29,0.93,23.42,0.91,0.86,10.29,2.27,0.34,0.92,0.17,0.09,0.26
121.txt,1,51,12,45,11,74,20,53,12,0.72,0.23,0.24,0.10,0.19,0.31,51,35,38.40,36.70,0.69,0.70,4.19,5.93,0.91,21.61,0.85,0.86,15.43,2.78,0.34,0.75,0.19,0.09,0.28
122.txt,1,45,13,40,12,63,18,46,14,0.73,0.30,0.29,0.06,0.06,0.17,45,35,37.00,34.80,0.71,0.70,4.01,5.67,0.92,22.16,0.87,0.89,14.22,2.67,0.35,0.76,0.13,0.11,0.24
123.txt,1,44,13,40,12,65,20,50,15,0.77,0.30,0.30,0.11,0.21,0.32,44,31,36.30,32.00,0.68,0.62,3.86,5.46,0.91,19.39,0.80,0.79,11.84,2.43,0.30,0.71,0.10,0.10,0.20
124.txt,1,46,12,42,11,70,16,53,12,0.76,0.23,0.26,0.11,0.33,0.41,46,37,36.00,36.80,0.66,0.74,3.89,5.50,0.90,18.67,0.79,0.74,14.81,2.72,0.38,0.79,0.15,0.06,0.21
126.txt,1,50,20,45,18,82,30,60,22,0.73,0.37,0.40,0.19,0.93,0.68,50,29,34.90,27.50,0.61,0.58,3.90,5.52,0.89,17.05,0.75,0.78,16.33,2.86,0.35,0.65,0.12,0.07,0.18
130.txt,1,44,12,38,9,66,15,46,10,0.70,0.22,0.27,0.05,0.05,0.15,44,34,36.10,36.20,0.67,0.68,3.83,5.42,0.90,18.80,0.83,0.81,13.76,2.62,0.37,0.75,0.22,0.07,0.28
132.txt,1,32,13,26,11,44,17,30,12,0.68,0.40,0.41,0.23,0.69,0.59,32,32,32,32,0.73,0.73,3.41,4.82,0.92,19.53,0.87,0.85,9.31,2.16,0.37,0.82,0.10,0.10,0.20
134.txt,1,48,13,41,11,86,26,63,18,0.73,0.29,0.27,0.09,0.26,0.36,48,33,34.20,28.40,0.56,0.66,3.66,5.18,0.87,14.78,0.65,0.65,14.24,2.67,0.35,0.50,0.11,0.05,0.16
135.txt,1,24,9,21,8,40,15,30,11,0.75,0.37,0.38,0.17,0.33,0.41,24,24,24,24,0.60,0.60,2.68,3.79,0.86,11.57,0.70,0.75,6.75,1.84,0.30,0.54,0.13,0.03,0.17
