filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\741.txt,1,35,3,21,3,50,4,26,4,0.52,0.15,0.09,0.00,0.00,0.00,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.81,1.00,6.00,1.73,0.23,0.82,0.19,0.08,0.27
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\646.txt,1,36,8,23,8,50,8,27,8,0.54,0.30,0.22,0.22,0.44,0.47,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.85,0.89,7.11,1.89,0.30,0.77,0.07,0.11,0.19
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\546.txt,1,35,3,20,3,50,4,29,4,0.58,0.14,0.09,0.00,0.00,0.00,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.69,0.80,3.20,1.26,0.14,0.58,0.28,0.07,0.34
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\580.txt,1,35,3,20,3,50,3,27,3,0.54,0.11,0.09,0.00,0.00,0.00,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.74,1.00,3.00,1.22,0.11,0.67,0.11,0.07,0.19
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\634.txt,1,38,7,22,6,50,9,29,8,0.58,0.28,0.18,0.12,0.12,0.25,38,38,38.00,38.00,0.76,0.76,3.80,5.37,0.93,24.22,0.76,0.75,4.50,1.50,0.21,0.77,0.14,0.10,0.24
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\630.txt,1,32,7,20,6,50,11,32,10,0.64,0.31,0.22,0.00,0.00,0.00,32,32,32.00,32.00,0.64,0.64,3.20,4.53,0.89,14.89,0.62,0.80,3.20,1.26,0.12,0.53,0.22,0.03,0.25
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\648.txt,1,34,5,20,5,50,5,27,5,0.54,0.19,0.15,0.20,0.20,0.32,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.74,0.80,3.20,1.26,0.15,0.75,0.15,0.11,0.26
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\921.txt,1,42,7,27,7,50,10,32,10,0.64,0.31,0.17,0.00,0.00,0.00,42,42,42.00,42.00,0.84,0.84,4.20,5.94,0.96,38.12,0.84,1.00,4.00,1.41,0.12,0.83,0.25,0.03,0.28
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\589.txt,1,33,4,18,3,50,5,22,3,0.44,0.14,0.12,0.00,0.00,0.00,33,33,33.00,33.00,0.66,0.66,3.30,4.67,0.89,16.00,0.82,0.83,4.17,1.44,0.23,0.77,0.09,0.05,0.14
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\564.txt,1,33,5,21,4,50,5,27,4,0.54,0.15,0.15,0.33,0.33,0.41,33,33,33.00,33.00,0.66,0.66,3.30,4.67,0.89,16.00,0.78,0.67,1.33,0.82,0.07,0.67,0.19,0.15,0.33
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\904.txt,1,41,3,27,3,50,3,32,3,0.64,0.09,0.07,0.00,0.00,0.00,41,41,41.00,41.00,0.82,0.82,4.10,5.80,0.95,33.49,0.84,0.78,5.44,1.65,0.22,0.82,0.12,0.06,0.19
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\664.txt,1,32,4,19,4,50,4,29,4,0.58,0.14,0.12,0.12,0.12,0.25,32,32,32.00,32.00,0.64,0.64,3.20,4.53,0.89,14.89,0.66,0.88,6.12,1.75,0.24,0.40,0.14,0.07,0.21
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\750.txt,1,30,2,18,2,50,3,27,3,0.54,0.11,0.07,0.00,0.00,0.00,30,30,30.00,30.00,0.60,0.60,3.00,4.24,0.87,13.01,0.67,0.75,2.25,1.06,0.11,0.62,0.22,0.07,0.30
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\694.txt,1,40,6,26,6,50,6,28,6,0.56,0.21,0.15,0.25,0.25,0.35,40,40,40.00,40.00,0.80,0.80,4.00,5.66,0.94,29.79,0.93,1.00,4.00,1.41,0.14,0.93,0.21,0.07,0.29
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\839.txt,1,39,5,21,4,50,5,23,4,0.46,0.17,0.13,0.25,0.50,0.50,39,39,39.00,39.00,0.78,0.78,3.90,5.52,0.94,26.75,0.91,0.88,6.12,1.75,0.30,1.00,0.09,0.13,0.22
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\883.txt,1,42,6,24,5,50,6,24,5,0.48,0.21,0.14,0.00,0.00,0.00,42,42,42.00,42.00,0.84,0.84,4.20,5.94,0.96,38.12,1.00,1.00,5.00,1.58,0.21,1.00,0.21,0.12,0.33
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\640.txt,1,35,6,21,6,50,8,25,8,0.50,0.32,0.17,0.20,0.20,0.32,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.84,1.00,5.00,1.58,0.20,0.75,0.16,0.12,0.28
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\853.txt,1,28,6,18,6,50,6,27,6,0.54,0.22,0.21,0.40,0.80,0.63,28,28,28.00,28.00,0.56,0.56,2.80,3.96,0.85,11.46,0.67,1.00,5.00,1.58,0.19,0.56,0.11,0.04,0.15
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\526.txt,1,38,5,24,5,50,5,30,5,0.60,0.17,0.13,0.14,0.14,0.27,38,38,38.00,38.00,0.76,0.76,3.80,5.37,0.93,24.22,0.80,0.86,5.14,1.60,0.20,0.77,0.27,0.00,0.27
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\699.txt,1,37,7,26,6,50,7,30,6,0.60,0.20,0.19,0.22,0.44,0.47,37,37,37.00,37.00,0.74,0.74,3.70,5.23,0.92,22.07,0.87,0.89,7.11,1.89,0.27,0.79,0.17,0.07,0.23
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\636.txt,1,41,8,29,8,50,8,33,8,0.66,0.24,0.20,0.20,0.20,0.32,41,41,41.00,41.00,0.82,0.82,4.10,5.80,0.95,33.49,0.88,0.80,3.20,1.26,0.12,0.84,0.24,0.03,0.27
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\738.txt,1,35,5,21,5,50,5,25,5,0.50,0.20,0.14,0.12,0.12,0.25,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.84,0.75,4.50,1.50,0.24,1.00,0.12,0.04,0.16
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\919.txt,1,29,4,17,4,50,4,26,4,0.52,0.15,0.14,0.00,0.00,0.00,29,29,29.00,29.00,0.58,0.58,2.90,4.10,0.86,12.20,0.65,0.50,1.50,0.87,0.12,0.55,0.19,0.12,0.31
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\562.txt,1,31,6,18,6,50,7,30,7,0.60,0.23,0.19,0.00,0.00,0.00,31,31,31.00,31.00,0.62,0.62,3.10,4.38,0.88,13.90,0.60,0.50,0.50,0.50,0.03,0.62,0.27,0.03,0.30
