filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
100.txt,1,31,6,27,5,50,13,39,7,0.78,0.18,0.19,0.00,0.00,0.00,31,31,31.00,31.00,0.62,0.62,3.10,4.38,0.88,13.90,0.69,0.61,6.72,1.83,0.28,0.67,0.10,0.10,0.21
101.txt,1,34,8,31,8,50,12,45,12,0.90,0.27,0.24,0.05,0.05,0.15,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.69,0.68,10.23,2.26,0.33,0.54,0.13,0.07,0.20
102.txt,1,32,7,30,6,50,11,44,8,0.88,0.18,0.22,0.00,0.00,0.00,32,32,32.00,32.00,0.64,0.64,3.20,4.53,0.89,14.89,0.68,0.62,9.38,2.17,0.34,0.70,0.11,0.07,0.18
103.txt,1,40,12,36,11,50,16,42,12,0.84,0.29,0.30,0.11,0.21,0.32,40,40,40.00,40.00,0.80,0.80,4.00,5.66,0.94,29.79,0.86,0.84,13.47,2.60,0.38,0.86,0.12,0.07,0.19
105.txt,1,36,8,30,6,50,12,41,9,0.82,0.22,0.22,0.05,0.05,0.16,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.73,0.70,9.80,2.21,0.34,0.60,0.10,0.15,0.24
109.txt,1,34,7,30,6,50,17,41,12,0.82,0.29,0.21,0.00,0.00,0.00,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.73,0.89,14.22,2.67,0.39,0.50,0.17,0.02,0.20
110.txt,1,38,6,35,5,50,6,47,5,0.94,0.11,0.16,0.04,0.04,0.14,38,38,38.00,38.00,0.76,0.76,3.80,5.37,0.93,24.22,0.74,0.70,13.37,2.59,0.40,0.75,0.13,0.02,0.15
111.txt,1,31,8,29,6,50,16,45,11,0.90,0.24,0.26,0.04,0.04,0.13,31,31,31.00,31.00,0.62,0.62,3.10,4.38,0.88,13.90,0.64,0.64,11.57,2.41,0.40,0.50,0.09,0.02,0.11
112.txt,1,35,6,31,5,50,8,44,6,0.88,0.14,0.17,0.05,0.05,0.16,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.70,0.68,8.89,2.11,0.30,0.60,0.16,0.05,0.20
114.txt,1,35,6,30,5,50,11,41,7,0.82,0.17,0.17,0.00,0.00,0.00,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.73,0.74,12.57,2.51,0.41,0.60,0.12,0.05,0.17
