filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
..\data\indiv_files_fixed_length\STAT_A_EN_uncorrected\741.txt,1,32,2,20,2,50,3,26,3,0.52,0.12,0.06,0.00,0.00,0.00,32,32,32.00,32.00,0.64,0.64,3.20,4.53,0.89,14.89,0.77,0.80,3.20,1.26,0.15,0.69,0.23,0.04,0.27
..\data\indiv_files_fixed_length\STAT_A_EN_uncorrected\646.txt,1,32,5,18,5,50,6,26,6,0.52,0.23,0.16,0.00,0.00,0.00,32,32,32.00,32.00,0.64,0.64,3.20,4.53,0.89,14.89,0.69,0.86,5.14,1.60,0.23,0.56,0.08,0.04,0.12
..\data\indiv_files_fixed_length\STAT_A_EN_uncorrected\580.txt,1,33,5,23,4,50,6,29,5,0.58,0.17,0.15,0.00,0.00,0.00,33,33,33.00,33.00,0.66,0.66,3.30,4.67,0.89,16.00,0.79,0.80,3.20,1.26,0.14,0.80,0.14,0.10,0.24
..\data\indiv_files_fixed_length\STAT_A_EN_uncorrected\504.txt,1,36,6,19,5,50,7,27,6,0.54,0.22,0.17,0.00,0.00,0.00,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.70,0.83,4.17,1.44,0.19,0.59,0.15,0.00,0.15
..\data\indiv_files_fixed_length\STAT_A_EN_uncorrected\634.txt,1,31,1,20,1,50,1,26,1,0.52,0.04,0.03,0.00,0.00,0.00,31,31,31.00,31.00,0.62,0.62,3.10,4.38,0.88,13.90,0.77,0.80,3.20,1.26,0.15,0.67,0.23,0.00,0.23
..\data\indiv_files_fixed_length\STAT_A_EN_uncorrected\630.txt,1,32,5,16,5,50,10,22,9,0.44,0.41,0.16,0.00,0.00,0.00,32,32,32.00,32.00,0.64,0.64,3.20,4.53,0.89,14.89,0.73,1.00,6.00,1.73,0.27,0.64,0.05,0.00,0.05
..\data\indiv_files_fixed_length\STAT_A_EN_uncorrected\648.txt,1,26,2,16,2,50,3,25,3,0.50,0.12,0.08,0.00,0.00,0.00,26,26,26.00,26.00,0.52,0.52,2.60,3.68,0.83,10.16,0.64,1.00,3.00,1.22,0.12,0.53,0.16,0.04,0.20
..\data\indiv_files_fixed_length\STAT_A_EN_uncorrected\921.txt,1,32,4,20,4,50,5,26,5,0.52,0.19,0.12,0.00,0.00,0.00,32,32,32.00,32.00,0.64,0.64,3.20,4.53,0.89,14.89,0.77,0.88,6.12,1.75,0.27,0.62,0.12,0.08,0.19
..\data\indiv_files_fixed_length\STAT_A_EN_uncorrected\589.txt,1,24,1,12,1,50,2,23,2,0.46,0.09,0.04,0.00,0.00,0.00,24,24,24.00,24.00,0.48,0.48,2.40,3.39,0.81,9.06,0.52,0.75,2.25,1.06,0.13,0.38,0.09,0.09,0.17
..\data\indiv_files_fixed_length\STAT_A_EN_uncorrected\705.txt,1,34,2,19,2,50,3,24,3,0.48,0.12,0.06,0.00,0.00,0.00,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.79,1.00,4.00,1.41,0.17,0.71,0.21,0.00,0.21
