filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
..\data\indiv_files_fixed_length\STAT_C_EN_corrected\2aCaus\646.txt,1,27,5,18,5,50,7,31,7,0.62,0.23,0.19,0.00,0.00,0.00,27,27,27.00,27.00,0.54,0.54,2.70,3.82,0.84,10.79,0.58,0.67,1.33,0.82,0.06,0.47,0.19,0.06,0.26
..\data\indiv_files_fixed_length\STAT_C_EN_corrected\2aCaus\634.txt,1,37,7,24,7,50,7,27,7,0.54,0.26,0.19,0.25,0.25,0.35,37,37,37.00,37.00,0.74,0.74,3.70,5.23,0.92,22.07,0.89,1.00,4.00,1.41,0.15,0.86,0.22,0.11,0.33
..\data\indiv_files_fixed_length\STAT_C_EN_corrected\2aCaus\921.txt,1,34,8,21,8,50,8,24,8,0.48,0.33,0.24,0.00,0.00,0.00,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.88,1.00,1.00,0.71,0.04,0.82,0.25,0.00,0.25
..\data\indiv_files_fixed_length\STAT_C_EN_corrected\2aCaus\589.txt,1,33,7,22,7,50,7,26,7,0.52,0.27,0.21,0.00,0.00,0.00,33,33,33.00,33.00,0.66,0.66,3.30,4.67,0.89,16.00,0.85,1.00,4.00,1.41,0.15,0.67,0.35,0.04,0.38
..\data\indiv_files_fixed_length\STAT_C_EN_corrected\2aCaus\664.txt,1,33,8,19,8,50,8,25,8,0.50,0.32,0.24,0.33,0.67,0.58,33,33,33.00,33.00,0.66,0.66,3.30,4.67,0.89,16.00,0.76,1.00,6.00,1.73,0.24,0.67,0.24,0.04,0.28
..\data\indiv_files_fixed_length\STAT_C_EN_corrected\2aCaus\587.txt,1,29,7,19,7,50,9,26,9,0.52,0.35,0.24,0.00,0.00,0.00,29,29,29.00,29.00,0.58,0.58,2.90,4.10,0.86,12.20,0.73,1.00,2.00,1.00,0.08,0.56,0.23,0.08,0.31
..\data\indiv_files_fixed_length\STAT_C_EN_corrected\2aCaus\645.txt,1,37,8,23,8,50,10,28,10,0.56,0.36,0.22,0.00,0.00,0.00,37,37,37.00,37.00,0.74,0.74,3.70,5.23,0.92,22.07,0.82,1.00,4.00,1.41,0.14,0.64,0.32,0.04,0.36
..\data\indiv_files_fixed_length\STAT_C_EN_corrected\2aCaus\703.txt,1,32,5,17,5,50,5,22,5,0.44,0.23,0.16,0.00,0.00,0.00,32,32,32.00,32.00,0.64,0.64,3.20,4.53,0.89,14.89,0.77,1.00,1.00,0.71,0.05,0.69,0.14,0.09,0.23
..\data\indiv_files_fixed_length\STAT_C_EN_corrected\2aCaus\610.txt,1,36,8,23,7,50,8,27,7,0.54,0.26,0.22,0.00,0.00,0.00,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.85,1.00,1.00,0.71,0.04,0.80,0.37,0.04,0.41
..\data\indiv_files_fixed_length\STAT_C_EN_corrected\2aCaus\654.txt,1,38,9,25,9,50,11,29,11,0.58,0.38,0.24,0.25,0.25,0.35,38,38,38.00,38.00,0.76,0.76,3.80,5.37,0.93,24.22,0.86,1.00,4.00,1.41,0.14,0.75,0.24,0.07,0.31
