"SubjectCode"	"Gender"	"Track"	"Nationality"	"Group"	"DropOut"	"DropOutBinary"	"SchoolMean"	"SchoolDutch"	"SchoolEnglish"	"CoursesOutsideProgramme"	"Exemption"	"PassedBSA"	"EC_Obtained"	"Weighted_Grade"	"EC_Taken"	"Mean_Grade"	"wordtokens_oct"	"ld_oct"	"ls2_oct"	"ndwesz_oct"	"wordtokens_feb"	"ld_feb"	"ls2_feb"	"ndwesz_feb"	"wordtokens_apr"	"ld_apr"	"ls2_apr"	"ndwesz_apr"	"grade_oct"	"grade_feb"	"grade_apr"
100	"M"	"Dutch"	"German"	"German in Dutch track"	"AfterYear1"	1	NA	NA	NA	0	0	"Yes"	48	372	60	6.2	123	0.51	0.09	17.95	105	0.55	0.23	16.45	70	0.5	0.23	16.78	8	10	10
101	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"AfterYear1"	1	NA	NA	NA	1	0	"No"	41	326	41	7.95121951219512	58	0.62	0.18	17.98	106	0.53	0.17	17.53	79	0.52	0.21	18.24	7	10	10
106	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.2	7	5	0	0	"Yes"	47	389	59	6.59322033898305	32	0.53	0.26	15.22	106	0.47	0.16	16.57	33	0.61	0.1	19.14	4	3	10
109	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	60	499.5	60	8.325	60	0.53	0.2	16.79	109	0.5	0.17	15.71	58	0.53	0.21	17.5	6	10	10
110	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"AfterYear1"	1	6.5	6	7	1	0	"Yes"	44	388.5	59	6.58474576271186	115	0.59	0.21	18.45	84	0.57	0.24	16.17	59	0.51	0.22	17.75	10	10	10
111	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.27	6	6	1	0	"Yes"	60	437	60	7.28333333333333	60	0.58	0.25	16.23	89	0.52	0.17	17.89	40	0.55	0.3	17.95	6	10	10
113	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.09	6	7	0	0	"Yes"	47	404.5	59	6.85593220338983	49	0.51	0.21	16.44	99	0.49	0.18	17.39	42	0.57	0.09	17.13	0	10	6
115	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	7.5	8	8	0	0	"Yes"	60	473	60	7.88333333333333	63	0.51	0.32	16.72	78	0.55	0.09	16.94	43	0.67	0.17	18.53	6	10	10
121	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.58	6	6	0	0	"Yes"	54	390	60	6.5	63	0.41	0.14	17.84	116	0.42	0.12	15.27	69	0.45	0.25	17.65	5	7	10
123	"V"	"Dutch"	"German"	"German in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	54	429.5	60	7.15833333333333	119	0.5	0.15	17.85	154	0.45	0.16	17.75	61	0.46	0.1	17.34	6	10	10
124	"V"	"Dutch"	"German"	"German in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	54	430	60	7.16666666666667	108	0.56	0.18	16.1	53	0.49	0.04	15.43	70	0.47	0.15	17.43	8	10	10
126	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	8	8	7	0	0	"Yes"	60	488.5	60	8.14166666666667	94	0.54	0.2	17.59	167	0.56	0.16	17.28	102	0.53	0.22	18.27	6	10	10
130	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.56	6	7	1	0	"Yes"	48	371.5	60	6.19166666666667	90	0.57	0.16	18.23	95	0.53	0.22	16.61	85	0.59	0.15	17.88	10	10	10
132	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.4	6	7	1	0	"Yes"	60	414	60	6.9	55	0.62	0.17	16.28	39	0.56	0.15	17.41	50	0.54	0.25	19.45	5	7	6
134	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	7.33	7	8	0	0	"Yes"	60	529	60	8.81666666666667	103	0.55	0.17	17.32	83	0.49	0.12	16.53	81	0.49	0.18	17.48	6	10	10
135	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.09	5	6	0	0	"No"	34	364	60	6.06666666666667	31	0.61	0.36	16.41	70	0.5	0.11	16.26	39	0.51	0.25	18.02	0	10	0
137	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.09	6	6	1	0	"Yes"	60	468	60	7.8	203	0.56	0.23	18.52	161	0.51	0.12	16.61	57	0.51	0.12	18	10	3	10
138	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"AfterYear1"	1	6.83	6	6	0	0	"Yes"	54	391	60	6.51666666666667	45	0.51	0.26	17.47	108	0.55	0.11	16.77	47	0.45	0.28	16.11	3	10	10
141	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	NA	NA	NA	1	0	"Yes"	60	473	60	7.88333333333333	54	0.52	0.17	17.47	74	0.5	0.2	16.87	35	0.54	0.14	18.56	6	10	10
145	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.33	6	7	0	0	"Yes"	51	373.5	57	6.55263157894737	39	0.54	0.25	15.14	67	0.52	0.24	17.57	46	0.63	0.22	17.4	6	0	10
