SubjectCode,Gender,Track,Natio1,TrackNatio1,DropOut,DropOutBinary,SchoolMean,SchoolDutch,SchoolEnglish,CoursesOutsideProgramme,Exemption,PassedBSA,Course1_Grade,Course2_Grade,Course3_Grade,Course4_Grade,Course5_Grade,Course6_Grade,Course7_Grade,Course8_Grade,Course9_Grade,Course10_Grade,Course11_Grade,Course12_Grade,Course13_Grade,Course1_EC_Worth,Course2_EC_Worth,Course3_EC_Worth,Course4_EC_Worth,Course5_EC_Worth,Course6_EC_Worth,Course7_EC_Worth,Course8_EC_Worth,Course9_EC_Worth,Course10_EC_Worth,Course11_EC_Worth,Course12_EC_Worth,Course13_EC_Worth,wordtokens_oct,ld_oct,ls2_oct,ndwesz_oct,wordtokens_feb,ld_feb,ls2_feb,ndwesz_feb,wordtokens_apr,ld_apr,ls2_apr,ndwesz_apr
100,M,NL,DU,DU_in_NL,AfterYear1,1,,,,0,0,Yes,6.0,6.5,5.0,6.5,6.5,6.5,7.0,7.0,4.0,7.0,6.5,6.0,7.5,5,5,6,3,3,3,4,6,6,1,6,6,6,123.0,0.51,0.09,17.95,105.0,0.55,0.23,16.45,70.0,0.5,0.23,16.78
101,V,NL,NL,NL_in_NL,AfterYear1,1,,, ,1,0,No,6.5,9.5,8.0,8.0,7.0,8.0,9.0,7.5,8.0,,,,,5,5,6,3,3,3,4,6,6,1,6,6,6,58.0,0.62,0.18,17.98,106.0,0.53,0.17,17.53,79.0,0.52,0.21,18.24
106,V,NL,NL,NL_in_NL,No,0,6.2,7.0,5,0,0,Yes,6.0,6.5,5.0,6.5,7.5,7.5,8.5,8.0,6.5,,6.5,4.0,8.0,5,5,6,3,3,3,4,6,6,1,6,6,6,32.0,0.53,0.26,15.22,106.0,0.47,0.16,16.57,33.0,0.61,0.1,19.14
109,M,NL,NL,NL_in_NL,No,0,,,,0,0,Yes,7.5,9.0,8.0,8.0,8.5,7.5,8.0,9.0,8.0,7.0,9.0,9.0,8.0,5,5,6,3,3,3,4,6,6,1,6,6,6,60.0,0.53,0.2,16.79,109.0,0.5,0.17,15.71,58.0,0.53,0.21,17.5
110,M,NL,NL,NL_in_NL,AfterYear1,1,6.5,6.0,7,1,0,Yes,7.5,7.5,4.0,6.5,8.0,5.0,6.0,8.5,4.0,,7.0,7.0,8.0,5,5,6,3,3,3,4,6,6,1,6,6,6,115.0,0.59,0.21,18.45,84.0,0.57,0.24,16.17,59.0,0.51,0.22,17.75
111,V,NL,NL,NL_in_NL,No,0,6.27,6.0,6,1,0,Yes,6.0,6.0,6.5,7.5,7.0,7.5,8.5,8.5,7.0,7.0,8.0,7.5,7.5,5,5,6,3,3,3,4,6,6,1,6,6,6,60.0,0.58,0.25,16.23,89.0,0.52,0.17,17.89,40.0,0.55,0.3,17.95
113,M,NL,NL,NL_in_NL,No,0,6.09,6.0,7,0,0,Yes,6.5,6.5,5.0,7.0,8.5,7.0,8.0,8.5,4.0,,7.0,7.5,8.0,5,5,6,3,3,3,4,6,6,1,6,6,6,49.0,0.51,0.21,16.44,99.0,0.49,0.18,17.39,42.0,0.57,0.09,17.13
115,V,NL,NL,NL_in_NL,No,0,7.5,8.0,8,0,0,Yes,6.5,8.5,8.0,8.5,8.0,7.5,8.5,8.5,7.0,7.0,7.0,9.0,8.0,5,5,6,3,3,3,4,6,6,1,6,6,6,63.0,0.51,0.32,16.72,78.0,0.55,0.09,16.94,43.0,0.67,0.17,18.53
121,V,NL,NL,NL_in_NL,No,0,6.58,6.0,6,0,0,Yes,6.0,6.0,6.5,6.5,6.5,7.0,6.5,8.5,7.0,7.0,3.5,6.5,7.5,5,5,6,3,3,3,4,6,6,1,6,6,6,63.0,0.41,0.14,17.84,116.0,0.42,0.12,15.27,69.0,0.45,0.25,17.65
123,V,NL,DU,DU_in_NL,No,0,,,,0,0,Yes,6.0,8.0,5.0,8.5,6.0,8.0,7.5,8.0,7.5,7.0,7.0,7.0,8.0,5,5,6,3,3,3,4,6,6,1,6,6,6,119.0,0.5,0.15,17.85,154.0,0.45,0.16,17.75,61.0,0.46,0.1,17.34
