"SubjectCode"	"Gender"	"Track"	"Nationality"	"Group"	"DropOut"	"DropOutBinary"	"SchoolMean"	"SchoolDutch"	"SchoolEnglish"	"CoursesOutsideProgramme"	"Exemption"	"PassedBSA"	"EC_Obtained"	"Weighted_Grade"	"EC_Taken"	"Mean_Grade"	"LD"	"LS"	"LV"	"Course1_Grade"	"Course2_Grade"	"Course3_Grade"	"Course4_Grade"	"Course5_Grade"	"Course6_Grade"	"Course7_Grade"	"Course8_Grade"	"Course9_Grade"	"Course10_Grade"	"Course11_Grade"	"Course12_Grade"	"Course13_Grade"	"Course1_EC_Worth"	"Course2_EC_Worth"	"Course3_EC_Worth"	"Course4_EC_Worth"	"Course5_EC_Worth"	"Course6_EC_Worth"	"Course7_EC_Worth"	"Course8_EC_Worth"	"Course9_EC_Worth"	"Course10_EC_Worth"	"Course11_EC_Worth"	"Course12_EC_Worth"	"Course13_EC_Worth"	"Course1_EC_Obtained"	"Course2_EC_Obtained"	"Course3_EC_Obtained"	"Course4_EC_Obtained"	"Course5_EC_Obtained"	"Course6_EC_Obtained"	"Course7_EC_Obtained"	"Course8_EC_Obtained"	"Course9_EC_Obtained"	"Course10_EC_Obtained"	"Course11_EC_Obtained"	"Course12_EC_Obtained"	"Course13_EC_Obtained"	"Course1_Weighted"	"Course2_Weighted"	"Course3_Weighted"	"Course4_Weighted"	"Course5_Weighted"	"Course6_Weighted"	"Course7_Weighted"	"Course8_Weighted"	"Course9_Weighted"	"Course10_Weighted"	"Course11_Weighted"	"Course12_Weighted"	"Course13_Weighted"	"Course1_Passed"	"Course2_Passed"	"Course3_Passed"	"Course4_Passed"	"Course5_Passed"	"Course6_Passed"	"Course7_Passed"	"Course8_Passed"	"Course9_Passed"	"Course10_Passed"	"Course11_Passed"	"Course12_Passed"	"Course13_Passed"
100	"M"	"Dutch"	"German"	"German in Dutch track"	"AfterYear1"	1	NA	NA	NA	0	0	"Yes"	48	372	60	6.2	0.52	0.183333333333333	17.06	6	6.5	5	6.5	6.5	6.5	7	7	4	7	6.5	6	7.5	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	0	3	3	3	4	6	0	1	6	6	6	30	32.5	30	19.5	19.5	19.5	28	42	24	7	39	36	45	1	1	0	1	1	1	1	1	0	1	1	1	1
101	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"AfterYear1"	1	NA	NA	NA	1	0	"No"	41	326	41	7.95121951219512	0.556666666666667	0.186666666666667	17.9166666666667	6.5	9.5	8	8	7	8	9	7.5	8	NA	NA	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	6	6	0	0	0	0	32.5	47.5	48	24	21	24	36	45	48	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
102	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"AfterYear1"	1	6.07	6	7	0	0	"No"	29	296.5	53	5.59433962264151	NA	NA	NA	7.5	7.5	4	6	9.5	7	7	NA	4	NA	1.5	5	6.5	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	0	3	3	3	4	0	0	0	0	0	6	37.5	37.5	24	18	28.5	21	28	0	24	0	9	30	39	1	1	0	1	1	1	1	0	0	0	0	0	1
103	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"AfterYear1"	1	6.18	7	8	1	0	"No"	33	286.5	47	6.09574468085106	NA	NA	NA	5	6.5	7	3.5	7.5	7	7	5	6.5	NA	6	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6	0	5	6	0	3	3	4	0	6	0	6	0	0	25	32.5	42	10.5	22.5	21	28	30	39	0	36	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0
104	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"AfterYear1"	1	6.4	6	8	1	0	"No"	25	266.5	59	4.51694915254237	NA	NA	NA	6.5	6	4	3.5	6.5	4	4.5	1	4	NA	6	3	6	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	0	0	3	0	0	0	0	0	6	0	6	32.5	30	24	10.5	19.5	12	18	6	24	0	36	18	36	1	1	0	0	1	0	0	0	0	0	1	0	1
105	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.4	6	6	0	0	"Yes"	60	472	60	7.86666666666667	NA	NA	NA	7	7	7.5	6.5	8	8.5	9.5	9	8	7	8	7.5	8	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	6	6	1	6	6	6	35	35	45	19.5	24	25.5	38	54	48	7	48	45	48	1	1	1	1	1	1	1	1	1	1	1	1	1
106	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.2	7	5	0	0	"Yes"	47	389	59	6.59322033898305	0.536666666666667	0.173333333333333	16.9766666666667	6	6.5	5	6.5	7.5	7.5	8.5	8	6.5	NA	6.5	4	8	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	0	3	3	3	4	6	6	0	6	0	6	30	32.5	30	19.5	22.5	22.5	34	48	39	0	39	24	48	1	1	0	1	1	1	1	1	1	0	1	0	1
108	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"DuringYear1"	1	5.93	6	6	0	1	"No"	3	72	17	4.23529411764706	NA	NA	NA	NA	4.5	4.5	1.5	6	NA	NA	NA	NA	NA	NA	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	22.5	27	4.5	18	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
109	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	60	499.5	60	8.325	0.52	0.193333333333333	16.6666666666667	7.5	9	8	8	8.5	7.5	8	9	8	7	9	9	8	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	6	6	1	6	6	6	37.5	45	48	24	25.5	22.5	32	54	48	7	54	54	48	1	1	1	1	1	1	1	1	1	1	1	1	1
110	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"AfterYear1"	1	6.5	6	7	1	0	"Yes"	44	388.5	59	6.58474576271186	0.556666666666667	0.223333333333333	17.4566666666667	7.5	7.5	4	6.5	8	5	6	8.5	4	NA	7	7	8	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	0	3	3	0	4	6	0	0	6	6	6	37.5	37.5	24	19.5	24	15	24	51	24	0	42	42	48	1	1	0	1	1	0	1	1	0	0	1	1	1
111	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.27	6	6	1	0	"Yes"	60	437	60	7.28333333333333	0.55	0.24	17.3566666666667	6	6	6.5	7.5	7	7.5	8.5	8.5	7	7	8	7.5	7.5	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	6	6	1	6	6	6	30	30	39	22.5	21	22.5	34	51	42	7	48	45	45	1	1	1	1	1	1	1	1	1	1	1	1	1
112	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	5.89	6	6	1	1	"Yes"	54	405	54	7.5	NA	NA	NA	6	7.5	8	6	8.5	8	8	NA	8	7	7	7	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	0	6	1	6	6	6	30	37.5	48	18	25.5	24	32	0	48	7	42	42	51	1	1	1	1	1	1	1	0	1	1	1	1	1
113	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.09	6	7	0	0	"Yes"	47	404.5	59	6.85593220338983	0.523333333333333	0.16	16.9866666666667	6.5	6.5	5	7	8.5	7	8	8.5	4	NA	7	7.5	8	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	0	3	3	3	4	6	0	0	6	6	6	32.5	32.5	30	21	25.5	21	32	51	24	0	42	45	48	1	1	0	1	1	1	1	1	0	0	1	1	1
114	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	8.5	9	8	1	0	"Yes"	44	425	53	8.0188679245283	NA	NA	NA	9.5	9.5	9	8.5	8.5	4	9	8.5	4	NA	8.5	NA	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	0	4	6	0	0	6	0	6	47.5	47.5	54	25.5	25.5	12	36	51	24	0	51	0	51	1	1	1	1	1	0	1	1	0	0	1	0	1
115	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	7.5	8	8	0	0	"Yes"	60	473	60	7.88333333333333	0.576666666666667	0.193333333333333	17.3966666666667	6.5	8.5	8	8.5	8	7.5	8.5	8.5	7	7	7	9	8	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	6	6	1	6	6	6	32.5	42.5	48	25.5	24	22.5	34	51	42	7	42	54	48	1	1	1	1	1	1	1	1	1	1	1	1	1
