SubjectCode	Gender	Track	Natio1	TrackNatio1	DropOut	DropOutBinary	SchoolMean	SchoolDutch	SchoolEnglish	CoursesOutsideProgramme	Exemption	PassedBSA	Course1_Grade	Course2_Grade	Course3_Grade	Course4_Grade	Course5_Grade	Course6_Grade	Course7_Grade	Course8_Grade	Course9_Grade	Course10_Grade	Course11_Grade	Course12_Grade	Course13_Grade	Course1_EC_Worth	Course2_EC_Worth	Course3_EC_Worth	Course4_EC_Worth	Course5_EC_Worth	Course6_EC_Worth	Course7_EC_Worth	Course8_EC_Worth	Course9_EC_Worth	Course10_EC_Worth	Course11_EC_Worth	Course12_EC_Worth	Course13_EC_Worth
100	M	NL	DU	DU_in_NL	AfterYear1	1				0	0	Yes	6	6.5	5	6.5	6.5	6.5	7	7	4	7	6.5	6	7.5	5	5	6	3	3	3	4	6	6	1	6	6	6
101	V	NL	NL	NL_in_NL	AfterYear1	1			 	1	0	No	6.5	9.5	8	8	7	8	9	7.5	8	NA	NA	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6
102	V	NL	NL	NL_in_NL	AfterYear1	1	6.07	6	7	0	0	No	7.5	7.5	4	6	9.5	7	7	NA	4	NA	1.5	5	6.5	5	5	6	3	3	3	4	6	6	1	6	6	6
103	V	NL	NL	NL_in_NL	AfterYear1	1	6.18	7	8	1	0	No	5	6.5	7	3.5	7.5	7	7	5	6.5	NA	6	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6
104	M	NL	NL	NL_in_NL	AfterYear1	1	6.40	6	8	1	0	No	6.5	6	4	3.5	6.5	4	4.5	1	4	NA	6	3	6	5	5	6	3	3	3	4	6	6	1	6	6	6
105	V	NL	NL	NL_in_NL	No	0	6.40	6	6	0	0	Yes	7	7	7.5	6.5	8	8.5	9.5	9	8	7	8	7.5	8	5	5	6	3	3	3	4	6	6	1	6	6	6
106	V	NL	NL	NL_in_NL	No	0	6.20	7	5	0	0	Yes	6	6.5	5	6.5	7.5	7.5	8.5	8	6.5	NA	6.5	4	8	5	5	6	3	3	3	4	6	6	1	6	6	6
108	M	NL	NL	NL_in_NL	DuringYear1	1	5.93	6	6	0	1	No	NA	4.5	4.5	1.5	6	NA	NA	NA	NA	NA	NA	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6
109	M	NL	NL	NL_in_NL	No	0				0	0	Yes	7.5	9	8	8	8.5	7.5	8	9	8	7	9	9	8	5	5	6	3	3	3	4	6	6	1	6	6	6
110	M	NL	NL	NL_in_NL	AfterYear1	1	6.50	6	7	1	0	Yes	7.5	7.5	4	6.5	8	5	6	8.5	4	NA	7	7	8	5	5	6	3	3	3	4	6	6	1	6	6	6
