subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
741,1,47,4,25,4,94,6,44,6,0.47,0.14,0.09,0.08,0.08,0.20,47,16,16.59,17.50,0.50,0.88,3.43,4.85,0.85,12.93,0.57,0.67,5.33,1.63,0.18,0.50,0.16,0.00,0.16
646,1,99,15,62,15,207,16,96,16,0.46,0.17,0.15,0.15,0.59,0.54,99,16,17.39,17.79,0.48,0.90,4.87,6.88,0.86,16.74,0.65,0.63,10.70,2.31,0.18,0.61,0.18,0.03,0.21
546,1,50,5,28,5,83,6,42,6,0.51,0.14,0.10,0.00,0.00,0.00,50,18,17.39,16.74,0.60,0.90,3.88,5.49,0.89,16.73,0.67,0.56,2.78,1.18,0.12,0.65,0.24,0.00,0.24
504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634,1,84,19,48,15,169,32,89,27,0.53,0.30,0.23,0.16,0.78,0.62,84,18,17.85,18.57,0.50,0.94,4.57,6.46,0.86,16.35,0.54,0.59,11.28,2.38,0.21,0.55,0.10,0.02,0.12
630,1,43,8,24,7,81,16,47,15,0.58,0.32,0.19,0.10,0.10,0.22,43,18,16.23,16.46,0.53,0.85,3.38,4.78,0.86,13.24,0.51,0.80,6.40,1.79,0.17,0.42,0.17,0.00,0.17
648,1,99,20,60,19,231,32,111,31,0.48,0.28,0.20,0.12,0.38,0.43,99,15,17.51,17.61,0.43,0.85,4.61,6.51,0.84,15.18,0.54,0.79,15.04,2.74,0.17,0.52,0.09,0.02,0.11
921,1,49,4,30,4,63,4,37,4,0.59,0.11,0.08,0.00,0.00,0.00,49,14,18.14,18.20,0.78,0.85,4.37,6.17,0.94,29.66,0.81,1.00,6.00,1.73,0.16,0.72,0.24,0.05,0.30
589,1,57,8,29,6,106,10,44,7,0.42,0.16,0.14,0.08,0.08,0.20,57,19,16.60,17.55,0.54,0.89,3.91,5.54,0.87,15.22,0.66,0.77,7.69,1.96,0.23,0.55,0.16,0.02,0.18
705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,1,53,8,29,7,81,9,40,8,0.49,0.20,0.15,0.20,0.20,0.32,53,14,17.15,18.10,0.65,0.89,4.16,5.89,0.90,19.77,0.72,0.60,1.80,0.95,0.07,0.70,0.23,0.03,0.25
904,1,80,9,53,8,139,12,79,11,0.57,0.14,0.11,0.00,0.00,0.00,80,17,17.85,18.80,0.58,0.93,4.80,6.79,0.89,19.14,0.67,0.72,9.39,2.17,0.16,0.65,0.16,0.04,0.20
664,1,93,13,56,13,196,16,101,16,0.52,0.16,0.14,0.10,0.29,0.38,93,15,17.08,17.13,0.47,0.82,4.70,6.64,0.86,16.23,0.55,0.58,10.45,2.29,0.18,0.50,0.13,0.03,0.16
750,1,56,5,32,5,105,8,53,8,0.50,0.15,0.09,0.00,0.00,0.00,56,11,16.96,18.02,0.53,0.84,3.86,5.47,0.86,14.96,0.60,0.78,5.44,1.65,0.13,0.44,0.23,0.06,0.28
839,1,82,15,43,13,161,19,74,16,0.46,0.22,0.18,0.12,0.38,0.43,82,18,17.79,17.90,0.51,0.93,4.57,6.46,0.87,16.62,0.58,0.54,7.04,1.88,0.18,0.60,0.09,0.03,0.12
883,1,82,15,49,13,134,19,60,17,0.45,0.28,0.18,0.18,0.36,0.43,82,18,17.93,17.98,0.61,0.91,5.01,7.08,0.90,21.21,0.82,0.91,9.09,2.13,0.17,0.73,0.18,0.07,0.25
640,1,124,23,71,21,242,29,108,26,0.45,0.24,0.19,0.13,0.52,0.51,124,18,18.01,18.11,0.51,0.91,5.64,7.97,0.88,19.57,0.66,0.68,14.23,2.67,0.19,0.61,0.16,0.04,0.19
853,1,28,5,18,5,60,7,33,7,0.55,0.21,0.18,0.29,0.57,0.53,28,18,15.11,16.93,0.47,0.88,2.56,3.61,0.81,9.55,0.55,0.71,3.57,1.34,0.15,0.45,0.12,0.03,0.15
