subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
100,1,67,7,44,6,124,19,64,10,0.52,0.16,0.10,0.00,0.00,0.00,67,14,16.85,17.98,0.54,0.88,4.25,6.02,0.87,16.39,0.69,0.54,3.77,1.37,0.11,0.62,0.19,0.16,0.34
101,1,39,7,24,6,58,11,36,10,0.62,0.28,0.18,0.00,0.00,0.00,39,20,17.54,17.95,0.67,0.97,3.62,5.12,0.90,18.04,0.67,0.60,3.60,1.34,0.17,0.53,0.19,0.08,0.28
102,1,35,7,21,6,57,11,29,8,0.51,0.28,0.20,0.00,0.00,0.00,35,17,16.83,16.08,0.61,0.88,3.28,4.64,0.88,14.56,0.72,0.75,4.50,1.50,0.21,0.64,0.17,0.10,0.28
103,1,44,14,23,8,54,18,26,9,0.48,0.35,0.32,0.00,0.00,0.00,44,19,18.36,18.24,0.81,0.95,4.23,5.99,0.95,33.74,0.88,1.00,4.00,1.41,0.15,0.85,0.19,0.12,0.31
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1,62,12,36,8,136,34,64,22,0.47,0.34,0.19,0.00,0.00,0.00,62,19,16.89,16.82,0.46,0.86,3.76,5.32,0.84,13.34,0.56,0.62,4.92,1.57,0.12,0.33,0.14,0.16,0.30
106,1,19,5,12,4,32,8,17,5,0.53,0.29,0.26,0.00,0.00,0.00,19,16,14.56,15.25,0.59,0.80,2.38,3.36,0.85,10.01,0.71,0.67,2.67,1.15,0.24,0.50,0.24,0.06,0.29
109,1,35,7,19,6,60,21,32,14,0.53,0.44,0.20,0.00,0.00,0.00,35,14,15.46,16.80,0.58,0.75,3.20,4.52,0.87,13.51,0.59,0.80,3.20,1.26,0.12,0.43,0.22,0.06,0.28
110,1,67,14,44,13,115,21,68,16,0.59,0.24,0.21,0.16,0.64,0.57,67,20,17.70,18.47,0.58,0.92,4.42,6.25,0.89,18.10,0.65,0.44,4.84,1.56,0.16,0.74,0.16,0.07,0.24
111,1,36,9,22,6,60,19,35,13,0.58,0.37,0.25,0.08,0.08,0.20,36,17,15.99,16.25,0.60,0.85,3.29,4.65,0.88,14.25,0.63,0.69,6.23,1.77,0.26,0.40,0.17,0.03,0.20
112,1,39,7,25,5,58,9,35,6,0.60,0.17,0.18,0.00,0.00,0.00,39,19,17.67,18.77,0.67,0.93,3.62,5.12,0.90,18.04,0.71,0.75,4.50,1.50,0.17,0.59,0.20,0.06,0.26
113,1,33,7,20,6,49,14,25,8,0.51,0.32,0.21,0.00,0.00,0.00,33,17,16.66,16.42,0.67,0.82,3.33,4.71,0.90,16.64,0.80,1.00,2.00,1.00,0.08,0.75,0.16,0.08,0.24
114,1,59,10,38,9,115,25,67,17,0.58,0.25,0.17,0.04,0.04,0.14,59,17,17.09,18.12,0.51,0.89,3.89,5.50,0.86,14.65,0.57,0.46,5.54,1.66,0.18,0.50,0.12,0.10,0.22
115,1,38,12,24,9,63,19,32,12,0.51,0.38,0.32,0.20,0.40,0.45,38,18,16.48,16.73,0.60,0.88,3.39,4.79,0.88,14.75,0.75,0.70,4.90,1.57,0.22,0.83,0.09,0.12,0.22
116,1,29,5,17,4,43,9,23,5,0.53,0.22,0.17,0.00,0.00,0.00,29,17,16.25,14.83,0.67,0.88,3.13,4.42,0.90,15.60,0.74,0.56,2.78,1.18,0.22,0.80,0.17,0.00,0.17
117,1,43,11,24,8,72,16,36,10,0.50,0.28,0.26,0.06,0.06,0.17,43,19,17.27,15.75,0.60,0.88,3.58,5.07,0.88,15.41,0.67,0.50,4.50,1.50,0.25,0.85,0.06,0.06,0.11
120,1,47,5,27,4,75,12,43,6,0.57,0.14,0.11,0.07,0.07,0.18,47,14,17.08,17.15,0.63,0.78,3.84,5.43,0.89,17.32,0.63,0.67,6.67,1.83,0.23,0.50,0.16,0.05,0.21
121,1,36,5,18,4,63,14,26,7,0.41,0.27,0.14,0.00,0.00,0.00,36,16,16.09,17.85,0.57,0.85,3.21,4.54,0.86,13.32,0.69,0.71,3.57,1.34,0.19,0.62,0.15,0.04,0.19
123,1,68,11,39,9,120,21,61,12,0.51,0.20,0.16,0.14,0.29,0.38,68,18,17.22,17.88,0.57,0.89,4.39,6.21,0.88,17.53,0.64,0.79,8.64,2.08,0.18,0.48,0.10,0.15,0.25
124,1,45,8,24,6,108,28,60,19,0.56,0.32,0.18,0.00,0.00,0.00,45,15,15.64,16.12,0.42,0.78,3.06,4.33,0.81,10.88,0.40,0.31,1.56,0.88,0.08,0.30,0.10,0.10,0.20
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,1,51,10,28,9,94,26,51,20,0.54,0.39,0.20,0.06,0.06,0.18,51,18,17.12,17.61,0.54,0.84,3.72,5.26,0.87,14.66,0.55,0.62,6.25,1.77,0.20,0.42,0.12,0.08,0.20
127,1,41,8,23,6,78,15,46,9,0.59,0.20,0.20,0.06,0.06,0.17,41,16,16.07,16.66,0.53,0.75,3.28,4.64,0.85,12.82,0.50,0.39,2.72,1.17,0.15,0.50,0.11,0.09,0.20
128,1,38,6,22,3,76,15,38,4,0.50,0.11,0.16,0.00,0.00,0.00,38,15,14.96,15.23,0.50,0.73,3.08,4.36,0.84,11.75,0.58,0.75,4.50,1.50,0.16,0.50,0.13,0.03,0.16
