subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
741,1,56,4,30,4,116,8,54,8,0.47,0.15,0.07,0.07,0.07,0.19,56,17,16.20,16.65,0.48,0.83,3.68,5.20,0.85,13.48,0.56,0.57,4.57,1.51,0.15,0.54,0.19,0.00,0.19
646,1,56,8,33,8,107,10,54,10,0.50,0.19,0.14,0.00,0.00,0.00,56,17,16.59,16.63,0.52,0.86,3.83,5.41,0.86,14.65,0.61,0.73,8.07,2.01,0.20,0.59,0.09,0.06,0.15
546,1,39,3,23,3,49,3,25,3,0.51,0.12,0.08,0.17,0.17,0.29,39,15,17.93,18.52,0.80,0.88,3.94,5.57,0.94,28.82,0.92,1.00,6.00,1.73,0.24,0.86,0.20,0.00,0.20
504,1,56,7,30,6,95,9,46,8,0.48,0.17,0.12,0.09,0.09,0.21,56,19,17.04,16.63,0.59,0.81,4.06,5.75,0.88,17.04,0.65,0.91,9.09,2.13,0.22,0.52,0.13,0.00,0.13
634,1,54,2,36,2,100,4,52,4,0.52,0.08,0.04,0.00,0.00,0.00,54,16,16.07,16.14,0.54,0.82,3.82,5.40,0.87,14.95,0.69,0.77,7.69,1.96,0.19,0.62,0.17,0.02,0.19
630,1,61,8,36,7,110,20,53,18,0.48,0.34,0.13,0.07,0.07,0.18,61,18,17.09,16.81,0.55,0.84,4.11,5.82,0.87,16.27,0.68,0.87,11.27,2.37,0.25,0.67,0.08,0.02,0.09
648,1,48,8,29,7,91,11,43,10,0.47,0.23,0.17,0.17,0.17,0.29,48,16,15.53,16.15,0.53,0.81,3.56,5.03,0.86,13.82,0.67,1.00,6.00,1.73,0.14,0.56,0.19,0.02,0.21
921,1,58,6,36,6,108,8,54,8,0.50,0.15,0.10,0.00,0.00,0.00,58,17,16.50,17.19,0.54,0.86,3.95,5.58,0.87,15.31,0.67,0.78,10.89,2.33,0.26,0.54,0.09,0.09,0.19
589,1,50,2,26,2,100,5,44,5,0.44,0.11,0.04,0.00,0.00,0.00,50,13,15.67,15.67,0.50,0.75,3.54,5.00,0.85,13.29,0.59,0.78,5.44,1.65,0.16,0.48,0.11,0.05,0.16
705,1,45,4,26,4,81,6,38,6,0.47,0.16,0.09,0.00,0.00,0.00,45,16,16.36,16.80,0.56,0.78,3.54,5.00,0.87,14.27,0.68,0.67,2.67,1.15,0.11,0.64,0.21,0.00,0.21
