subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
100,1,57,13,34,10,105,20,58,13,0.55,0.22,0.23,0.08,0.08,0.20,57,16,17.09,16.46,0.54,0.81,3.93,5.56,0.87,15.40,0.59,0.67,5.33,1.63,0.14,0.56,0.16,0.05,0.21
101,1,58,10,31,6,106,19,56,11,0.53,0.20,0.17,0.13,0.27,0.37,58,19,17.30,17.53,0.55,0.87,3.98,5.63,0.87,15.66,0.55,0.73,8.07,2.01,0.20,0.43,0.14,0.04,0.18
103,1,58,15,35,14,95,19,50,16,0.53,0.32,0.26,0.33,1.33,0.82,58,18,17.15,17.41,0.61,0.84,4.21,5.95,0.89,18.25,0.70,0.92,10.08,2.25,0.22,0.54,0.10,0.08,0.18
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1,59,10,33,8,107,29,50,16,0.47,0.32,0.17,0.08,0.08,0.20,59,16,16.67,16.59,0.55,0.83,4.03,5.70,0.87,15.93,0.66,0.69,6.23,1.77,0.18,0.50,0.10,0.12,0.22
109,1,55,11,30,8,111,26,57,13,0.51,0.23,0.20,0.00,0.00,0.00,55,17,16.45,15.86,0.50,0.80,3.69,5.22,0.85,13.72,0.53,0.44,1.78,0.94,0.07,0.59,0.09,0.04,0.12
110,1,52,14,37,13,86,23,50,15,0.58,0.30,0.27,0.12,0.12,0.25,52,14,16.71,16.31,0.60,0.82,3.96,5.61,0.89,17.13,0.74,0.88,6.12,1.75,0.14,0.61,0.10,0.16,0.26
111,1,54,9,34,8,89,21,46,13,0.52,0.28,0.17,0.00,0.00,0.00,54,19,17.27,17.89,0.61,0.91,4.05,5.72,0.89,17.51,0.74,0.91,9.09,2.13,0.22,0.62,0.11,0.07,0.17
113,1,59,13,34,12,102,24,52,15,0.51,0.29,0.22,0.10,0.10,0.22,59,17,17.25,17.40,0.58,0.84,4.13,5.84,0.88,16.97,0.65,0.60,3.60,1.34,0.12,0.71,0.15,0.06,0.21
115,1,46,4,23,2,78,8,43,4,0.55,0.09,0.09,0.00,0.00,0.00,46,17,17.16,16.91,0.59,0.90,3.68,5.21,0.88,15.61,0.53,0.58,4.08,1.43,0.16,0.44,0.14,0.07,0.21
116,1,62,16,37,14,101,26,52,19,0.51,0.37,0.26,0.25,1.00,0.71,62,19,17.60,17.05,0.61,0.88,4.36,6.17,0.89,18.96,0.71,0.75,9.00,2.12,0.23,0.59,0.08,0.10,0.17
117,1,56,13,34,12,109,33,55,19,0.50,0.35,0.23,0.00,0.00,0.00,56,19,16.29,15.81,0.51,0.83,3.79,5.36,0.86,14.35,0.62,0.64,5.79,1.70,0.16,0.54,0.11,0.09,0.20
118,1,50,4,32,3,125,11,71,6,0.57,0.08,0.08,0.00,0.00,0.00,50,15,15.92,16.53,0.40,0.83,3.16,4.47,0.81,11.05,0.45,0.47,3.76,1.37,0.11,0.42,0.10,0.08,0.18
119,1,44,8,25,7,84,25,42,16,0.50,0.38,0.18,0.08,0.08,0.20,44,15,16.13,16.82,0.52,0.84,3.39,4.80,0.85,13.19,0.60,0.77,7.69,1.96,0.24,0.42,0.07,0.05,0.12
121,1,42,5,22,4,116,14,49,6,0.42,0.12,0.12,0.14,0.14,0.27,42,14,14.89,15.28,0.36,0.79,2.76,3.90,0.79,9.66,0.45,0.71,3.57,1.34,0.10,0.38,0.10,0.06,0.16
122,1,47,9,29,8,73,21,41,13,0.56,0.32,0.19,0.14,0.29,0.38,47,19,16.70,16.45,0.64,0.87,3.89,5.50,0.90,18.16,0.71,0.71,7.14,1.89,0.24,0.58,0.15,0.05,0.20
123,1,83,15,49,12,156,30,72,18,0.46,0.25,0.18,0.00,0.00,0.00,83,18,17.60,17.74,0.53,0.89,4.70,6.65,0.88,17.55,0.68,0.76,9.94,2.23,0.18,0.61,0.11,0.07,0.18
