subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
646,1,53,7,32,7,80,8,39,8,0.49,0.21,0.13,0.00,0.00,0.00,53,17,16.81,17.45,0.66,0.88,4.19,5.93,0.91,20.25,0.82,0.80,3.20,1.26,0.10,0.80,0.23,0.08,0.31
546,1,29,4,17,4,43,6,25,6,0.58,0.24,0.14,0.20,0.20,0.32,29,18,16.21,15.60,0.67,0.85,3.13,4.42,0.90,15.60,0.68,0.80,3.20,1.26,0.16,0.62,0.16,0.12,0.28
634,1,49,7,30,6,89,10,44,9,0.49,0.20,0.14,0.10,0.10,0.22,49,18,16.76,17.48,0.55,0.86,3.67,5.19,0.87,14.66,0.68,0.90,8.10,2.01,0.20,0.60,0.18,0.05,0.23
921,1,53,9,33,8,74,9,42,8,0.57,0.19,0.17,0.08,0.08,0.20,53,17,17.93,18.65,0.72,0.92,4.36,6.16,0.92,24.10,0.79,0.83,8.33,2.04,0.24,0.82,0.14,0.07,0.21
589,1,55,3,35,3,85,3,51,3,0.60,0.06,0.05,0.10,0.10,0.22,55,17,16.91,17.35,0.65,0.88,4.22,5.97,0.90,19.69,0.69,0.90,8.10,2.01,0.18,0.56,0.18,0.16,0.33
705,1,39,4,23,4,60,8,28,8,0.47,0.29,0.10,0.00,0.00,0.00,39,15,16.33,16.53,0.65,0.82,3.56,5.03,0.89,16.90,0.82,1.00,5.00,1.58,0.18,0.71,0.21,0.11,0.32
664,1,30,4,20,3,36,4,21,3,0.58,0.14,0.13,0.00,0.00,0.00,30,17,17.61,18.06,0.83,0.85,3.54,5.00,0.95,30.59,0.95,1.00,6.00,1.73,0.29,1.00,0.19,0.10,0.29
853,1,27,3,18,3,28,4,19,4,0.68,0.21,0.11,0.00,0.00,0.00,27,20,19.49,19.78,0.96,1.00,3.61,5.10,0.99,132.60,0.95,1.00,4.00,1.41,0.21,0.89,0.21,0.11,0.32
699,1,43,5,29,5,59,8,34,8,0.58,0.24,0.12,0.25,0.50,0.50,43,15,17.83,17.71,0.73,0.82,3.96,5.60,0.92,22.83,0.85,1.00,8.00,2.00,0.24,0.92,0.24,0.09,0.32
636,1,17,0,10,0,24,0,15,0,0.62,0.00,0.00,0.00,0.00,0.00,17,14,14.78,14.60,0.71,0.70,2.45,3.47,0.89,12.72,0.67,1.00,1.00,0.71,0.07,0.40,0.33,0.13,0.47
919,1,38,2,26,2,51,2,28,2,0.55,0.07,0.05,0.00,0.00,0.00,38,16,16.93,16.71,0.75,0.82,3.76,5.32,0.93,22.82,0.93,1.00,5.00,1.58,0.18,0.92,0.29,0.04,0.32
587,1,50,4,29,3,75,5,36,3,0.48,0.08,0.08,0.18,0.36,0.43,50,18,17.80,17.31,0.67,0.85,4.08,5.77,0.91,19.97,0.81,0.91,9.09,2.13,0.28,0.77,0.19,0.06,0.25
662,1,22,5,11,5,24,5,12,5,0.50,0.42,0.23,0.25,0.25,0.35,22,18,18.62,18.00,0.92,0.90,3.18,4.49,0.97,50.41,0.92,0.75,2.25,1.06,0.25,1.00,0.00,0.17,0.17
703,1,41,3,23,3,67,5,34,5,0.51,0.15,0.07,0.00,0.00,0.00,41,17,16.65,16.94,0.61,0.82,3.54,5.01,0.88,15.63,0.68,1.00,3.00,1.22,0.09,0.67,0.18,0.09,0.26
651,1,39,5,24,5,56,5,31,5,0.55,0.16,0.13,0.30,0.90,0.67,39,14,17.01,16.51,0.70,0.77,3.69,5.21,0.91,19.45,0.77,1.00,10.00,2.24,0.32,0.55,0.19,0.06,0.26
610,1,40,4,25,4,57,5,35,5,0.61,0.14,0.10,0.09,0.09,0.21,40,19,17.38,18.89,0.70,0.97,3.75,5.30,0.91,20.04,0.71,0.73,5.82,1.71,0.23,0.62,0.11,0.23,0.34
654,1,32,6,23,6,40,6,24,6,0.60,0.25,0.19,0.25,0.25,0.35,32,17,17.51,17.14,0.80,0.88,3.58,5.06,0.94,26.48,0.96,1.00,4.00,1.41,0.17,0.86,0.29,0.25,0.54
794,1,59,8,38,8,94,8,53,8,0.56,0.15,0.14,0.00,0.00,0.00,59,17,17.00,17.57,0.63,0.88,4.30,6.09,0.90,19.25,0.72,0.75,6.75,1.84,0.17,0.50,0.23,0.13,0.36
602,1,15,5,11,4,16,5,12,4,0.75,0.33,0.33,0.00,0.00,0.00,15,15,15,15,0.94,0.94,2.65,3.75,0.98,51.73,0.92,1.00,2.00,1.00,0.17,0.86,0.25,0.00,0.25
647,1,42,8,30,8,62,8,37,8,0.60,0.22,0.19,0.29,0.57,0.53,42,17,16.61,17.18,0.68,0.83,3.77,5.33,0.91,18.99,0.81,0.86,5.14,1.60,0.16,0.76,0.24,0.05,0.30
502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531,1,36,4,26,4,50,6,28,6,0.56,0.21,0.11,0.00,0.00,0.00,36,15,16.68,16.81,0.72,0.82,3.60,5.09,0.92,20.23,0.93,1.00,5.00,1.58,0.18,0.92,0.25,0.07,0.32
