subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
100,1,42,13,24,12,54,17,25,13,0.46,0.52,0.31,0.25,0.25,0.35,42,17,17.76,17.54,0.78,0.85,4.04,5.72,0.94,27.50,0.96,1.00,4.00,1.41,0.16,0.92,0.28,0.04,0.32
101,1,81,15,55,13,135,29,72,19,0.53,0.26,0.19,0.19,0.56,0.53,81,18,17.79,18.30,0.60,0.92,4.93,6.97,0.90,20.46,0.76,0.88,12.25,2.47,0.19,0.71,0.17,0.19,0.36
105,1,60,15,36,12,104,22,45,12,0.43,0.27,0.25,0.30,0.90,0.67,60,17,16.94,16.95,0.58,0.89,4.16,5.88,0.88,17.03,0.80,0.80,6.40,1.79,0.18,0.78,0.20,0.11,0.31
106,1,38,15,25,12,56,18,31,14,0.55,0.45,0.39,0.14,0.14,0.27,38,15,16.98,16.31,0.68,0.80,3.59,5.08,0.90,18.15,0.81,0.71,3.57,1.34,0.16,0.71,0.26,0.06,0.32
109,1,45,18,32,15,66,22,37,16,0.56,0.43,0.40,0.17,0.17,0.29,45,18,17.04,16.87,0.68,0.88,3.92,5.54,0.91,19.90,0.86,0.83,4.17,1.44,0.14,0.83,0.24,0.08,0.32
110,1,37,8,22,6,59,15,29,9,0.49,0.31,0.22,0.00,0.00,0.00,37,15,16.09,15.61,0.63,0.75,3.41,4.82,0.89,15.47,0.76,1.00,2.00,1.00,0.07,0.62,0.24,0.17,0.41
111,1,48,12,30,10,72,17,35,11,0.49,0.31,0.25,0.25,0.50,0.50,48,16,17.35,17.01,0.67,0.83,4.00,5.66,0.91,19.59,0.86,1.00,8.00,2.00,0.23,0.75,0.23,0.06,0.29
113,1,50,14,28,10,64,17,32,11,0.50,0.34,0.28,0.14,0.14,0.27,50,17,18.44,18.13,0.78,0.90,4.42,6.25,0.94,30.43,0.88,0.86,5.14,1.60,0.19,0.79,0.28,0.06,0.34
115,1,41,14,25,12,69,24,34,17,0.49,0.50,0.34,0.33,0.67,0.58,41,16,16.69,16.40,0.59,0.80,3.49,4.94,0.88,14.96,0.74,0.83,4.17,1.44,0.15,0.56,0.21,0.12,0.32
116,1,15,4,10,3,15,4,10,3,0.67,0.30,0.27,0.33,0.33,0.41,15,15,15,15,1.00,1.00,2.74,3.87,1.00,NaN,1.00,1.00,3.00,1.22,0.30,1.00,0.20,0.10,0.30
118,1,49,16,29,14,80,24,37,17,0.46,0.46,0.33,0.29,0.57,0.53,49,16,16.88,17.35,0.61,0.86,3.87,5.48,0.89,17.01,0.78,0.71,3.57,1.34,0.14,0.70,0.19,0.08,0.27
120,1,35,14,22,12,48,20,24,13,0.50,0.54,0.40,1.00,2.00,1.00,35,17,16.65,16.00,0.73,0.80,3.57,5.05,0.92,20.61,0.92,1.00,2.00,1.00,0.08,0.85,0.25,0.12,0.38
121,1,50,11,31,9,72,18,36,10,0.50,0.28,0.22,0.33,0.67,0.58,50,17,17.38,17.26,0.69,0.85,4.17,5.89,0.91,21.78,0.86,1.00,6.00,1.73,0.17,0.71,0.28,0.14,0.42
122,1,46,13,25,10,63,17,28,11,0.44,0.39,0.28,0.00,0.00,0.00,46,19,17.42,17.05,0.73,0.88,4.10,5.80,0.92,23.70,0.89,1.00,2.00,1.00,0.07,0.80,0.21,0.18,0.39
123,1,44,12,28,10,64,18,33,12,0.52,0.36,0.27,0.40,0.80,0.63,44,19,17.31,16.74,0.69,0.87,3.89,5.50,0.91,20.05,0.85,1.00,5.00,1.58,0.15,0.72,0.15,0.15,0.30
124,1,46,12,28,10,70,16,34,11,0.49,0.32,0.26,0.25,0.50,0.50,46,18,17.36,17.69,0.66,0.90,3.89,5.50,0.90,18.67,0.82,0.75,4.50,1.50,0.18,0.79,0.24,0.09,0.32
126,1,48,18,27,15,81,29,37,20,0.46,0.54,0.38,0.80,3.20,1.26,48,17,16.56,15.98,0.59,0.84,3.77,5.33,0.88,16.03,0.73,1.00,5.00,1.58,0.14,0.58,0.19,0.11,0.30
130,1,44,12,24,9,66,15,28,10,0.42,0.36,0.27,0.00,0.00,0.00,44,17,17.08,16.95,0.67,0.85,3.83,5.42,0.90,18.80,0.86,0.50,0.50,0.50,0.04,0.77,0.36,0.11,0.46
132,1,30,11,18,9,43,16,22,11,0.51,0.50,0.37,0.40,0.80,0.63,30,15,16.33,15.96,0.70,0.82,3.23,4.57,0.90,17.07,0.82,0.80,3.20,1.26,0.18,0.73,0.14,0.14,0.27
134,1,48,13,27,11,86,26,41,21,0.48,0.51,0.27,0.25,0.50,0.50,48,17,16.68,17.04,0.56,0.86,3.66,5.18,0.87,14.78,0.66,0.88,6.12,1.75,0.17,0.45,0.17,0.07,0.24
