subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
100,1,15,7,9,6,20,10,10,7,0.50,0.70,0.47,0.50,0.50,0.50,15,15,15.00,15.00,0.75,0.75,2.37,3.35,0.90,13.55,0.90,1.00,2.00,1.00,0.20,0.86,0.10,0.00,0.10
101,1,16,7,8,6,22,12,11,9,0.50,0.82,0.44,1.00,1.00,0.71,16,15,14.97,14.34,0.73,0.75,2.41,3.41,0.90,13.03,0.73,1.00,1.00,0.71,0.09,0.71,0.18,0.00,0.18
105,1,18,9,13,8,20,11,13,8,0.65,0.62,0.50,0.50,0.50,0.50,18,18,18.00,18.00,0.90,0.90,2.85,4.02,0.96,36.99,1.00,1.00,2.00,1.00,0.15,1.00,0.15,0.23,0.38
106,1,15,7,10,6,20,10,12,8,0.60,0.67,0.47,0.50,0.50,0.50,15,15,15.00,15.00,0.75,0.75,2.37,3.35,0.90,13.55,0.83,1.00,2.00,1.00,0.17,0.75,0.08,0.08,0.17
109,1,16,7,8,6,24,12,10,8,0.42,0.80,0.44,1.00,1.00,0.71,16,15,14.10,14.20,0.67,0.75,2.31,3.27,0.87,10.82,0.80,1.00,1.00,0.71,0.10,0.75,0.10,0.00,0.10
110,1,19,8,13,7,23,9,15,8,0.65,0.53,0.42,0.33,0.33,0.41,19,18,16.89,17.50,0.83,0.90,2.80,3.96,0.94,22.35,0.87,1.00,3.00,1.22,0.20,0.86,0.13,0.13,0.27
111,1,15,6,8,5,18,9,9,6,0.50,0.67,0.40,0.50,0.50,0.50,15,15,15,15,0.83,0.83,2.50,3.54,0.94,19.90,0.89,1.00,2.00,1.00,0.22,0.83,0.11,0.00,0.11
113,1,18,8,11,7,21,10,12,8,0.57,0.67,0.44,0.50,0.50,0.50,18,17,17.28,17.00,0.86,0.85,2.78,3.93,0.95,26.11,0.92,1.00,2.00,1.00,0.17,0.86,0.17,0.08,0.25
115,1,17,7,9,6,20,10,10,7,0.50,0.70,0.41,0.50,0.50,0.50,17,17,17.00,17.00,0.85,0.85,2.69,3.80,0.95,23.98,0.90,1.00,2.00,1.00,0.20,0.83,0.20,0.00,0.20
116,1,15,6,9,5,18,9,11,7,0.61,0.64,0.40,0.33,0.33,0.41,15,15,15,15,0.83,0.83,2.50,3.54,0.94,19.90,0.82,1.00,3.00,1.22,0.27,0.71,0.09,0.00,0.09
118,1,18,8,11,7,21,10,11,7,0.52,0.64,0.44,0.50,0.50,0.50,18,17,17.23,17.00,0.86,0.85,2.78,3.93,0.95,26.11,1.00,1.00,2.00,1.00,0.18,1.00,0.09,0.09,0.18
120,1,6,3,5,2,6,3,5,2,0.83,0.40,0.50,0.00,0.00,0.00,6,6,6,6,1.00,1.00,1.73,2.45,1.00,NaN,1.00,1.00,2.00,1.00,0.40,1.00,0.00,0.00,0.00
121,1,23,10,16,9,25,11,16,9,0.64,0.56,0.43,0.50,1.00,0.71,23,20,18.73,19.16,0.92,1.00,3.25,4.60,0.97,53.97,1.00,1.00,4.00,1.41,0.25,1.00,0.25,0.06,0.31
122,1,17,8,10,7,24,12,12,9,0.50,0.75,0.47,0.50,0.50,0.50,17,16,15.06,14.61,0.71,0.80,2.45,3.47,0.89,12.72,0.83,1.00,2.00,1.00,0.17,0.86,0.17,0.00,0.17
123,1,14,7,8,5,15,8,8,5,0.53,0.62,0.50,0.33,0.33,0.41,14,14,14,14,0.93,0.93,2.56,3.61,0.97,46.16,1.00,1.00,3.00,1.22,0.38,1.00,0.00,0.00,0.00
124,1,15,6,9,5,20,8,11,7,0.55,0.64,0.40,0.50,1.00,0.71,15,15,15.00,15.00,0.75,0.75,2.37,3.35,0.90,13.55,0.82,0.75,2.25,1.06,0.27,0.83,0.09,0.00,0.09
126,1,17,9,11,8,23,12,12,9,0.52,0.75,0.53,1.00,1.00,0.71,17,16,15.40,15.00,0.74,0.80,2.51,3.54,0.90,14.12,0.92,1.00,1.00,0.71,0.08,0.88,0.17,0.08,0.25
130,1,19,9,13,8,20,9,14,8,0.70,0.57,0.47,0.33,0.33,0.41,19,19,19.00,19.00,0.95,0.95,3.00,4.25,0.98,75.99,0.93,1.00,3.00,1.22,0.21,1.00,0.00,0.07,0.07
132,1,14,8,9,6,14,8,9,6,0.64,0.67,0.57,1.00,1.00,0.71,14,14,14,14,1.00,1.00,2.65,3.74,1.00,NaN,1.00,1.00,1.00,0.71,0.11,1.00,0.22,0.11,0.33
134,1,16,5,9,4,17,5,9,4,0.53,0.44,0.31,0.50,0.50,0.50,16,16,16,16,0.94,0.94,2.74,3.88,0.98,57.50,1.00,1.00,2.00,1.00,0.22,1.00,0.11,0.22,0.33
