subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
100,1,47,11,30,9,70,20,35,11,0.50,0.31,0.23,0.25,0.50,0.50,47,18,16.93,16.79,0.67,0.82,3.97,5.62,0.91,19.68,0.86,0.88,6.12,1.75,0.20,0.77,0.31,0.06,0.37
101,1,58,12,32,8,79,14,41,8,0.52,0.20,0.21,0.08,0.08,0.20,58,19,18.51,18.23,0.73,0.90,4.61,6.53,0.93,26.83,0.78,0.77,7.69,1.96,0.24,0.79,0.20,0.07,0.27
105,1,53,10,33,8,85,18,41,9,0.48,0.22,0.19,0.10,0.10,0.22,53,17,16.85,17.08,0.62,0.87,4.06,5.75,0.89,18.15,0.80,0.80,6.40,1.79,0.20,0.76,0.15,0.07,0.22
106,1,29,3,18,2,33,4,20,3,0.61,0.15,0.10,0.00,0.00,0.00,29,19,18.57,19.14,0.88,0.95,3.57,5.05,0.96,41.09,0.90,1.00,6.00,1.73,0.30,0.80,0.30,0.10,0.40
109,1,38,8,24,6,58,10,31,6,0.53,0.19,0.21,0.14,0.14,0.27,38,16,16.83,17.50,0.66,0.80,3.53,4.99,0.90,16.93,0.77,0.71,3.57,1.34,0.16,0.77,0.26,0.03,0.29
110,1,45,10,27,8,59,10,30,8,0.51,0.27,0.22,0.12,0.12,0.25,45,17,17.68,17.75,0.76,0.88,4.14,5.86,0.93,26.66,0.90,1.00,8.00,2.00,0.27,0.82,0.23,0.10,0.33
111,1,33,10,19,5,40,10,22,5,0.55,0.23,0.30,0.00,0.00,0.00,33,19,18.16,17.95,0.82,0.90,3.69,5.22,0.95,30.72,0.86,0.75,4.50,1.50,0.27,0.86,0.14,0.18,0.32
113,1,33,3,19,2,42,4,24,2,0.57,0.08,0.09,0.00,0.00,0.00,33,17,17.58,17.13,0.79,0.88,3.60,5.09,0.94,25.16,0.79,1.00,8.00,2.00,0.33,0.50,0.17,0.17,0.33
115,1,35,6,26,4,43,8,29,5,0.67,0.17,0.17,0.00,0.00,0.00,35,18,18.19,18.54,0.81,0.93,3.77,5.34,0.95,29.85,0.90,1.00,9.00,2.12,0.31,0.88,0.14,0.21,0.34
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1,43,7,27,5,62,7,35,5,0.56,0.14,0.16,0.09,0.09,0.21,43,18,17.46,17.97,0.69,0.88,3.86,5.46,0.91,20.22,0.77,0.82,7.36,1.92,0.26,0.62,0.14,0.23,0.37
120,1,36,7,18,5,39,7,18,5,0.46,0.28,0.19,0.25,0.50,0.50,36,18,19.11,18.65,0.92,0.90,4.08,5.76,0.98,72.82,1.00,1.00,8.00,2.00,0.44,1.00,0.28,0.06,0.33
121,1,48,12,26,9,69,13,31,9,0.45,0.29,0.25,0.09,0.09,0.21,48,18,17.44,17.66,0.70,0.88,4.09,5.78,0.91,21.45,0.84,0.82,7.36,1.92,0.29,0.75,0.16,0.10,0.26
122,1,35,5,23,4,45,6,30,4,0.67,0.13,0.14,0.00,0.00,0.00,35,19,17.85,19.26,0.78,0.95,3.69,5.22,0.93,25.04,0.77,0.73,5.82,1.71,0.27,0.71,0.13,0.20,0.33
123,1,42,4,22,2,61,8,28,2,0.46,0.07,0.10,0.00,0.00,0.00,42,15,17.28,17.33,0.69,0.83,3.80,5.38,0.91,19.67,0.79,0.80,6.40,1.79,0.29,0.69,0.18,0.00,0.18
124,1,52,8,31,6,70,12,33,6,0.47,0.18,0.15,0.14,0.14,0.27,52,15,17.82,17.38,0.74,0.80,4.39,6.22,0.93,26.37,0.94,1.00,7.00,1.87,0.21,0.83,0.24,0.18,0.42
126,1,59,13,38,11,102,28,54,19,0.53,0.35,0.22,0.00,0.00,0.00,59,17,17.41,18.29,0.58,0.91,4.13,5.84,0.88,16.97,0.70,0.80,6.40,1.79,0.15,0.59,0.17,0.09,0.26
130,1,52,8,36,7,85,17,50,11,0.59,0.22,0.15,0.00,0.00,0.00,52,19,17.33,17.87,0.61,0.90,3.99,5.64,0.89,17.44,0.72,0.89,7.11,1.89,0.16,0.68,0.14,0.16,0.30
132,1,44,11,23,6,50,13,27,7,0.54,0.26,0.25,0.17,0.17,0.29,44,20,18.98,19.46,0.88,0.97,4.40,6.22,0.97,51.99,0.85,1.00,6.00,1.73,0.22,0.75,0.22,0.19,0.41
