filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
100.txt,1,32,7,25,4,50,11,39,6,0.78,0.15,0.22,0.06,0.06,0.18,32,32,32.00,32.00,0.64,0.64,3.20,4.53,0.89,14.89,0.64,0.75,9.00,2.12,0.31,0.50,0.10,0.05,0.15
101.txt,1,34,7,28,4,50,11,41,6,0.82,0.15,0.21,0.05,0.05,0.16,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.68,0.79,11.84,2.43,0.37,0.54,0.10,0.05,0.15
103.txt,1,36,8,32,7,50,9,38,7,0.76,0.18,0.22,0.05,0.05,0.15,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.84,0.90,17.19,2.93,0.50,0.71,0.03,0.05,0.08
106.txt,1,32,7,27,6,50,15,39,10,0.78,0.26,0.22,0.05,0.05,0.15,32,32,32.00,32.00,0.64,0.64,3.20,4.53,0.89,14.89,0.69,0.68,10.23,2.26,0.38,0.62,0.03,0.08,0.10
109.txt,1,28,5,23,2,50,11,40,4,0.80,0.10,0.18,0.00,0.00,0.00,28,28,28.00,28.00,0.56,0.56,2.80,3.96,0.85,11.46,0.57,0.61,6.72,1.83,0.28,0.50,0.07,0.03,0.10
110.txt,1,30,7,26,6,50,13,37,7,0.74,0.19,0.23,0.06,0.06,0.17,30,30,30.00,30.00,0.60,0.60,3.00,4.24,0.87,13.01,0.70,0.82,11.53,2.40,0.38,0.56,0.03,0.03,0.05
111.txt,1,34,6,30,5,50,11,40,8,0.80,0.20,0.18,0.00,0.00,0.00,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.75,0.82,14.73,2.71,0.45,0.62,0.05,0.00,0.05
113.txt,1,35,8,32,7,50,12,41,8,0.82,0.20,0.23,0.00,0.00,0.00,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.78,0.76,12.19,2.47,0.39,0.79,0.12,0.00,0.12
115.txt,1,30,3,26,2,50,5,44,4,0.88,0.09,0.10,0.00,0.00,0.00,30,30,30.00,30.00,0.60,0.60,3.00,4.24,0.87,13.01,0.59,0.61,8.52,2.06,0.32,0.50,0.11,0.02,0.14
116.txt,1,35,10,32,8,50,13,42,10,0.84,0.24,0.29,0.09,0.17,0.29,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.76,0.70,11.13,2.36,0.38,0.79,0.07,0.05,0.12
117.txt,1,36,6,31,5,50,10,39,5,0.78,0.13,0.17,0.00,0.00,0.00,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.79,0.82,14.73,2.71,0.46,0.69,0.05,0.05,0.10
118.txt,1,28,1,24,0,50,1,42,0,0.84,0.00,0.04,0.00,0.00,0.00,28,28,28.00,28.00,0.56,0.56,2.80,3.96,0.85,11.46,0.57,0.59,7.68,1.96,0.31,0.64,0.07,0.02,0.10
119.txt,1,30,6,25,5,50,15,37,10,0.74,0.27,0.20,0.05,0.05,0.15,30,30,30.00,30.00,0.60,0.60,3.00,4.24,0.87,13.01,0.68,0.76,12.19,2.47,0.43,0.53,0.00,0.03,0.03
121.txt,1,29,3,25,2,50,5,39,2,0.78,0.05,0.10,0.00,0.00,0.00,29,29,29.00,29.00,0.58,0.58,2.90,4.10,0.86,12.20,0.64,0.70,9.80,2.21,0.36,0.55,0.10,0.03,0.13
122.txt,1,36,4,32,3,50,11,42,6,0.84,0.14,0.11,0.00,0.00,0.00,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.76,0.79,15.04,2.74,0.45,0.64,0.05,0.05,0.10
123.txt,1,37,9,31,6,50,11,39,6,0.78,0.15,0.24,0.00,0.00,0.00,37,37,37.00,37.00,0.74,0.74,3.70,5.23,0.92,22.07,0.79,0.71,10.71,2.31,0.38,0.88,0.03,0.03,0.05
124.txt,1,28,1,24,0,50,3,38,0,0.76,0.00,0.04,0.00,0.00,0.00,28,28,28.00,28.00,0.56,0.56,2.80,3.96,0.85,11.46,0.63,0.67,8.00,2.00,0.32,0.58,0.08,0.05,0.13
126.txt,1,35,9,30,8,50,10,40,9,0.80,0.23,0.26,0.06,0.06,0.17,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.75,0.76,9.94,2.23,0.33,0.79,0.12,0.03,0.15
129.txt,1,33,3,30,2,50,6,39,2,0.78,0.05,0.09,0.04,0.04,0.14,33,33,33.00,33.00,0.66,0.66,3.30,4.67,0.89,16.00,0.77,0.75,13.50,2.60,0.46,0.73,0.08,0.03,0.10
130.txt,1,35,6,30,4,50,10,37,4,0.74,0.11,0.17,0.00,0.00,0.00,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.81,0.83,12.50,2.50,0.41,0.73,0.11,0.00,0.11
134.txt,1,34,4,29,3,50,6,40,4,0.80,0.10,0.12,0.00,0.00,0.00,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.72,0.83,12.50,2.50,0.38,0.60,0.10,0.03,0.12
135.txt,1,32,3,28,2,50,6,42,4,0.84,0.10,0.09,0.00,0.00,0.00,32,32,32.00,32.00,0.64,0.64,3.20,4.53,0.89,14.89,0.67,0.77,13.14,2.56,0.40,0.47,0.05,0.02,0.07
137.txt,1,31,5,24,2,50,6,39,3,0.78,0.08,0.16,0.00,0.00,0.00,31,31,31.00,31.00,0.62,0.62,3.10,4.38,0.88,13.90,0.62,0.65,8.45,2.06,0.33,0.50,0.08,0.05,0.13
138.txt,1,34,1,31,0,50,1,42,0,0.84,0.00,0.03,0.00,0.00,0.00,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.74,0.76,12.19,2.47,0.38,0.69,0.07,0.07,0.14
139.txt,1,30,4,26,3,50,8,39,4,0.78,0.10,0.13,0.05,0.05,0.16,30,30,30.00,30.00,0.60,0.60,3.00,4.24,0.87,13.01,0.67,0.79,11.84,2.43,0.38,0.50,0.08,0.03,0.10
141.txt,1,38,8,35,7,50,11,43,9,0.86,0.21,0.21,0.00,0.00,0.00,38,38,38.00,38.00,0.76,0.76,3.80,5.37,0.93,24.22,0.81,0.82,18.89,3.07,0.53,0.77,0.05,0.00,0.05
142.txt,1,35,8,30,6,50,14,37,8,0.74,0.22,0.23,0.05,0.05,0.15,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.81,0.81,13.76,2.62,0.46,0.73,0.11,0.03,0.14
143.txt,1,28,3,26,2,50,6,43,2,0.86,0.05,0.11,0.05,0.05,0.15,28,28,28.00,28.00,0.56,0.56,2.80,3.96,0.85,11.46,0.60,0.50,5.50,1.66,0.26,0.73,0.14,0.02,0.16
144.txt,1,33,8,30,7,50,12,43,10,0.86,0.23,0.24,0.00,0.00,0.00,33,33,33.00,33.00,0.66,0.66,3.30,4.67,0.89,16.00,0.70,0.70,11.13,2.36,0.37,0.65,0.02,0.05,0.07
145.txt,1,39,8,34,7,50,13,38,8,0.76,0.21,0.21,0.00,0.00,0.00,39,39,39.00,39.00,0.78,0.78,3.90,5.52,0.94,26.75,0.89,0.83,12.50,2.50,0.39,0.93,0.05,0.08,0.13
147.txt,1,31,5,28,4,50,7,40,5,0.80,0.12,0.16,0.05,0.05,0.15,31,31,31.00,31.00,0.62,0.62,3.10,4.38,0.88,13.90,0.70,0.71,10.71,2.31,0.38,0.54,0.10,0.05,0.15
148.txt,1,31,1,27,0,50,1,43,0,0.86,0.00,0.03,0.00,0.00,0.00,31,31,31.00,31.00,0.62,0.62,3.10,4.38,0.88,13.90,0.63,0.65,11.12,2.36,0.40,0.57,0.05,0.00,0.05
149.txt,1,34,8,29,7,50,18,37,11,0.74,0.30,0.24,0.05,0.05,0.16,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.78,0.84,13.47,2.60,0.43,0.71,0.08,0.00,0.08
150.txt,1,34,6,31,5,50,10,43,7,0.86,0.16,0.18,0.03,0.03,0.13,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.72,0.72,15.21,2.76,0.49,0.69,0.00,0.02,0.02
152.txt,1,35,6,30,5,50,11,41,8,0.82,0.20,0.17,0.00,0.00,0.00,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.73,0.70,11.13,2.36,0.39,0.64,0.10,0.07,0.17
153.txt,1,32,7,27,5,50,10,43,8,0.86,0.19,0.22,0.05,0.05,0.15,32,32,32.00,32.00,0.64,0.64,3.20,4.53,0.89,14.89,0.63,0.77,13.14,2.56,0.40,0.40,0.09,0.00,0.09
154.txt,1,34,2,31,1,50,3,45,2,0.90,0.04,0.06,0.00,0.00,0.00,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.69,0.68,14.23,2.67,0.47,0.67,0.09,0.00,0.09
155.txt,1,38,11,32,8,50,17,38,9,0.76,0.24,0.29,0.10,0.19,0.31,38,38,38.00,38.00,0.76,0.76,3.80,5.37,0.93,24.22,0.84,0.90,17.19,2.93,0.50,0.69,0.03,0.08,0.11
156.txt,1,40,8,36,7,50,12,39,7,0.78,0.18,0.20,0.09,0.18,0.30,40,40,40.00,40.00,0.80,0.80,4.00,5.66,0.94,29.79,0.92,0.95,20.05,3.17,0.54,0.86,0.05,0.03,0.08
157.txt,1,31,2,27,1,50,5,43,2,0.86,0.05,0.06,0.00,0.00,0.00,31,31,31.00,31.00,0.62,0.62,3.10,4.38,0.88,13.90,0.63,0.64,11.57,2.41,0.42,0.60,0.07,0.00,0.07
158.txt,1,27,2,24,1,50,4,44,1,0.88,0.02,0.07,0.00,0.00,0.00,27,27,27.00,27.00,0.54,0.54,2.70,3.82,0.84,10.79,0.55,0.50,5.50,1.66,0.25,0.54,0.11,0.02,0.14
159.txt,1,36,11,32,9,50,16,42,11,0.84,0.26,0.31,0.05,0.05,0.16,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.76,0.74,10.32,2.27,0.33,0.75,0.02,0.05,0.07
160.txt,1,35,5,30,3,50,5,39,3,0.78,0.08,0.14,0.00,0.00,0.00,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.77,0.77,13.14,2.56,0.44,0.69,0.10,0.00,0.10
