filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\646.txt,1,39,5,24,5,50,5,26,5,0.52,0.19,0.13,0.00,0.00,0.00,39,39,39.00,39.00,0.78,0.78,3.90,5.52,0.94,26.75,0.92,0.75,2.25,1.06,0.12,0.92,0.27,0.08,0.35
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\634.txt,1,34,5,21,5,50,6,26,6,0.52,0.23,0.15,0.14,0.14,0.27,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.81,1.00,7.00,1.87,0.27,0.69,0.15,0.04,0.19
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\921.txt,1,39,5,23,5,50,5,27,5,0.54,0.19,0.13,0.00,0.00,0.00,39,39,39.00,39.00,0.78,0.78,3.90,5.52,0.94,26.75,0.85,0.78,5.44,1.65,0.26,0.82,0.19,0.07,0.26
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\589.txt,1,36,3,24,3,50,3,29,3,0.58,0.10,0.08,0.12,0.12,0.25,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.83,0.88,6.12,1.75,0.24,0.75,0.17,0.10,0.28
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\705.txt,1,34,4,21,4,50,6,23,6,0.46,0.26,0.12,0.00,0.00,0.00,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.91,1.00,3.00,1.22,0.13,0.82,0.26,0.13,0.39
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\699.txt,1,37,4,25,4,50,6,29,6,0.58,0.21,0.11,0.17,0.17,0.29,37,37,37.00,37.00,0.74,0.74,3.70,5.23,0.92,22.07,0.86,1.00,6.00,1.73,0.21,0.90,0.24,0.10,0.34
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\738.txt,1,36,3,24,3,50,4,28,4,0.56,0.14,0.08,0.00,0.00,0.00,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.86,1.00,5.00,1.58,0.18,0.82,0.21,0.14,0.36
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\919.txt,1,37,2,25,2,50,2,27,2,0.54,0.07,0.05,0.00,0.00,0.00,37,37,37.00,37.00,0.74,0.74,3.70,5.23,0.92,22.07,0.93,1.00,5.00,1.58,0.19,0.92,0.30,0.04,0.33
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\587.txt,1,40,3,23,2,50,4,24,2,0.48,0.08,0.07,0.11,0.11,0.24,40,40,40.00,40.00,0.80,0.80,4.00,5.66,0.94,29.79,0.96,1.00,9.00,2.12,0.38,1.00,0.17,0.00,0.17
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\645.txt,1,36,2,22,2,50,2,27,2,0.54,0.07,0.06,0.00,0.00,0.00,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.81,1.00,9.00,2.12,0.33,0.60,0.15,0.11,0.26
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\703.txt,1,34,2,18,2,50,3,23,3,0.46,0.13,0.06,0.00,0.00,0.00,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.78,1.00,3.00,1.22,0.13,0.85,0.17,0.04,0.22
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\651.txt,1,34,2,19,2,50,2,26,2,0.52,0.08,0.06,0.12,0.12,0.25,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.73,1.00,8.00,2.00,0.31,0.55,0.12,0.08,0.19
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\610.txt,1,37,4,22,4,50,5,30,5,0.60,0.17,0.11,0.09,0.09,0.21,37,37,37.00,37.00,0.74,0.74,3.70,5.23,0.92,22.07,0.73,0.73,5.82,1.71,0.27,0.71,0.10,0.20,0.30
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\794.txt,1,35,4,23,4,50,4,28,4,0.56,0.14,0.11,0.00,0.00,0.00,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.82,0.75,4.50,1.50,0.21,0.73,0.18,0.14,0.32
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\647.txt,1,35,8,26,8,50,8,31,8,0.62,0.26,0.23,0.33,0.67,0.58,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.84,0.83,4.17,1.44,0.16,0.86,0.23,0.06,0.29
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\531.txt,1,36,4,26,4,50,6,28,6,0.56,0.21,0.11,0.00,0.00,0.00,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.93,1.00,5.00,1.58,0.18,0.92,0.25,0.07,0.32
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\521.txt,1,37,7,25,7,50,9,31,9,0.62,0.29,0.19,0.17,0.17,0.29,37,37,37.00,37.00,0.74,0.74,3.70,5.23,0.92,22.07,0.81,0.83,4.17,1.44,0.16,0.78,0.29,0.13,0.42
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\913.txt,1,45,5,26,5,50,5,27,5,0.54,0.19,0.11,0.00,0.00,0.00,45,45,45.00,45.00,0.90,0.90,4.50,6.36,0.97,63.08,0.96,0.88,6.12,1.75,0.26,1.00,0.22,0.15,0.37
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\846.txt,1,36,3,22,3,50,4,29,4,0.58,0.14,0.08,0.00,0.00,0.00,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.76,1.00,4.00,1.41,0.14,0.80,0.21,0.03,0.24
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\697.txt,1,35,2,21,2,50,2,29,2,0.58,0.07,0.06,0.00,0.00,0.00,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.72,0.67,2.67,1.15,0.14,0.77,0.14,0.10,0.24
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\519.txt,1,31,6,19,6,50,6,25,6,0.50,0.24,0.19,0.50,0.50,0.50,31,31,31.00,31.00,0.62,0.62,3.10,4.38,0.88,13.90,0.76,1.00,2.00,1.00,0.08,0.69,0.20,0.12,0.32
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\801.txt,1,36,5,21,5,50,9,30,9,0.60,0.30,0.14,0.20,0.20,0.32,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.70,1.00,5.00,1.58,0.17,0.59,0.17,0.07,0.23
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\868.txt,1,39,6,25,5,50,7,31,6,0.62,0.19,0.15,0.00,0.00,0.00,39,39,39.00,39.00,0.78,0.78,3.90,5.52,0.94,26.75,0.81,0.71,3.57,1.34,0.16,0.80,0.26,0.16,0.42
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\669.txt,1,40,3,23,3,50,4,26,4,0.52,0.15,0.07,0.00,0.00,0.00,40,40,40.00,40.00,0.80,0.80,4.00,5.66,0.94,29.79,0.88,1.00,5.00,1.58,0.19,0.92,0.23,0.04,0.27
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\563.txt,1,32,3,21,3,50,4,29,4,0.58,0.14,0.09,0.00,0.00,0.00,32,32,32.00,32.00,0.64,0.64,3.20,4.53,0.89,14.89,0.72,0.83,4.17,1.44,0.17,0.79,0.17,0.07,0.24
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\889.txt,1,33,2,20,2,50,2,26,2,0.52,0.08,0.06,0.00,0.00,0.00,33,33,33.00,33.00,0.66,0.66,3.30,4.67,0.89,16.00,0.77,0.71,3.57,1.34,0.19,0.82,0.19,0.08,0.27
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\742.txt,1,39,5,26,5,50,5,27,5,0.54,0.19,0.13,0.00,0.00,0.00,39,39,39.00,39.00,0.78,0.78,3.90,5.52,0.94,26.75,0.96,1.00,7.00,1.87,0.26,0.91,0.26,0.07,0.33
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\896.txt,1,33,3,23,3,50,5,29,5,0.58,0.17,0.09,0.17,0.17,0.29,33,33,33.00,33.00,0.66,0.66,3.30,4.67,0.89,16.00,0.79,1.00,6.00,1.73,0.21,0.86,0.14,0.14,0.28
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\591.txt,1,41,6,24,5,50,6,27,5,0.54,0.19,0.15,0.00,0.00,0.00,41,41,41.00,41.00,0.82,0.82,4.10,5.80,0.95,33.49,0.89,1.00,4.00,1.41,0.15,0.77,0.33,0.04,0.37
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\914.txt,1,41,10,26,9,50,11,29,10,0.58,0.34,0.24,0.00,0.00,0.00,41,41,41.00,41.00,0.82,0.82,4.10,5.80,0.95,33.49,0.90,1.00,5.00,1.58,0.17,0.85,0.21,0.14,0.34
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\736.txt,1,34,8,24,8,50,9,26,9,0.52,0.35,0.24,0.00,0.00,0.00,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.92,1.00,2.00,1.00,0.08,0.93,0.31,0.08,0.38
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\625.txt,1,39,7,24,7,50,9,27,9,0.54,0.33,0.18,0.50,1.00,0.71,39,39,39.00,39.00,0.78,0.78,3.90,5.52,0.94,26.75,0.89,1.00,4.00,1.41,0.15,0.85,0.30,0.04,0.33
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\733.txt,1,36,2,21,2,50,4,27,4,0.54,0.15,0.06,0.00,0.00,0.00,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.78,1.00,6.00,1.73,0.22,0.77,0.15,0.04,0.19
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\588.txt,1,31,4,20,4,50,4,27,4,0.54,0.15,0.13,0.17,0.17,0.29,31,31,31.00,31.00,0.62,0.62,3.10,4.38,0.88,13.90,0.74,1.00,6.00,1.73,0.22,0.64,0.15,0.07,0.22
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\779.txt,1,37,5,23,5,50,5,28,5,0.56,0.18,0.14,0.17,0.17,0.29,37,37,37.00,37.00,0.74,0.74,3.70,5.23,0.92,22.07,0.82,1.00,6.00,1.73,0.21,0.64,0.21,0.07,0.29
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\632.txt,1,39,4,22,4,50,4,25,4,0.50,0.16,0.10,0.00,0.00,0.00,39,39,39.00,39.00,0.78,0.78,3.90,5.52,0.94,26.75,0.88,0.70,4.90,1.57,0.28,1.00,0.12,0.20,0.32
U:\GitHub\StudyLanguage\src\..\data\indiv_files_truncated\STAT_C_EN_corrected\4a\678.txt,1,33,6,23,6,50,9,29,9,0.58,0.31,0.18,0.00,0.00,0.00,33,33,33.00,33.00,0.66,0.66,3.30,4.67,0.89,16.00,0.79,0.83,4.17,1.44,0.17,0.83,0.17,0.17,0.34
