subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
100,1,39,14,34,13,50,17,36,13,0.72,0.36,0.36,0.06,0.06,0.18,39,39,39.00,39.00,0.78,0.78,3.90,5.52,0.94,26.75,0.94,0.88,12.25,2.47,0.39,1.00,0.19,0.03,0.22
101,1,39,10,33,7,50,13,38,7,0.76,0.18,0.26,0.06,0.06,0.18,39,39,39.00,39.00,0.78,0.78,3.90,5.52,0.94,26.75,0.87,0.88,12.25,2.47,0.37,0.88,0.18,0.13,0.32
105,1,34,12,28,10,50,14,36,10,0.72,0.28,0.35,0.12,0.25,0.35,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.78,0.75,9.00,2.12,0.33,0.75,0.14,0.06,0.19
106,1,34,13,31,12,50,15,38,14,0.76,0.37,0.38,0.07,0.07,0.18,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.82,0.80,9.60,2.19,0.32,0.71,0.18,0.05,0.24
109,1,35,14,31,13,50,17,37,14,0.74,0.38,0.40,0.15,0.31,0.39,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.84,0.85,9.31,2.16,0.30,0.79,0.19,0.05,0.24
110,1,34,8,29,6,50,13,34,7,0.68,0.21,0.24,0.08,0.08,0.20,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.85,0.92,10.08,2.25,0.32,0.70,0.21,0.12,0.32
111,1,36,9,32,8,50,12,36,8,0.72,0.22,0.25,0.07,0.07,0.19,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.89,0.93,12.07,2.46,0.36,0.79,0.19,0.03,0.22
113,1,42,14,35,12,50,14,38,12,0.76,0.32,0.33,0.13,0.27,0.37,42,42,42.00,42.00,0.84,0.84,4.20,5.94,0.96,38.12,0.92,0.93,13.07,2.56,0.37,0.83,0.24,0.05,0.29
115,1,33,12,30,11,50,18,38,14,0.76,0.37,0.36,0.11,0.22,0.33,33,33,33.00,33.00,0.66,0.66,3.30,4.67,0.89,16.00,0.79,0.83,12.50,2.50,0.39,0.62,0.16,0.03,0.18
118,1,31,9,27,8,50,13,36,9,0.72,0.25,0.29,0.07,0.07,0.18,31,31,31.00,31.00,0.62,0.62,3.10,4.38,0.88,13.90,0.75,0.67,6.67,1.83,0.28,0.69,0.17,0.06,0.22
121,1,35,11,28,9,50,15,33,9,0.66,0.27,0.31,0.18,0.36,0.43,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.85,0.91,9.09,2.13,0.30,0.73,0.21,0.09,0.30
122,1,35,11,30,10,50,15,35,11,0.70,0.31,0.31,0.08,0.08,0.20,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.86,0.83,8.33,2.04,0.29,0.79,0.14,0.11,0.26
123,1,31,9,27,8,50,16,37,11,0.74,0.30,0.29,0.08,0.08,0.20,31,31,31.00,31.00,0.62,0.62,3.10,4.38,0.88,13.90,0.73,0.69,6.23,1.77,0.24,0.65,0.11,0.08,0.19
