subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
100,1,35,6,30,5,50,13,35,7,0.70,0.20,0.17,0.00,0.00,0.00,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.86,0.93,12.07,2.46,0.37,0.70,0.26,0.03,0.29
101,1,44,10,36,6,50,12,38,6,0.76,0.16,0.23,0.00,0.00,0.00,44,44,44.00,44.00,0.88,0.88,4.40,6.22,0.97,51.99,0.95,0.91,18.18,3.02,0.53,1.00,0.13,0.03,0.16
105,1,33,6,28,5,50,9,34,5,0.68,0.15,0.18,0.00,0.00,0.00,33,33,33.00,33.00,0.66,0.66,3.30,4.67,0.89,16.00,0.82,0.75,9.00,2.12,0.35,0.85,0.12,0.03,0.15
109,1,36,7,34,6,50,8,42,6,0.84,0.14,0.19,0.05,0.05,0.15,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.81,0.73,11.64,2.41,0.38,0.91,0.17,0.02,0.19
110,1,39,10,36,9,50,10,41,9,0.82,0.22,0.26,0.09,0.17,0.29,39,39,39.00,39.00,0.78,0.78,3.90,5.52,0.94,26.75,0.88,0.83,15.70,2.80,0.46,1.00,0.12,0.07,0.20
118,1,36,4,32,3,50,4,45,3,0.90,0.07,0.11,0.04,0.04,0.14,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.71,0.65,11.12,2.36,0.38,0.67,0.09,0.16,0.24
121,1,40,11,35,8,50,12,41,8,0.82,0.20,0.28,0.00,0.00,0.00,40,40,40.00,40.00,0.80,0.80,4.00,5.66,0.94,29.79,0.85,0.84,17.64,2.97,0.51,0.80,0.10,0.05,0.15
123,1,37,3,33,2,50,7,39,2,0.78,0.05,0.08,0.04,0.04,0.15,37,37,37.00,37.00,0.74,0.74,3.70,5.23,0.92,22.07,0.85,0.91,19.17,3.10,0.54,0.75,0.10,0.00,0.10
124,1,37,6,34,5,50,10,40,5,0.80,0.12,0.16,0.00,0.00,0.00,37,37,37.00,37.00,0.74,0.74,3.70,5.23,0.92,22.07,0.85,0.77,13.14,2.56,0.42,0.89,0.12,0.10,0.23
126,1,38,7,33,5,50,10,39,6,0.78,0.15,0.18,0.00,0.00,0.00,38,38,38.00,38.00,0.76,0.76,3.80,5.37,0.93,24.22,0.85,0.77,13.14,2.56,0.44,0.92,0.08,0.03,0.10
130,1,38,7,33,6,50,12,38,8,0.76,0.21,0.18,0.00,0.00,0.00,38,38,38.00,38.00,0.76,0.76,3.80,5.37,0.93,24.22,0.87,0.93,13.07,2.56,0.37,0.82,0.16,0.11,0.26
132,1,44,12,36,6,50,14,40,7,0.80,0.17,0.27,0.05,0.05,0.16,44,44,44.00,44.00,0.88,0.88,4.40,6.22,0.97,51.99,0.90,1.00,20.00,3.16,0.50,0.75,0.15,0.10,0.25
134,1,36,9,31,7,50,14,37,8,0.74,0.22,0.25,0.00,0.00,0.00,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.84,0.75,11.25,2.37,0.41,0.90,0.16,0.03,0.19
137,1,39,5,36,4,50,7,43,5,0.86,0.12,0.13,0.00,0.00,0.00,39,39,39.00,39.00,0.78,0.78,3.90,5.52,0.94,26.75,0.84,0.83,16.67,2.89,0.47,0.67,0.16,0.12,0.28
143,1,36,5,32,4,50,7,41,4,0.82,0.10,0.14,0.04,0.04,0.14,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.78,0.80,16.00,2.83,0.49,0.70,0.10,0.05,0.15
144,1,35,7,33,6,50,12,41,7,0.82,0.17,0.20,0.05,0.05,0.16,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.80,0.80,12.80,2.53,0.39,0.70,0.17,0.07,0.24
148,1,38,7,35,6,50,7,42,6,0.84,0.14,0.18,0.08,0.15,0.28,38,38,38.00,38.00,0.76,0.76,3.80,5.37,0.93,24.22,0.83,0.85,18.62,3.05,0.52,0.78,0.07,0.07,0.14
152,1,38,2,34,1,50,2,42,1,0.84,0.02,0.05,0.00,0.00,0.00,38,38,38.00,38.00,0.76,0.76,3.80,5.37,0.93,24.22,0.81,0.84,17.64,2.97,0.50,0.73,0.12,0.00,0.12
153,1,35,7,33,6,50,11,41,6,0.82,0.15,0.20,0.00,0.00,0.00,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.80,0.75,13.50,2.60,0.44,0.75,0.15,0.07,0.22
154,1,36,6,31,4,50,7,39,4,0.78,0.10,0.17,0.04,0.04,0.15,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.79,0.70,11.13,2.36,0.41,0.91,0.05,0.08,0.13
155,1,37,8,31,5,50,15,38,7,0.76,0.18,0.22,0.00,0.00,0.00,37,37,37.00,37.00,0.74,0.74,3.70,5.23,0.92,22.07,0.82,0.85,14.45,2.69,0.45,0.85,0.05,0.03,0.08
156,1,37,9,33,8,50,9,43,8,0.86,0.19,0.24,0.05,0.05,0.15,37,37,37.00,37.00,0.74,0.74,3.70,5.23,0.92,22.07,0.77,0.77,13.14,2.56,0.40,0.80,0.16,0.07,0.23
159,1,36,8,30,6,50,12,38,8,0.76,0.21,0.22,0.05,0.05,0.16,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.79,0.79,11.84,2.43,0.39,0.75,0.16,0.08,0.24
163,1,38,6,34,5,50,8,42,5,0.84,0.12,0.16,0.05,0.05,0.15,38,38,38.00,38.00,0.76,0.76,3.80,5.37,0.93,24.22,0.81,0.82,14.73,2.71,0.43,0.62,0.14,0.12,0.26
164,1,35,7,30,5,50,8,40,5,0.80,0.12,0.20,0.00,0.00,0.00,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.75,0.70,11.13,2.36,0.40,0.80,0.12,0.03,0.15
170,1,38,7,34,6,50,10,41,6,0.82,0.15,0.18,0.00,0.00,0.00,38,38,38.00,38.00,0.76,0.76,3.80,5.37,0.93,24.22,0.83,0.82,14.73,2.71,0.44,1.00,0.10,0.07,0.17
171,1,39,6,34,4,50,6,42,4,0.84,0.10,0.15,0.08,0.16,0.28,39,39,39.00,39.00,0.78,0.78,3.90,5.52,0.94,26.75,0.81,0.76,14.44,2.69,0.45,0.80,0.12,0.05,0.17
173,1,39,8,36,7,50,11,41,7,0.82,0.17,0.21,0.04,0.04,0.14,39,39,39.00,39.00,0.78,0.78,3.90,5.52,0.94,26.75,0.88,0.88,19.36,3.11,0.54,0.78,0.07,0.10,0.17
