subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
741,1,47,4,27,4,94,6,49,6,0.52,0.12,0.09,0.08,0.08,0.20,47,16,16.00,17.80,0.50,0.88,3.43,4.85,0.85,12.93,0.55,0.67,5.33,1.63,0.16,0.50,0.14,0.06,0.20
646,1,99,15,69,15,207,16,105,16,0.51,0.15,0.15,0.15,0.59,0.54,99,16,17.60,17.60,0.48,0.90,4.87,6.88,0.86,16.74,0.66,0.63,10.70,2.31,0.16,0.61,0.16,0.10,0.26
546,1,50,5,30,5,83,6,46,6,0.55,0.13,0.10,0.00,0.00,0.00,50,18,17.30,17.00,0.60,0.90,3.88,5.49,0.89,16.73,0.65,0.56,2.78,1.18,0.11,0.65,0.22,0.07,0.28
504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634,1,84,19,52,17,169,32,97,29,0.57,0.30,0.23,0.16,0.78,0.62,84,18,17.00,18.70,0.50,0.94,4.57,6.46,0.86,16.35,0.54,0.59,11.28,2.38,0.20,0.55,0.09,0.06,0.15
630,1,43,8,27,7,81,16,51,15,0.63,0.29,0.19,0.10,0.10,0.22,43,18,15.50,15.80,0.53,0.85,3.38,4.78,0.86,13.24,0.53,0.80,6.40,1.79,0.16,0.42,0.16,0.06,0.22
648,1,99,20,67,20,231,32,124,32,0.54,0.26,0.20,0.12,0.38,0.43,99,15,17.60,17.90,0.43,0.85,4.61,6.51,0.84,15.18,0.54,0.79,15.04,2.74,0.15,0.52,0.08,0.07,0.15
921,1,49,4,31,4,63,4,38,4,0.60,0.11,0.08,0.00,0.00,0.00,49,14,18.50,18.60,0.78,0.85,4.37,6.17,0.94,29.66,0.82,1.00,6.00,1.73,0.16,0.72,0.24,0.08,0.32
589,1,57,8,34,7,106,10,49,8,0.46,0.16,0.14,0.08,0.08,0.20,57,19,15.20,18.20,0.54,0.89,3.91,5.54,0.87,15.22,0.69,0.77,7.69,1.96,0.20,0.55,0.14,0.12,0.27
705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
