subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
741,1,47,4,27,4,94,6,49,6,0.52,0.12,0.09,0.08,0.08,0.20,47,35,33.20,34.10,0.50,0.70,3.43,4.85,0.85,12.93,0.55,0.67,5.33,1.63,0.16,0.50,0.14,0.06,0.20
646,1,101,17,71,17,207,18,105,18,0.51,0.17,0.17,0.15,0.59,0.54,101,36,37.40,36.30,0.49,0.72,4.96,7.02,0.87,17.21,0.68,0.63,10.70,2.31,0.16,0.67,0.15,0.10,0.25
546,1,50,5,30,5,83,6,46,6,0.55,0.13,0.10,0.00,0.00,0.00,50,35,36.20,32.60,0.60,0.70,3.88,5.49,0.89,16.73,0.65,0.56,2.78,1.18,0.11,0.65,0.22,0.07,0.28
580,1,112,17,70,16,252,29,132,28,0.52,0.21,0.15,0.14,0.55,0.53,112,35,39.20,38.50,0.44,0.78,4.99,7.06,0.85,16.37,0.53,0.66,12.45,2.49,0.14,0.55,0.12,0.05,0.17
504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634,1,84,19,52,17,169,32,97,29,0.57,0.30,0.23,0.16,0.78,0.62,84,38,38.20,37.50,0.50,0.75,4.57,6.46,0.86,16.35,0.54,0.59,11.28,2.38,0.20,0.55,0.09,0.06,0.15
630,1,45,9,29,8,84,16,54,15,0.64,0.28,0.20,0.10,0.10,0.22,45,32,31.10,30.50,0.54,0.64,3.47,4.91,0.86,13.66,0.54,0.80,6.40,1.79,0.15,0.45,0.17,0.06,0.22
648,1,100,21,68,21,231,32,124,32,0.54,0.26,0.21,0.12,0.38,0.43,100,34,36.80,37.30,0.43,0.73,4.65,6.58,0.85,15.36,0.55,0.79,15.04,2.74,0.15,0.52,0.09,0.07,0.16
921,1,52,9,34,9,63,12,39,12,0.62,0.31,0.17,0.25,0.50,0.50,52,42,42.80,43.40,0.83,0.84,4.63,6.55,0.95,38.85,0.87,1.00,8.00,2.00,0.21,0.84,0.21,0.08,0.28
589,1,57,8,34,7,106,10,49,8,0.46,0.16,0.14,0.08,0.08,0.20,57,33,34.70,36.80,0.54,0.71,3.91,5.54,0.87,15.22,0.69,0.77,7.69,1.96,0.20,0.55,0.14,0.12,0.27
705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,1,53,8,33,7,81,9,45,8,0.56,0.18,0.15,0.20,0.20,0.32,53,33,36.10,38.10,0.65,0.66,4.16,5.89,0.90,19.77,0.73,0.60,1.80,0.95,0.07,0.70,0.20,0.11,0.31
904,1,80,9,55,9,139,12,83,12,0.60,0.14,0.11,0.00,0.00,0.00,80,41,37.80,41.80,0.58,0.80,4.80,6.79,0.89,19.14,0.66,0.72,9.39,2.17,0.16,0.65,0.16,0.06,0.22
664,1,93,13,61,13,195,16,110,16,0.56,0.15,0.14,0.13,0.52,0.51,93,32,35.70,34.60,0.48,0.66,4.71,6.66,0.86,16.31,0.55,0.58,10.45,2.29,0.16,0.49,0.12,0.08,0.20
750,1,57,6,37,6,105,10,58,10,0.55,0.17,0.11,0.00,0.00,0.00,57,30,34.10,33.90,0.54,0.68,3.93,5.56,0.87,15.40,0.64,0.78,5.44,1.65,0.12,0.50,0.19,0.14,0.33
839,1,81,14,47,13,160,18,81,16,0.51,0.20,0.17,0.16,0.64,0.57,81,39,39.50,38.70,0.51,0.77,4.53,6.40,0.87,16.43,0.58,0.52,6.76,1.84,0.16,0.61,0.09,0.09,0.17
883,1,82,15,53,13,134,19,66,17,0.49,0.26,0.18,0.18,0.36,0.43,82,42,39.50,37.00,0.61,0.79,5.01,7.08,0.90,21.21,0.80,0.91,9.09,2.13,0.15,0.73,0.17,0.12,0.29
640,1,125,23,80,22,242,28,117,26,0.48,0.22,0.18,0.12,0.50,0.50,125,35,40.60,38.00,0.52,0.76,5.68,8.04,0.88,19.81,0.68,0.69,15.12,2.75,0.19,0.61,0.15,0.10,0.26
853,1,28,6,18,6,58,8,31,8,0.53,0.26,0.21,0.29,0.57,0.53,28,28,26.40,26.90,0.48,0.56,2.60,3.68,0.82,9.83,0.58,0.71,3.57,1.34,0.16,0.50,0.10,0.03,0.13
