subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
741,1,56,4,31,4,116,8,55,8,0.47,0.15,0.07,0.07,0.07,0.19,56,32,31.80,30.80,0.48,0.63,3.68,5.20,0.85,13.48,0.56,0.57,4.57,1.51,0.15,0.54,0.18,0.02,0.20
646,1,56,8,37,8,107,10,59,10,0.55,0.17,0.14,0.00,0.00,0.00,56,32,33.30,32.60,0.52,0.63,3.83,5.41,0.86,14.65,0.63,0.73,8.07,2.01,0.19,0.59,0.08,0.12,0.20
546,1,39,3,24,3,49,3,26,3,0.53,0.12,0.08,0.17,0.17,0.29,39,39,39,39,0.80,0.80,3.94,5.57,0.94,28.82,0.92,1.00,6.00,1.73,0.23,0.86,0.19,0.04,0.23
580,1,82,11,53,9,171,16,89,13,0.52,0.15,0.13,0.00,0.00,0.00,82,33,34.40,36.80,0.48,0.71,4.43,6.27,0.86,15.62,0.60,0.75,11.25,2.37,0.17,0.55,0.10,0.09,0.19
504,1,56,7,32,6,95,9,49,8,0.52,0.16,0.12,0.09,0.09,0.21,56,36,36.20,33.60,0.59,0.72,4.06,5.75,0.88,17.04,0.65,0.91,9.09,2.13,0.20,0.52,0.12,0.04,0.16
634,1,54,2,38,2,100,4,55,4,0.55,0.07,0.04,0.00,0.00,0.00,54,31,32.20,32.30,0.54,0.64,3.82,5.40,0.87,14.95,0.69,0.77,7.69,1.96,0.18,0.62,0.16,0.05,0.22
630,1,61,8,38,8,110,20,57,19,0.52,0.33,0.13,0.07,0.07,0.18,61,32,34.20,32.90,0.55,0.67,4.11,5.82,0.87,16.27,0.67,0.87,11.27,2.37,0.23,0.67,0.07,0.05,0.12
648,1,48,8,31,8,91,11,45,11,0.49,0.24,0.17,0.17,0.17,0.29,48,26,30.40,31.30,0.53,0.52,3.56,5.03,0.86,13.82,0.69,1.00,6.00,1.73,0.13,0.56,0.18,0.07,0.24
921,1,58,6,41,6,108,8,59,8,0.55,0.14,0.10,0.00,0.00,0.00,58,32,34.00,33.10,0.54,0.64,3.95,5.58,0.87,15.31,0.69,0.78,10.89,2.33,0.24,0.54,0.08,0.17,0.25
589,1,50,2,29,2,100,5,47,5,0.47,0.11,0.04,0.00,0.00,0.00,50,24,30.60,27.50,0.50,0.60,3.54,5.00,0.85,13.29,0.62,0.78,5.44,1.65,0.15,0.48,0.11,0.11,0.21
705,1,45,4,27,4,81,6,39,6,0.48,0.15,0.09,0.00,0.00,0.00,45,34,33.40,32.90,0.56,0.68,3.54,5.00,0.87,14.27,0.69,0.67,2.67,1.15,0.10,0.64,0.21,0.03,0.23
564,1,48,8,32,8,116,13,66,13,0.57,0.20,0.17,0.08,0.08,0.20,48,32,30.20,31.00,0.41,0.65,3.15,4.46,0.81,11.12,0.48,0.67,5.33,1.63,0.12,0.38,0.12,0.09,0.21
904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
664,1,59,3,36,3,138,3,70,3,0.51,0.04,0.05,0.00,0.00,0.00,59,30,33.30,32.90,0.43,0.62,3.55,5.02,0.83,12.41,0.51,0.67,6.67,1.83,0.14,0.44,0.07,0.09,0.16
750,1,50,7,33,7,109,8,53,8,0.49,0.15,0.14,0.15,0.31,0.39,50,28,31.50,32.10,0.46,0.61,3.39,4.79,0.83,12.26,0.62,0.77,7.69,1.96,0.19,0.41,0.15,0.13,0.28
839,1,54,8,34,8,120,10,54,10,0.45,0.19,0.15,0.40,1.60,0.89,54,32,29.70,29.70,0.45,0.64,3.49,4.93,0.83,12.47,0.63,0.90,8.10,2.01,0.17,0.61,0.13,0.09,0.22
883,1,31,4,20,4,53,5,30,5,0.57,0.17,0.13,0.00,0.00,0.00,31,31,30.30,29.80,0.58,0.62,3.01,4.26,0.86,12.76,0.67,1.00,5.00,1.58,0.17,0.53,0.13,0.10,0.23
640,1,69,11,45,11,103,12,58,12,0.56,0.21,0.16,0.24,0.94,0.69,69,44,40.60,40.50,0.67,0.83,4.81,6.80,0.91,23.29,0.78,1.00,17.00,2.92,0.29,0.72,0.12,0.07,0.19
853,1,49,7,32,7,87,7,42,7,0.48,0.17,0.14,0.00,0.00,0.00,49,32,32.70,33.10,0.56,0.64,3.71,5.25,0.87,15.09,0.76,1.00,9.00,2.12,0.21,0.65,0.12,0.02,0.14
526,1,59,10,39,10,112,18,60,18,0.54,0.30,0.17,0.12,0.25,0.35,59,29,33.80,31.80,0.53,0.63,3.94,5.57,0.86,15.09,0.65,0.81,10.56,2.30,0.22,0.53,0.08,0.12,0.20
699,1,49,4,33,4,84,5,48,5,0.57,0.10,0.08,0.09,0.09,0.21,49,35,34.20,33.50,0.58,0.70,3.78,5.35,0.88,15.82,0.69,0.73,5.82,1.71,0.17,0.61,0.12,0.04,0.17
636,1,45,2,29,2,77,4,43,4,0.56,0.09,0.04,0.00,0.00,0.00,45,33,32.60,35.30,0.58,0.66,3.63,5.13,0.88,15.26,0.67,1.00,9.00,2.12,0.21,0.57,0.14,0.05,0.19
919,1,69,6,47,6,153,9,83,9,0.54,0.11,0.09,0.16,0.47,0.49,69,37,35.30,34.40,0.45,0.72,3.94,5.58,0.84,13.80,0.57,0.58,6.37,1.78,0.13,0.44,0.14,0.10,0.24
587,1,54,9,33,9,132,13,63,13,0.48,0.21,0.17,0.25,0.75,0.61,54,30,29.80,28.60,0.41,0.61,3.32,4.70,0.82,11.58,0.52,0.75,6.75,1.84,0.14,0.46,0.10,0.06,0.16
662,1,30,11,18,11,43,16,24,16,0.56,0.67,0.37,0.40,0.80,0.63,30,30,30,30,0.70,0.70,3.23,4.57,0.90,17.07,0.75,1.00,5.00,1.58,0.21,0.77,0.08,0.08,0.17
888,1,65,7,40,7,131,9,64,9,0.49,0.14,0.11,0.12,0.24,0.34,65,32,36.10,34.20,0.50,0.65,4.02,5.68,0.86,14.73,0.62,0.71,8.47,2.06,0.19,0.53,0.14,0.03,0.17
645,1,44,3,25,3,86,5,39,5,0.45,0.13,0.07,0.00,0.00,0.00,44,25,32.70,28.50,0.51,0.50,3.35,4.74,0.85,12.86,0.64,0.78,5.44,1.65,0.18,0.57,0.13,0.03,0.15
642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,1,59,3,35,3,125,4,66,4,0.53,0.06,0.05,0.08,0.08,0.20,59,36,34.20,32.30,0.47,0.67,3.73,5.28,0.84,13.49,0.53,0.75,6.75,1.84,0.14,0.42,0.08,0.12,0.20
517,1,48,6,30,6,80,9,40,9,0.50,0.23,0.12,0.12,0.12,0.25,48,36,35.60,34.00,0.60,0.72,3.79,5.37,0.88,16.33,0.75,1.00,8.00,2.00,0.20,0.65,0.23,0.05,0.28
592,1,39,2,21,2,62,2,27,2,0.44,0.07,0.05,0.17,0.17,0.29,39,32,32.80,32.10,0.63,0.64,3.50,4.95,0.89,15.96,0.78,0.83,4.17,1.44,0.19,0.62,0.26,0.04,0.30
651,1,79,19,59,19,122,24,78,24,0.64,0.31,0.24,0.06,0.06,0.17,79,41,41.10,41.10,0.65,0.82,5.06,7.15,0.91,23.06,0.76,0.88,13.24,2.57,0.19,0.65,0.21,0.09,0.29
545,1,34,2,19,2,63,3,28,3,0.44,0.11,0.06,0.00,0.00,0.00,34,28,30.30,27.50,0.54,0.56,3.03,4.28,0.85,12.09,0.68,0.80,3.20,1.26,0.14,0.56,0.18,0.04,0.21
661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,1,52,5,30,5,134,7,62,7,0.46,0.11,0.10,0.18,0.36,0.43,52,31,27.00,31.20,0.39,0.59,3.18,4.49,0.81,11.01,0.48,0.73,5.82,1.71,0.13,0.42,0.16,0.05,0.21
654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
794,1,66,11,44,10,119,15,69,14,0.58,0.20,0.17,0.08,0.08,0.20,66,32,36.70,32.70,0.55,0.64,4.28,6.05,0.88,16.83,0.64,0.77,7.69,1.96,0.14,0.53,0.16,0.09,0.25
844,1,34,4,18,4,54,6,24,6,0.44,0.25,0.12,0.20,0.20,0.32,34,31,32.30,31.40,0.63,0.62,3.27,4.63,0.88,14.94,0.75,0.80,3.20,1.26,0.17,0.77,0.12,0.04,0.17
602,1,44,10,31,10,83,11,46,11,0.55,0.24,0.23,0.40,0.80,0.63,44,31,31.00,30.90,0.53,0.62,3.42,4.83,0.86,13.36,0.67,1.00,5.00,1.58,0.11,0.63,0.15,0.07,0.22
647,1,65,10,43,9,131,16,61,15,0.47,0.25,0.15,0.14,0.29,0.38,65,30,33.40,28.20,0.50,0.62,4.02,5.68,0.86,14.73,0.70,0.71,7.14,1.89,0.16,0.62,0.15,0.07,0.21
502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531,1,55,3,34,3,95,5,46,5,0.48,0.11,0.05,0.00,0.00,0.00,55,35,35.50,35.40,0.58,0.70,3.99,5.64,0.88,16.48,0.74,0.86,5.14,1.60,0.13,0.75,0.15,0.09,0.24
521,1,53,9,33,9,136,25,71,25,0.52,0.35,0.17,0.25,0.75,0.61,53,24,31.70,29.70,0.39,0.56,3.21,4.54,0.81,11.12,0.46,0.83,8.33,2.04,0.14,0.35,0.10,0.06,0.15
749,1,80,12,53,12,163,16,79,16,0.48,0.20,0.15,0.12,0.24,0.34,80,37,33.40,34.20,0.49,0.69,4.43,6.27,0.86,15.83,0.67,0.76,9.94,2.23,0.16,0.62,0.13,0.09,0.22
913,1,56,8,35,8,98,10,48,10,0.49,0.21,0.14,0.00,0.00,0.00,56,32,36.40,37.60,0.57,0.64,4.00,5.66,0.88,16.31,0.73,0.88,6.12,1.75,0.15,0.63,0.17,0.06,0.23
773,1,38,2,20,2,92,2,36,2,0.39,0.06,0.05,0.12,0.12,0.25,38,25,28.30,25.70,0.41,0.50,2.80,3.96,0.80,10.04,0.56,0.62,3.12,1.25,0.14,0.69,0.14,0.06,0.19
849,1,34,2,19,2,56,2,24,2,0.43,0.08,0.06,0.00,0.00,0.00,34,31,32.00,31.70,0.61,0.62,3.21,4.54,0.88,14.10,0.79,1.00,3.00,1.22,0.12,0.73,0.33,0.08,0.42
885,1,49,3,29,2,89,3,44,2,0.49,0.05,0.06,0.00,0.00,0.00,49,30,34.40,31.90,0.55,0.60,3.67,5.19,0.87,14.66,0.66,0.83,4.17,1.44,0.11,0.59,0.16,0.05,0.20
785,1,42,5,24,5,73,5,36,5,0.49,0.14,0.12,0.17,0.17,0.29,42,36,32.80,30.40,0.58,0.72,3.48,4.92,0.87,14.46,0.67,1.00,6.00,1.73,0.17,0.65,0.17,0.03,0.19
525,1,48,5,30,4,95,6,48,5,0.51,0.10,0.10,0.00,0.00,0.00,48,32,31.50,29.10,0.51,0.64,3.48,4.92,0.85,13.19,0.62,0.75,4.50,1.50,0.12,0.54,0.19,0.06,0.25
846,1,48,5,27,5,82,8,41,8,0.50,0.20,0.10,0.00,0.00,0.00,48,34,34.00,34.30,0.59,0.68,3.75,5.30,0.88,15.75,0.66,0.75,4.50,1.50,0.15,0.70,0.15,0.05,0.20
697,1,58,9,36,8,115,12,65,11,0.57,0.17,0.16,0.00,0.00,0.00,58,32,32.00,33.10,0.50,0.63,3.82,5.41,0.86,14.28,0.55,0.88,6.12,1.75,0.11,0.39,0.15,0.11,0.26
656,1,56,9,38,9,138,13,71,13,0.51,0.18,0.16,0.15,0.31,0.39,56,33,30.20,29.20,0.41,0.62,3.37,4.77,0.82,11.69,0.54,0.85,9.31,2.16,0.15,0.47,0.10,0.11,0.21
689,1,3,0,3,0,3,0,3,0,1.00,0.00,0.00,0,0,0,3,3,3,3,1.00,1.00,1.22,1.73,1.00,NaN,1.00,0,0,0,0.00,1.00,0.33,0.00,0.33
