subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
741,1,56,4,31,4,116,8,55,8,0.47,0.15,0.07,0.07,0.07,0.19,56,32,31.70,30.70,0.48,0.63,3.68,5.20,0.85,13.48,0.56,0.57,4.57,1.51,0.15,0.54,0.18,0.02,0.20
646,1,56,8,37,8,107,10,59,10,0.55,0.17,0.14,0.00,0.00,0.00,56,32,34.30,32.80,0.52,0.63,3.83,5.41,0.86,14.65,0.63,0.73,8.07,2.01,0.19,0.59,0.08,0.12,0.20
546,1,39,3,24,3,49,3,26,3,0.53,0.12,0.08,0.17,0.17,0.29,39,39,39,39,0.80,0.80,3.94,5.57,0.94,28.82,0.92,1.00,6.00,1.73,0.23,0.86,0.19,0.04,0.23
580,1,82,11,53,9,171,16,89,13,0.52,0.15,0.13,0.00,0.00,0.00,82,33,35.50,36.30,0.48,0.71,4.43,6.27,0.86,15.62,0.60,0.75,11.25,2.37,0.17,0.55,0.10,0.09,0.19
504,1,56,6,32,5,95,8,49,7,0.52,0.14,0.11,0.00,0.00,0.00,56,36,36.90,33.60,0.59,0.72,4.06,5.75,0.88,17.04,0.65,0.91,9.09,2.13,0.20,0.52,0.12,0.04,0.16
634,1,54,3,38,3,99,5,55,5,0.56,0.09,0.06,0.00,0.00,0.00,54,31,32.70,34.00,0.55,0.62,3.84,5.43,0.87,15.13,0.69,0.77,7.69,1.96,0.18,0.62,0.16,0.05,0.22
630,1,61,8,38,8,110,20,57,19,0.52,0.33,0.13,0.07,0.07,0.18,61,32,33.70,32.60,0.55,0.67,4.11,5.82,0.87,16.27,0.67,0.87,11.27,2.37,0.23,0.67,0.07,0.05,0.12
648,1,48,8,31,8,91,11,45,11,0.49,0.24,0.17,0.17,0.17,0.29,48,26,31.80,31.00,0.53,0.52,3.56,5.03,0.86,13.82,0.69,1.00,6.00,1.73,0.13,0.56,0.18,0.07,0.24
921,1,59,7,41,6,107,9,58,8,0.54,0.14,0.12,0.00,0.00,0.00,59,32,34.40,33.40,0.55,0.65,4.03,5.70,0.87,15.93,0.71,0.78,10.89,2.33,0.24,0.54,0.09,0.17,0.26
589,1,50,2,29,2,100,5,47,5,0.47,0.11,0.04,0.00,0.00,0.00,50,24,31.30,28.20,0.50,0.60,3.54,5.00,0.85,13.29,0.62,0.78,5.44,1.65,0.15,0.48,0.11,0.11,0.21
705,1,45,4,27,4,81,6,39,6,0.48,0.15,0.09,0.00,0.00,0.00,45,34,34.20,34.60,0.56,0.68,3.54,5.00,0.87,14.27,0.69,0.67,2.67,1.15,0.10,0.64,0.21,0.03,0.23
564,1,48,8,32,8,116,13,66,13,0.57,0.20,0.17,0.08,0.08,0.20,48,32,30.40,30.70,0.41,0.65,3.15,4.46,0.81,11.12,0.48,0.67,5.33,1.63,0.12,0.38,0.12,0.09,0.21
904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
664,1,59,3,36,3,138,3,70,3,0.51,0.04,0.05,0.00,0.00,0.00,59,30,33.40,31.40,0.43,0.62,3.55,5.02,0.83,12.41,0.51,0.67,6.67,1.83,0.14,0.44,0.07,0.09,0.16
750,1,51,8,34,8,109,9,53,9,0.49,0.17,0.16,0.21,0.64,0.57,51,28,30.80,32.00,0.47,0.61,3.45,4.88,0.84,12.58,0.64,0.86,10.29,2.27,0.23,0.43,0.15,0.13,0.28
839,1,54,8,34,8,120,10,54,10,0.45,0.19,0.15,0.40,1.60,0.89,54,32,30.60,30.80,0.45,0.64,3.49,4.93,0.83,12.47,0.63,0.90,8.10,2.01,0.17,0.61,0.13,0.09,0.22
883,1,31,4,20,4,53,5,30,5,0.57,0.17,0.13,0.00,0.00,0.00,31,31,30.20,29.90,0.58,0.62,3.01,4.26,0.86,12.76,0.67,1.00,5.00,1.58,0.17,0.53,0.13,0.10,0.23
