subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
100,1,57,13,50,10,105,20,82,13,0.78,0.16,0.23,0.03,0.03,0.12,57,32,34.80,32.50,0.54,0.65,3.93,5.56,0.87,15.40,0.61,0.67,16.00,2.83,0.29,0.56,0.11,0.04,0.15
101,1,58,10,51,7,106,19,87,12,0.82,0.14,0.17,0.07,0.20,0.31,58,34,36.50,31.90,0.55,0.69,3.98,5.63,0.87,15.66,0.59,0.67,20.89,3.23,0.36,0.43,0.09,0.02,0.11
103,1,58,15,53,14,95,19,77,16,0.81,0.21,0.26,0.10,0.41,0.45,58,36,35.20,35.00,0.61,0.72,4.21,5.95,0.89,18.25,0.69,0.74,21.56,3.28,0.38,0.54,0.06,0.05,0.12
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1,59,10,52,8,107,29,83,16,0.78,0.19,0.17,0.02,0.02,0.10,59,32,34.50,35.40,0.55,0.68,4.03,5.70,0.87,15.93,0.63,0.61,17.04,2.92,0.34,0.50,0.06,0.07,0.13
109,1,55,11,49,8,111,26,87,13,0.78,0.15,0.20,0.00,0.00,0.00,55,28,32.80,33.70,0.50,0.63,3.69,5.22,0.85,13.72,0.56,0.59,13.56,2.60,0.26,0.59,0.06,0.02,0.08
110,1,52,14,48,13,86,23,68,15,0.79,0.22,0.27,0.04,0.04,0.14,52,30,35.30,32.20,0.60,0.60,3.96,5.61,0.89,17.13,0.71,0.69,12.46,2.50,0.26,0.61,0.07,0.12,0.19
111,1,54,9,50,8,89,21,74,13,0.83,0.18,0.17,0.00,0.00,0.00,54,34,36.90,36.40,0.61,0.68,4.05,5.72,0.89,17.51,0.68,0.69,18.69,3.06,0.36,0.62,0.07,0.04,0.11
113,1,59,13,55,12,102,24,85,15,0.83,0.18,0.22,0.02,0.02,0.11,59,35,34.90,34.80,0.58,0.72,4.13,5.84,0.88,16.97,0.65,0.63,16.95,2.91,0.32,0.71,0.09,0.04,0.13
115,1,46,4,40,2,78,8,67,4,0.86,0.06,0.09,0.00,0.00,0.00,46,30,34.30,33.50,0.59,0.60,3.68,5.21,0.88,15.61,0.60,0.67,16.00,2.83,0.36,0.44,0.09,0.04,0.13
116,1,62,16,56,14,101,26,83,19,0.82,0.23,0.26,0.09,0.34,0.41,62,35,37.50,35.70,0.61,0.71,4.36,6.17,0.89,18.96,0.67,0.68,21.79,3.30,0.39,0.59,0.05,0.06,0.11
117,1,56,13,51,12,109,33,82,19,0.75,0.23,0.23,0.00,0.00,0.00,56,36,33.20,28.70,0.51,0.68,3.79,5.36,0.86,14.35,0.62,0.66,17.78,2.98,0.33,0.54,0.07,0.06,0.13
118,1,50,4,47,3,125,11,102,6,0.82,0.06,0.08,0.00,0.00,0.00,50,28,30.70,32.20,0.40,0.63,3.16,4.47,0.81,11.05,0.46,0.48,11.02,2.35,0.23,0.42,0.07,0.06,0.13
119,1,44,8,39,7,84,25,65,16,0.77,0.25,0.18,0.03,0.03,0.12,44,30,32.30,33.60,0.52,0.60,3.39,4.80,0.85,13.19,0.60,0.67,16.00,2.83,0.37,0.42,0.05,0.03,0.08
121,1,42,5,39,4,116,14,84,6,0.72,0.07,0.12,0.02,0.02,0.11,42,29,26.50,27.90,0.36,0.56,2.76,3.90,0.79,9.66,0.46,0.52,11.52,2.40,0.26,0.38,0.06,0.04,0.10
122,1,47,9,43,8,73,21,60,13,0.82,0.22,0.19,0.06,0.12,0.25,47,36,34.90,33.40,0.64,0.72,3.89,5.50,0.90,18.16,0.72,0.73,17.45,2.95,0.40,0.58,0.10,0.03,0.13
123,1,83,15,77,12,156,30,127,18,0.81,0.14,0.18,0.00,0.00,0.00,83,37,39.60,39.30,0.53,0.78,4.70,6.65,0.88,17.55,0.61,0.60,25.68,3.58,0.34,0.61,0.06,0.04,0.10
124,1,28,1,24,0,53,3,40,0,0.75,0.00,0.04,0.00,0.00,0.00,28,28,26.80,26.80,0.53,0.56,2.72,3.85,0.84,10.73,0.60,0.67,8.00,2.00,0.30,0.54,0.07,0.05,0.12
126,1,70,13,64,11,171,31,139,20,0.81,0.14,0.19,0.02,0.02,0.09,70,35,34.00,35.30,0.41,0.71,3.79,5.35,0.83,12.85,0.46,0.50,15.50,2.78,0.22,0.47,0.05,0.04,0.09
129,1,53,4,50,3,98,12,75,3,0.77,0.04,0.08,0.02,0.02,0.10,53,33,32.30,31.90,0.54,0.66,3.79,5.35,0.87,14.85,0.67,0.70,22.26,3.34,0.43,0.53,0.08,0.03,0.11
