subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
100,1,58,14,51,11,105,21,82,14,0.78,0.17,0.24,0.03,0.03,0.12,58,33,35.40,34.00,0.55,0.66,4.00,5.66,0.87,15.85,0.62,0.67,16.00,2.83,0.29,0.60,0.11,0.04,0.15
101,1,58,10,51,7,106,19,87,12,0.82,0.14,0.17,0.07,0.20,0.32,58,34,35.50,32.90,0.55,0.69,3.98,5.63,0.87,15.66,0.59,0.67,20.00,3.16,0.34,0.46,0.09,0.02,0.11
103,1,58,15,53,14,95,19,77,16,0.81,0.21,0.26,0.10,0.41,0.45,58,36,36.50,35.30,0.61,0.72,4.21,5.95,0.89,18.25,0.69,0.74,21.56,3.28,0.38,0.52,0.08,0.05,0.13
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1,60,12,52,9,107,31,82,17,0.77,0.21,0.20,0.04,0.09,0.21,60,32,34.80,35.80,0.56,0.68,4.10,5.80,0.88,16.39,0.63,0.61,17.04,2.92,0.34,0.52,0.06,0.07,0.13
109,1,55,11,49,8,111,26,87,13,0.78,0.15,0.20,0.00,0.00,0.00,55,28,32.80,33.40,0.50,0.63,3.69,5.22,0.85,13.72,0.56,0.59,13.56,2.60,0.26,0.59,0.06,0.02,0.08
110,1,52,14,48,13,86,23,68,15,0.79,0.22,0.27,0.04,0.04,0.14,52,30,34.70,32.10,0.60,0.60,3.96,5.61,0.89,17.13,0.71,0.69,12.46,2.50,0.26,0.61,0.07,0.12,0.19
111,1,54,9,50,8,89,21,74,13,0.83,0.18,0.17,0.00,0.00,0.00,54,34,34.90,35.90,0.61,0.68,4.05,5.72,0.89,17.51,0.68,0.69,18.69,3.06,0.36,0.62,0.07,0.04,0.11
113,1,59,13,55,12,102,24,85,15,0.83,0.18,0.22,0.02,0.02,0.11,59,35,36.50,34.80,0.58,0.72,4.13,5.84,0.88,16.97,0.65,0.63,16.95,2.91,0.32,0.71,0.09,0.04,0.13
115,1,46,4,40,2,78,8,67,4,0.86,0.06,0.09,0.00,0.00,0.00,46,30,34.60,34.50,0.59,0.60,3.68,5.21,0.88,15.61,0.60,0.67,16.00,2.83,0.36,0.44,0.09,0.04,0.13
116,1,64,16,58,14,103,24,85,17,0.83,0.20,0.25,0.09,0.34,0.41,64,35,38.40,36.70,0.62,0.73,4.46,6.31,0.90,19.60,0.68,0.68,21.79,3.30,0.38,0.62,0.05,0.06,0.11
117,1,58,15,51,12,109,34,81,19,0.74,0.23,0.26,0.00,0.00,0.00,58,38,32.30,31.20,0.53,0.70,3.93,5.56,0.87,15.15,0.63,0.68,18.23,3.02,0.33,0.54,0.07,0.06,0.14
118,1,50,5,47,4,125,13,102,8,0.82,0.08,0.10,0.00,0.00,0.00,50,28,29.70,32.90,0.40,0.63,3.16,4.47,0.81,11.05,0.46,0.48,11.02,2.35,0.23,0.42,0.07,0.06,0.13
119,1,46,10,41,9,88,26,69,17,0.78,0.25,0.22,0.03,0.03,0.11,46,29,32.50,32.10,0.52,0.58,3.47,4.90,0.86,13.42,0.59,0.62,14.77,2.72,0.35,0.48,0.04,0.03,0.07
121,1,42,5,39,4,116,14,84,6,0.72,0.07,0.12,0.02,0.02,0.11,42,29,27.40,26.90,0.36,0.56,2.76,3.90,0.79,9.66,0.46,0.52,11.52,2.40,0.26,0.38,0.06,0.04,0.10
122,1,47,8,43,7,74,20,61,12,0.82,0.20,0.17,0.06,0.12,0.25,47,35,33.70,33.60,0.64,0.70,3.86,5.46,0.89,17.72,0.70,0.73,17.45,2.95,0.39,0.55,0.10,0.03,0.13
123,1,83,16,77,13,156,31,127,19,0.81,0.15,0.19,0.01,0.01,0.08,83,37,37.40,37.70,0.53,0.78,4.70,6.65,0.88,17.55,0.61,0.60,25.68,3.58,0.34,0.61,0.06,0.04,0.10
124,1,29,2,25,1,53,4,40,1,0.75,0.03,0.07,0.00,0.00,0.00,29,28,28.50,27.50,0.55,0.56,2.82,3.98,0.85,11.35,0.62,0.67,8.00,2.00,0.30,0.62,0.07,0.05,0.12
