subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
646,1,23,4,17,4,37,6,23,6,0.62,0.26,0.17,0.00,0.00,0.00,23,23,23,23,0.62,0.62,2.67,3.78,0.87,11.91,0.74,1.00,2.00,1.00,0.09,0.73,0.22,0.00,0.22
546,1,23,4,12,4,27,4,13,4,0.48,0.31,0.17,0.00,0.00,0.00,23,23,23,23,0.85,0.85,3.13,4.43,0.95,29.42,0.92,1.00,3.00,1.22,0.23,1.00,0.15,0.00,0.15
634,1,16,3,9,3,25,5,15,5,0.60,0.33,0.19,1.00,1.00,0.71,16,16,16,16,0.64,0.64,2.26,3.20,0.86,10.08,0.60,1.00,1.00,0.71,0.07,0.50,0.07,0.07,0.13
921,1,26,5,18,5,34,5,20,5,0.59,0.25,0.19,0.00,0.00,0.00,26,26,26,26,0.76,0.76,3.15,4.46,0.92,20.13,0.90,1.00,3.00,1.22,0.15,0.88,0.05,0.00,0.05
589,1,23,4,15,4,37,6,21,6,0.57,0.29,0.17,0.00,0.00,0.00,23,23,23,23,0.62,0.62,2.67,3.78,0.87,11.91,0.71,1.00,3.00,1.22,0.14,0.69,0.10,0.00,0.10
705,1,18,3,10,3,26,4,13,4,0.50,0.31,0.17,0.00,0.00,0.00,18,18,18,18,0.69,0.69,2.50,3.53,0.89,12.54,0.77,1.00,1.00,0.71,0.08,0.70,0.15,0.00,0.15
664,1,17,4,11,4,26,4,15,4,0.58,0.27,0.24,0.00,0.00,0.00,17,17,17,17,0.65,0.65,2.36,3.33,0.87,10.85,0.73,1.00,1.00,0.71,0.07,0.67,0.13,0.00,0.13
853,1,22,3,14,3,38,5,19,5,0.50,0.26,0.14,0.00,0.00,0.00,22,22,22,22,0.58,0.58,2.52,3.57,0.85,10.51,0.74,1.00,1.00,0.71,0.05,0.64,0.11,0.11,0.21
699,1,18,3,12,3,28,5,14,5,0.50,0.36,0.17,0.00,0.00,0.00,18,18,18,18,0.64,0.64,2.41,3.40,0.87,10.91,0.86,1.00,1.00,0.71,0.07,0.83,0.07,0.00,0.07
636,1,22,6,16,6,35,9,21,9,0.60,0.43,0.27,0.00,0.00,0.00,22,22,22,22,0.63,0.63,2.63,3.72,0.87,11.82,0.76,1.00,1.00,0.71,0.05,0.64,0.14,0.14,0.29
919,1,25,3,17,3,35,3,20,3,0.57,0.15,0.12,0.00,0.00,0.00,25,25,25,25,0.71,0.71,2.99,4.23,0.91,16.32,0.85,1.00,2.00,1.00,0.10,0.81,0.10,0.00,0.10
587,1,21,4,14,4,27,4,15,4,0.56,0.27,0.19,0.00,0.00,0.00,21,21,21,21,0.78,0.78,2.86,4.04,0.92,18.77,0.93,1.00,1.00,0.71,0.07,1.00,0.20,0.00,0.20
662,1,17,3,11,3,26,4,15,4,0.58,0.27,0.18,0.00,0.00,0.00,17,17,17,17,0.65,0.65,2.36,3.33,0.87,10.85,0.73,1.00,1.00,0.71,0.07,0.64,0.13,0.07,0.20
645,1,15,2,10,2,23,3,14,3,0.61,0.21,0.13,0.00,0.00,0.00,15,15,15,15,0.65,0.65,2.21,3.13,0.86,9.99,0.71,1.00,2.00,1.00,0.14,0.64,0.07,0.00,0.07
703,1,14,3,7,2,20,5,11,4,0.55,0.36,0.21,0,0,0,14,14,14,14,0.70,0.70,2.21,3.13,0.88,10.93,0.64,0,0,0,0.00,0.60,0.09,0.00,0.09
651,1,23,4,16,4,32,4,19,4,0.59,0.21,0.17,0.00,0.00,0.00,23,23,23,23,0.72,0.72,2.88,4.07,0.90,15.80,0.84,1.00,1.00,0.71,0.05,0.77,0.16,0.11,0.26
610,1,22,4,14,4,29,4,15,4,0.52,0.27,0.18,0.00,0.00,0.00,22,22,22,22,0.76,0.76,2.89,4.09,0.92,17.83,0.93,1.00,2.00,1.00,0.13,0.91,0.13,0.00,0.13
654,1,18,5,12,5,27,7,16,7,0.59,0.44,0.28,0.00,0.00,0.00,18,18,18,18,0.67,0.67,2.45,3.46,0.88,11.63,0.75,1.00,1.00,0.71,0.06,0.73,0.19,0.06,0.25
794,1,21,5,13,5,32,6,17,6,0.53,0.35,0.24,0.00,0.00,0.00,21,21,21,21,0.66,0.66,2.62,3.71,0.88,12.38,0.76,1.00,1.00,0.71,0.06,0.71,0.12,0.00,0.12
602,1,16,2,10,2,19,2,11,2,0.58,0.18,0.12,0.00,0.00,0.00,16,16,16,16,0.84,0.84,2.60,3.67,0.94,21.91,0.91,1.00,1.00,0.71,0.09,0.86,0.18,0.09,0.27
647,1,23,3,18,3,30,4,20,4,0.67,0.20,0.13,0.50,0.50,0.50,23,23,23,23,0.77,0.77,2.97,4.20,0.92,18.91,0.90,1.00,2.00,1.00,0.10,0.92,0.25,0.05,0.30
502,1,1,0,1,0,1,0,1,0,1.00,0.00,0.00,0,0,0,1,1,1,1,1.00,1.00,0.71,1.00,0,NaN,1.00,0,0,0,0.00,1.00,0.00,0.00,0.00
531,1,22,4,13,4,32,4,16,4,0.50,0.25,0.18,0.00,0.00,0.00,22,22,22,22,0.69,0.69,2.75,3.89,0.89,13.92,0.81,1.00,3.00,1.22,0.19,0.80,0.12,0.00,0.12
521,1,16,4,11,4,20,4,12,4,0.60,0.33,0.25,0.50,0.50,0.50,16,16,16,16,0.80,0.80,2.53,3.58,0.93,17.47,0.92,1.00,2.00,1.00,0.17,0.89,0.08,0.00,0.08
749,1,16,3,10,3,22,3,12,3,0.55,0.25,0.19,0.00,0.00,0.00,16,16,16,16,0.73,0.73,2.41,3.41,0.90,13.03,0.83,1.00,1.00,0.71,0.08,0.78,0.17,0.00,0.17
913,1,17,3,10,3,28,4,14,4,0.50,0.29,0.18,0.00,0.00,0.00,17,17,17,17,0.61,0.61,2.27,3.21,0.85,9.66,0.71,1.00,1.00,0.71,0.07,0.64,0.14,0.00,0.14
849,1,23,5,14,5,34,5,17,5,0.50,0.29,0.22,0.00,0.00,0.00,23,23,23,23,0.68,0.68,2.79,3.94,0.89,13.82,0.82,1.00,1.00,0.71,0.06,0.80,0.06,0.00,0.06
785,1,1,0,1,0,1,0,1,0,1.00,0.00,0.00,0,0,0,1,1,1,1,1.00,1.00,0.71,1.00,0,NaN,1.00,0,0,0,0.00,1.00,0.00,0.00,0.00
846,1,15,3,9,3,26,5,14,5,0.54,0.36,0.20,0.00,0.00,0.00,15,15,15,15,0.58,0.58,2.08,2.94,0.83,8.38,0.64,1.00,1.00,0.71,0.07,0.58,0.07,0.00,0.07
697,1,15,3,9,3,21,4,12,4,0.57,0.33,0.20,0.00,0.00,0.00,15,15,15,15,0.71,0.71,2.31,3.27,0.89,11.96,0.75,1.00,1.00,0.71,0.08,0.62,0.17,0.08,0.25
656,1,14,2,8,2,20,2,11,2,0.55,0.18,0.14,0.00,0.00,0.00,14,14,14,14,0.70,0.70,2.21,3.13,0.88,10.93,0.73,1.00,1.00,0.71,0.09,0.71,0.27,0.00,0.27
519,1,19,3,13,3,27,3,15,3,0.56,0.20,0.16,0.00,0.00,0.00,19,19,19,19,0.70,0.70,2.59,3.66,0.89,13.43,0.87,1.00,1.00,0.71,0.07,0.83,0.13,0.00,0.13
730,1,22,7,14,7,26,7,15,7,0.58,0.47,0.32,0.00,0.00,0.00,22,22,22,22,0.85,0.85,3.05,4.31,0.95,27.60,0.93,1.00,1.00,0.71,0.07,0.92,0.13,0.00,0.13
801,1,17,2,11,2,22,3,14,3,0.64,0.21,0.12,0.50,0.50,0.50,17,17,17,17,0.77,0.77,2.56,3.62,0.92,16.09,0.79,1.00,2.00,1.00,0.14,0.67,0.14,0.07,0.21
868,1,18,4,12,4,27,5,15,5,0.56,0.33,0.22,0.00,0.00,0.00,18,18,18,18,0.67,0.67,2.45,3.46,0.88,11.63,0.80,1.00,3.00,1.22,0.20,0.67,0.20,0.00,0.20
563,1,21,4,14,4,27,4,16,4,0.59,0.25,0.19,0.00,0.00,0.00,21,21,21,21,0.78,0.78,2.86,4.04,0.92,18.77,0.88,1.00,2.00,1.00,0.12,0.90,0.19,0.00,0.19
643,1,23,3,15,3,30,3,17,3,0.57,0.18,0.13,0.00,0.00,0.00,23,23,23,23,0.77,0.77,2.97,4.20,0.92,18.91,0.88,1.00,3.00,1.22,0.18,0.82,0.18,0.00,0.18
889,1,22,5,14,5,37,8,19,8,0.51,0.42,0.23,0.00,0.00,0.00,22,22,22,22,0.59,0.59,2.56,3.62,0.86,10.89,0.74,1.00,2.00,1.00,0.11,0.67,0.11,0.00,0.11
612,1,6,3,4,3,6,3,4,3,0.67,0.75,0.50,1.00,1.00,0.71,6,6,6,6,1.00,1.00,1.73,2.45,1.00,NaN,1.00,1.00,1.00,0.71,0.25,1.00,0.25,0.00,0.25
566,1,1,0,1,0,1,0,1,0,1.00,0.00,0.00,0,0,0,1,1,1,1,1.00,1.00,0.71,1.00,0,NaN,1.00,0,0,0,0.00,1.00,0.00,0.00,0.00
742,1,19,4,11,4,31,6,15,6,0.48,0.40,0.21,0.00,0.00,0.00,19,19,19,19,0.61,0.61,2.41,3.41,0.86,10.46,0.73,1.00,2.00,1.00,0.13,0.67,0.07,0.00,0.07
756,1,17,4,11,4,28,6,16,6,0.57,0.38,0.24,0.00,0.00,0.00,17,17,17,17,0.61,0.61,2.27,3.21,0.85,9.66,0.69,1.00,1.00,0.71,0.06,0.64,0.19,0.06,0.25
591,1,22,3,14,3,30,3,15,3,0.50,0.20,0.14,0.00,0.00,0.00,22,22,22,22,0.73,0.73,2.84,4.02,0.91,16.20,0.93,1.00,2.00,1.00,0.13,0.91,0.13,0.00,0.13
914,1,14,4,10,4,15,4,10,4,0.67,0.40,0.29,0.00,0.00,0.00,14,14,14,14,0.93,0.93,2.56,3.61,0.97,46.16,1.00,1.00,1.00,0.71,0.10,1.00,0.20,0.00,0.20
710,1,15,2,9,2,21,2,11,2,0.52,0.18,0.13,0.00,0.00,0.00,15,15,15,15,0.71,0.71,2.31,3.27,0.89,11.96,0.82,1.00,1.00,0.71,0.09,0.78,0.09,0.00,0.09
565,1,15,2,8,2,19,2,10,2,0.53,0.20,0.13,0.00,0.00,0.00,15,15,15,15,0.79,0.79,2.43,3.44,0.92,15.93,0.80,1.00,1.00,0.71,0.10,0.75,0.10,0.00,0.10
625,1,21,5,15,5,33,6,20,6,0.61,0.30,0.24,0.50,0.50,0.50,21,21,21,21,0.64,0.64,2.58,3.66,0.87,11.75,0.75,1.00,2.00,1.00,0.10,0.71,0.05,0.00,0.05
733,1,18,3,11,3,31,4,16,4,0.52,0.25,0.17,0.00,0.00,0.00,18,18,18,18,0.58,0.58,2.29,3.23,0.84,9.42,0.69,1.00,1.00,0.71,0.06,0.62,0.12,0.00,0.12
588,1,17,4,11,4,23,4,13,4,0.57,0.31,0.24,0.00,0.00,0.00,17,17,17,17,0.74,0.74,2.51,3.54,0.90,14.12,0.85,1.00,1.00,0.71,0.08,0.78,0.15,0.08,0.23
707,1,1,0,1,0,1,0,1,0,1.00,0.00,0.00,0,0,0,1,1,1,1,1.00,1.00,0.71,1.00,0,NaN,1.00,0,0,0,0.00,1.00,0.00,0.00,0.00
590,1,23,4,15,4,30,6,19,6,0.63,0.32,0.17,0.00,0.00,0.00,23,23,23,23,0.77,0.77,2.97,4.20,0.92,18.91,0.79,1.00,3.00,1.22,0.16,0.73,0.05,0.00,0.05
779,1,16,3,10,3,27,5,16,5,0.59,0.31,0.19,0.00,0.00,0.00,16,16,16,16,0.59,0.59,2.18,3.08,0.84,9.02,0.62,1.00,1.00,0.71,0.06,0.57,0.06,0.00,0.06
632,1,22,5,16,5,35,7,22,7,0.63,0.32,0.23,0.33,0.33,0.41,22,22,22,22,0.63,0.63,2.63,3.72,0.87,11.82,0.73,1.00,3.00,1.22,0.14,0.62,0.09,0.05,0.14
653,1,17,4,10,4,25,4,13,4,0.52,0.31,0.24,0.00,0.00,0.00,17,17,17,17,0.68,0.68,2.40,3.40,0.88,11.67,0.77,1.00,1.00,0.71,0.08,0.70,0.15,0.00,0.15
678,1,15,3,9,3,27,4,13,4,0.48,0.31,0.20,0.00,0.00,0.00,15,15,15,15,0.56,0.56,2.04,2.89,0.82,8.03,0.69,1.00,1.00,0.71,0.08,0.60,0.15,0.00,0.15
790,1,27,6,19,6,32,7,20,7,0.62,0.35,0.22,0.00,0.00,0.00,27,27,27,27,0.84,0.84,3.38,4.77,0.95,30.70,0.95,1.00,2.00,1.00,0.10,0.92,0.15,0.10,0.25
754,1,21,5,16,5,29,5,18,5,0.62,0.28,0.24,0.00,0.00,0.00,21,21,21,21,0.72,0.72,2.76,3.90,0.90,15.26,0.89,1.00,2.00,1.00,0.11,0.82,0.17,0.11,0.28
870,1,17,4,11,4,29,6,17,6,0.59,0.35,0.24,0.00,0.00,0.00,17,17,17,17,0.59,0.59,2.23,3.16,0.84,9.22,0.65,1.00,1.00,0.71,0.06,0.57,0.12,0.00,0.12
688,1,16,3,9,3,25,5,13,5,0.52,0.38,0.19,1.00,1.00,0.71,16,16,16,16,0.64,0.64,2.26,3.20,0.86,10.08,0.69,1.00,1.00,0.71,0.08,0.64,0.08,0.00,0.08
759,1,22,3,14,3,25,3,14,3,0.56,0.21,0.14,0.50,0.50,0.50,22,22,22,22,0.88,0.88,3.11,4.40,0.96,35.20,1.00,1.00,2.00,1.00,0.14,1.00,0.07,0.00,0.07
753,1,17,5,11,5,24,7,13,7,0.54,0.54,0.29,0.00,0.00,0.00,17,17,17,17,0.71,0.71,2.45,3.47,0.89,12.72,0.85,1.00,1.00,0.71,0.08,0.80,0.15,0.00,0.15
910,1,17,4,11,4,27,5,15,5,0.56,0.33,0.24,0.00,0.00,0.00,17,17,17,17,0.63,0.63,2.31,3.27,0.86,10.20,0.73,1.00,1.00,0.71,0.07,0.64,0.13,0.07,0.20
