filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
100.txt,1,15,7,12,6,20,10,14,7,0.70,0.50,0.47,0.17,0.17,0.29,15,15,15,15,0.75,0.75,2.37,3.35,0.90,13.55,0.86,0.83,4.17,1.44,0.36,0.86,0.07,0.00,0.07
101.txt,1,16,7,13,6,22,12,16,9,0.73,0.56,0.44,0.17,0.17,0.29,16,16,16,16,0.73,0.73,2.41,3.41,0.90,13.03,0.81,1.00,6.00,1.73,0.38,0.71,0.12,0.00,0.12
105.txt,1,18,9,15,8,20,11,15,8,0.75,0.53,0.50,0.25,0.25,0.35,18,18,18,18,0.90,0.90,2.85,4.02,0.96,36.99,1.00,1.00,4.00,1.41,0.27,1.00,0.13,0.20,0.33
106.txt,1,15,7,12,6,20,10,15,8,0.75,0.53,0.47,0.20,0.20,0.32,15,15,15,15,0.75,0.75,2.37,3.35,0.90,13.55,0.80,0.80,3.20,1.26,0.27,0.75,0.07,0.07,0.13
109.txt,1,16,7,13,6,24,12,16,8,0.67,0.50,0.44,0.14,0.14,0.27,16,16,16,16,0.67,0.67,2.31,3.27,0.87,10.82,0.81,0.86,5.14,1.60,0.38,0.75,0.06,0.00,0.06
110.txt,1,19,8,16,7,23,9,18,8,0.78,0.44,0.42,0.17,0.17,0.29,19,19,19,19,0.83,0.83,2.80,3.96,0.94,22.35,0.89,1.00,6.00,1.73,0.33,0.86,0.11,0.11,0.22
111.txt,1,15,6,12,5,18,9,13,6,0.72,0.46,0.40,0.17,0.17,0.29,15,15,15,15,0.83,0.83,2.50,3.54,0.94,19.90,0.92,1.00,6.00,1.73,0.46,0.83,0.08,0.00,0.08
113.txt,1,18,8,15,7,21,10,16,8,0.76,0.50,0.44,0.17,0.17,0.29,18,18,18,18,0.86,0.86,2.78,3.93,0.95,26.11,0.94,1.00,6.00,1.73,0.38,0.86,0.12,0.06,0.19
115.txt,1,17,7,14,6,20,10,15,7,0.75,0.47,0.41,0.14,0.14,0.27,17,17,17,17,0.85,0.85,2.69,3.80,0.95,23.98,0.93,1.00,7.00,1.87,0.47,0.83,0.13,0.00,0.13
116.txt,1,15,6,12,5,18,9,14,7,0.78,0.50,0.40,0.17,0.17,0.29,15,15,15,15,0.83,0.83,2.50,3.54,0.94,19.90,0.86,1.00,6.00,1.73,0.43,0.71,0.07,0.00,0.07
118.txt,1,18,8,15,7,21,10,16,7,0.76,0.44,0.44,0.14,0.14,0.27,18,18,18,18,0.86,0.86,2.78,3.93,0.95,26.11,0.94,0.86,5.14,1.60,0.38,1.00,0.06,0.06,0.12
120.txt,1,6,3,5,2,6,3,5,2,0.83,0.40,0.50,0.00,0.00,0.00,6,6,6,6,1.00,1.00,1.73,2.45,1.00,NaN,1.00,1.00,2.00,1.00,0.40,1.00,0.00,0.00,0.00
121.txt,1,23,10,20,9,25,11,21,9,0.84,0.43,0.43,0.22,0.44,0.47,23,23,23,23,0.92,0.92,3.25,4.60,0.97,53.97,0.95,0.89,7.11,1.89,0.38,1.00,0.19,0.05,0.24
